time,x,y,yaw,vel,accel,steer,theta
0,-2.1582,-6.42296,1.47415,1.99942,-0.357498,6.25847e-05,17.6118
1,-2.14575,-6.30309,1.46927,2.01765,0.612081,-0.00166296,17.7318
2,-2.13316,-6.18279,1.4676,2.01417,0.497556,-0.00281375,17.8418
3,-2.12039,-6.06289,1.46562,2.0085,0.737639,-0.00197182,17.9518
4,-2.10737,-5.94295,1.46365,2.01328,0.705419,-0.00167517,18.0718
5,-2.09466,-5.82275,1.46521,2.01604,0.530298,-0.00220103,18.1918
6,-2.08224,-5.70269,1.46706,2.00745,-0.471123,-0.00144765,18.3118
7,-2.07003,-5.58255,1.46892,2.01793,0.490654,-0.00199115,18.4418
8,-2.05806,-5.46235,1.47082,2.00831,-0.513081,-0.00113603,18.5618
9,-2.0463,-5.34214,1.47269,2.01804,0.499997,-0.00199816,18.6918
10,-2.03478,-5.22191,1.4746,2.008,-0.499889,-0.00120653,18.8118
11,-2.02348,-5.10166,1.47647,2.01802,0.502678,-0.00170766,18.9418
12,-2.01241,-4.98139,1.47837,2.00799,-0.505514,-0.00123132,19.0618
13,-1.99782,-4.82103,1.47907,2.00744,-0.516702,-0.00166287,19.2118
14,-1.99053,-4.74088,1.48012,2.00683,0.477448,0.0020779,19.3118
15,-1.97588,-4.58067,1.48013,2.00503,-0.555013,0.00214457,19.4618
16,-1.96482,-4.46067,1.47893,2.01173,0.420813,0.00141342,19.5818
17,-1.95386,-4.34089,1.48,1.9973,-0.588503,0.00112147,19.7118
18,-1.94322,-4.22138,1.4819,2.00215,0.418934,0.00424202,19.8218
19,-1.92913,-4.06237,1.4822,2.00187,0.5697,-0.00131742,19.9718
20,-1.91466,-3.90306,1.47939,2.00691,0.537563,-0.00342493,20.1318
21,-1.89877,-3.74393,1.472,1.99988,0.526615,-0.00173931,20.2818
22,-1.88275,-3.58465,1.47112,2.00203,0.518646,-0.00165298,20.4418
23,-1.87275,-3.485,1.47088,2.00803,-0.485381,0.00193419,20.5518
24,-1.85682,-3.32584,1.47078,1.99933,0.510078,0.00054442,20.7018
25,-1.84545,-3.20676,1.47496,1.97995,0.163121,0.00098676,20.8318
26,-1.83665,-3.10803,1.47964,1.98843,0.732312,0.00359089,20.9318
27,-1.82188,-2.92908,1.48793,1.99792,-0.266236,0.0266278,21.0818
28,-1.8155,-2.84903,1.48925,2.00721,-0.265208,0.0440878,21.1818
29,-1.80394,-2.68833,1.50001,2.01217,-0.471688,0.0461392,21.3418
30,-1.79795,-2.56765,1.51657,2.01884,0.528895,0.0470975,21.4718
31,-1.79408,-2.44683,1.53353,2.01053,-0.474148,0.0307737,21.5918
32,-1.79214,-2.32588,1.54902,2.02084,0.461112,0.0128143,21.7118
33,-1.79072,-2.20501,1.55586,2.00844,-0.541077,-0.00479492,21.8418
34,-1.78983,-2.08428,1.5613,2.01604,0.460413,-0.0187608,21.9618
35,-1.78824,-1.96369,1.55759,2.00445,-0.477371,-0.031625,22.0818
36,-1.78578,-1.84313,1.55204,2.0154,0.518044,-0.0516926,22.2018
37,-1.78153,-1.72255,1.53835,2.00645,-0.486889,-0.0582897,22.3218
38,-1.77498,-1.60202,1.52155,2.01727,0.509984,-0.0854395,22.4418
39,-1.76557,-1.48163,1.49853,2.00784,-0.494101,-0.0894752,22.5618
40,-1.75206,-1.36162,1.46745,2.01822,0.503022,-0.108878,22.6918
41,-1.73388,-1.2422,1.43035,2.00838,-0.500658,-0.119394,22.8118
42,-1.71079,-1.12364,1.39087,2.01836,0.497203,-0.145488,22.9318
43,-1.68225,-1.00628,1.34518,2.00818,-0.504945,-0.150197,23.0418
44,-1.64746,-0.890625,1.29452,2.01791,0.496707,-0.160894,23.1718
45,-1.60665,-0.776978,1.24203,2.00769,-0.506994,-0.169933,23.2818
46,-1.5756,-0.702711,1.20313,2.00739,0.494725,-0.173452,23.3818
47,-1.50517,-0.55801,1.12614,2.00693,-0.505006,-0.219843,23.5418
48,-1.46517,-0.488021,1.08234,2.01675,0.491981,-0.225892,23.6418
49,-1.37449,-0.354692,0.983355,2.01612,-0.510464,-0.253306,23.7918
50,-1.2832,-0.247211,0.885441,2.02043,0.484369,-0.25183,23.9318
51,-1.16621,-0.136171,0.772152,2.0192,0.487106,-0.235621,24.0818
52,-1.0869,-0.0737115,0.701179,2.02354,-0.510147,-0.20039,24.1818
53,-0.934946,0.0249204,0.583317,2.01755,0.491967,-0.182763,24.3318
54,-0.863844,0.0635879,0.534302,2.02717,-0.964077,-0.131729,24.4318
55,-0.772697,0.107729,0.478789,2.02266,-0.965757,-0.106758,24.5318
56,-0.62548,0.169766,0.409602,1.97541,0.520659,-0.114062,24.6718
57,-0.49567,0.217445,0.363558,1.99335,0.523548,-0.100401,24.8218
58,-0.342957,0.265383,0.311387,2.00862,0.525251,-0.0977065,24.9618
59,-0.188212,0.305249,0.258803,2.00055,0.528225,-0.103883,25.1218
60,-0.051358,0.333395,0.212863,1.99753,0.534462,-0.101291,25.2718
61,0.0474405,0.349714,0.180206,2.00416,-0.428499,-0.0983923,25.3718
62,0.206557,0.369345,0.130092,2.00955,0.568769,-0.0845848,0.0636934
63,0.346546,0.380762,0.0902715,2.00932,0.564007,-0.0822524,0.183693
64,0.467311,0.38693,0.061208,2.01316,-0.440418,-0.0941305,0.303693
65,0.588472,0.389787,0.0328389,2.02676,0.559708,-0.0987338,0.413693
66,0.709873,0.389086,0.00288855,2.02025,-0.577521,-0.0937678,0.523693
67,0.83113,0.383823,-0.0325602,2.02566,0.421203,-0.116348,0.643693
68,0.951824,0.37404,-0.0700691,2.01092,-0.580058,-0.112442,0.773693
69,1.07173,0.359342,-0.109655,2.01619,0.421965,-0.134962,0.903693
70,1.19065,0.339622,-0.152019,2.00363,-0.469586,-0.151421,1.02369
71,1.30836,0.313575,-0.202124,2.01552,0.531793,-0.170147,1.13369
72,1.42448,0.280768,-0.258066,2.00738,-0.468026,-0.180689,1.24369
73,1.53841,0.240668,-0.319356,2.01936,0.531749,-0.214825,1.35369
74,1.64939,0.192728,-0.387655,2.01161,-0.455811,-0.225081,1.46369
75,1.75646,0.136272,-0.462495,2.02415,0.550198,-0.247868,1.57369
76,1.85837,0.0706793,-0.546414,2.01699,-0.444357,-0.25899,1.68369
77,1.98481,-0.0303258,-0.662684,2.02116,-0.451297,-0.27054,1.82369
78,2.12302,-0.178522,-0.823172,2.03599,0.542382,-0.279641,1.99369
