x_m,y_m,w_tr_left_m,w_tr_right_m,w_total_m,left_x_m,left_y_m,right_x_m,right_y_m
-14.444998895,-4.34952772,1.296694276572437,1.296694276572437,2.593388553144874,-15.73999782,-4.28324174,-13.14999997,-4.4158137
-14.44499899,-4.3395157300000005,1.2966906290358455,1.2966906290358455,2.593381258071691,-15.73999835,-4.27330965,-13.14999963,-4.40572181
-14.44499871,-4.32950363,1.2966857223412698,1.2966857223412698,2.5933714446825396,-15.73999737,-4.26338001,-13.15000005,-4.39562725
-14.444999809999999,-4.319491675,1.2966808786260862,1.2966808786260862,2.5933617572521723,-15.73999808,-4.25345546,-13.15000154,-4.38552789
-14.44499932,-4.309479675,1.2966760316570978,1.2966760316570978,2.5933520633141955,-15.73999735,-4.24353399,-13.15000129,-4.37542536
-14.444998985,-4.299467425,1.296672377830037,1.296672377830037,2.593344755660074,-15.73999815,-4.23361594,-13.14999982,-4.36531891
-14.444998815,-4.289454955,1.2966674265555318,1.2966674265555318,2.5933348531110636,-15.73999797,-4.22370084,-13.14999966,-4.35520907
-14.44499976,-4.2794427299999995,1.2966613870860269,1.2966613870860269,2.5933227741720537,-15.739998,-4.21378977,-13.15000152,-4.34509569
-14.444999115,-4.26943095,1.296657709852717,1.296657709852717,2.593315419705434,-15.73999895,-4.20388216,-13.14999928,-4.33497974
-14.44499985,-4.25941842,1.2966516817724725,1.2966516817724725,2.593303363544945,-15.73999908,-4.19397701,-13.15000062,-4.32485983
-14.444999525,-4.249406199999999,1.2966455931905227,1.2966455931905227,2.5932911863810455,-15.7399983,-4.18407652,-13.15000075,-4.31473588
-14.4449991,-4.23939385,1.2966394196495294,1.2966394196495294,2.593278839299059,-15.73999742,-4.17417778,-13.15000078,-4.30460992
-14.444999785,-4.229381764999999,1.2966345684643505,1.2966345684643505,2.593269136928701,-15.73999918,-4.1642836,-13.15000039,-4.29447993
-14.44499942,-4.21936955,1.2966272461651207,1.2966272461651207,2.5932544923302414,-15.73999753,-4.15439178,-13.15000131,-4.28434732
-14.444998945,-4.20935719,1.296622329940709,1.296622329940709,2.593244659881418,-15.73999836,-4.14450365,-13.14999953,-4.27421073
-14.444999595,-4.199345135,1.2966161839345252,1.2966161839345252,2.5932323678690503,-15.73999917,-4.13461779,-13.15000002,-4.26407248
-14.444998915,-4.189332995,1.2966089024421135,1.2966089024421135,2.593217804884227,-15.73999775,-4.12473684,-13.15000008,-4.25392915
-14.444999885000001,-4.179321034999999,1.2966028321015146,1.2966028321015146,2.5932056642030292,-15.73999927,-4.11485789,-13.1500005,-4.24378418
-14.44499953,-4.16930902,1.2965954742649328,1.2965954742649328,2.5931909485298656,-15.73999832,-4.10498206,-13.15000074,-4.23363598
-14.44499908,-4.15929689,1.2965881332690088,1.2965881332690088,2.5931762665380176,-15.73999743,-4.09510919,-13.15000073,-4.22348459
-14.44499974,-4.1492850699999995,1.2965820152050225,1.2965820152050225,2.593164030410045,-15.73999895,-4.08523846,-13.15000053,-4.21333168
-14.444999345,-4.13927313,1.2965734903289061,1.2965734903289061,2.5931469806578122,-15.73999721,-4.07537207,-13.15000148,-4.20317419
-14.444998855,-4.129261565,1.2965673783874283,1.2965673783874283,2.5931347567748566,-15.73999789,-4.0655084,-13.14999982,-4.19301473
-14.44499852,-4.119249835,1.2965600442524596,1.2965600442524596,2.5931200885049193,-15.73999758,-4.05564651,-13.14999946,-4.18285316
-14.444999575,-4.109237885,1.296552745213508,1.296552745213508,2.593105490427016,-15.73999889,-4.04578873,-13.15000026,-4.17268704
-14.444999039999999,-4.099226435,1.2965454833481058,1.2965454833481058,2.5930909666962116,-15.73999869,-4.0359327,-13.14999939,-4.16252017
