x_m,y_m,psi_rad,kappa_radpm,w_tr_left_m,w_tr_right_m,w_total_m,boundary_ref_x_m,boundary_ref_y_m,left_x_m,left_y_m,right_x_m,right_y_m
-15.286956119170942,-4.43164589477034,1.5792547902602365,-0.03760459187133752,0.4767290381791153,2.1370147968300888,2.613743835009204,-14.444998895,-4.34952772,-15.73999782,-4.28324174,-13.14999997,-4.4158137
-15.287333754059794,-4.381655779936149,1.5774814997529232,-0.03333892293139406,0.48057158282159435,2.137543193950624,2.6181147767722184,-14.444999141761457,-4.285992934645858,-15.73999798037338,-4.220273796952992,-13.150000303149536,-4.351712072338723
-15.28762807055311,-4.331665351722382,1.5759214764285234,-0.02907281244239207,0.48475955370135815,2.138083794331889,2.622843348033247,-14.444999532607763,-4.222458462696486,-15.739998039048793,-4.157443549102977,-13.150001026166734,-4.287473376289997
-15.287849730916522,-4.281674661129718,1.5745747314226168,-0.024806457344739557,0.4892663179097022,2.1386511175479685,2.627917435457671,-14.444999104572863,-4.158924133827667,-15.739997486592047,-4.094741686835446,-13.150000722553678,-4.223106580819886
-15.288009397415657,-4.231683759158833,1.5734412703228617,-0.020539995080176055,0.49407021730326944,2.1392572155042426,2.633327432807512,-14.44499946538384,-4.0953898368315045,-15.739998778142597,-4.032156870404018,-13.150000152625081,-4.15862280325899
-15.288117732316135,-4.181692696810407,1.5725210950066923,-0.016273512313731746,0.499144302063829,2.139913839382336,2.639058141446165,-14.444998800289856,-4.031855511136268,-15.739997456674995,-3.9696791382907994,-13.150000143904714,-4.094031883981736
-15.288185397883593,-4.1317015250851155,1.5718142051881223,-0.012007053663690344,0.5044717039195457,2.1406340553570207,2.645105759276566,-14.444999131044701,-3.9683211371993066,-15.739998327778729,-3.907298369057703,-13.149999934310673,-4.029343905340909
-15.288223056383652,-4.081710294983638,1.5713205996735375,-0.007740630435046919,0.5100303230207346,2.1414290955845705,2.651459418605305,-14.44499937169591,-3.9047867291665703,-15.739998458123274,-3.8450039013571926,-13.150000285268545,-3.9645695569759485
-15.2882413700753,-4.031719055257165,1.571040251476294,-0.0035361461298438136,0.5158031120182248,2.142311426459949,2.658114538478174,-14.444999310434426,-3.8412523228295363,-15.739998260394694,-3.78278419948836,-13.15000036047416,-3.8997204461707122
-15.28824937808684,-3.9817277166219025,1.5708774297178145,-0.0029778517315174457,0.5217732617313807,2.1432913247699363,2.665064586501317,-14.444998442794935,-3.777717794022209,-15.739997076085631,-3.7206312708195943,-13.14999980950424,-3.834804317224824
-15.288249944050753,-3.931736414174523,1.5707425180433,-0.002419553501683095,0.5279366861306516,2.1443701459359708,2.6723068320666226,-14.444999313906319,-3.7141833122016195,-15.739998229727306,-3.6585320383843287,-13.150000398085332,-3.76983458601891
-15.288244463240575,-3.881745141437265,1.5706355165659174,-0.0018612522781982397,0.5342828754188942,2.145551311988395,2.6798341874072893,-14.444999013163196,-3.6506488676686417,-15.739997650060806,-3.5964781626899036,-13.150000376265588,-3.704819572647379
-15.288234330929845,-3.831753891932368,1.5705564253723754,-0.00130294881411412,0.5408090025242417,2.146836231274989,2.6876452337992305,-14.44499830345873,-3.5871144519635934,-15.739997126466234,-3.5344581573844067,-13.149999480451227,-3.63977074654278
-15.288220942392094,-3.78176265918207,1.5705052445254273,-0.0007446437972433694,0.5475122252143274,2.148222522846825,2.6957347480611524,-14.444999249359803,-3.5235800563700725,-15.73999754294828,-3.472460961887923,-13.150000955771327,-3.5746991508522217
-15.288205692900856,-3.7317714367086126,1.5704819740657188,-0.00018633786972861212,0.554388247826723,2.1497153784592595,2.7041036262859826,-14.44499912960624,-3.460045673062409,-15.73999798109245,-3.410477089327605,-13.150000278120029,-3.509614256797213
-15.288189977729669,-3.6817802180342323,1.5704866140129843,0.0003719683523883231,0.5614350784254352,2.1513121058976123,2.7127471843230477,-14.444999595475572,-3.396511294586266,-15.73999872206168,-3.3484962462748538,-13.150000468889466,-3.4445263428976776
-15.288175192142031,-3.6317889962829426,1.5705191465381123,0.0009089293912847613,0.5684864866192296,2.1530456012355215,2.721532087854751,-14.444999193491412,-3.3329769124609174,-15.739998157434988,-3.2867775566138278,-13.150000229547835,-3.379176268308007
-15.288162437815702,-3.5817977552842812,1.5705625744091032,0.0008284897787745068,0.5752155958565321,2.154983666286698,2.73019926214323,-14.444999716269757,-3.2694425065884207,-15.739998585126253,-3.2258243325401907,-13.150000847413262,-3.3130606806366503
-15.288151753986934,-3.531806506681609,1.57060198101298,0.0007480503018173577,0.5821185383745444,2.157033436792914,2.7391519751674585,-14.444999327448102,-3.2059080917494662,-15.739998013970169,-3.1647956756990903,-13.150000640926034,-3.2470205077998426
-15.288142939628461,-3.481815251767698,1.570637366354151,0.0006676109445692152,0.5891958191628408,2.1591917278518684,2.748387547014709,-14.444999000202742,-3.1423736692375943,-15.739997674876992,-3.103689595996431,-13.150000325528492,-3.1810577424787585
-15.288135793713018,-3.431823991835317,1.5706687304364868,0.000587171690641695,0.5964445668349941,2.161455127308858,2.757899694143852,-14.44499955116336,-3.0788392409430743,-15.739997728796348,-3.0425080366912574,-13.150001373530369,-3.1151704451948907
-15.288130115213333,-3.3818327281772387,1.5706960732633046,0.0005067325231606514,0.6038651755114205,2.163824749199726,2.767689924711146,-14.444998955898132,-3.015304807918538,-15.739998020591067,-2.9812474734748493,-13.149999891205198,-3.0493621423622264
-15.288125703102146,-3.331841462086233,1.5707193948373508,0.0004262934248247077,0.6114538752039758,2.1662953684664927,2.7777492436704687,-14.444998834853967,-2.9517703720036037,-15.739998350033325,-2.919910700358768,-13.14999931967461,-2.9836300436484398
