s,left_width,right_width
0.00000000,1.27629639,1.31709229
0.01000000,1.27702148,1.31635986
0.02000000,1.27773926,1.31563232
0.03000000,1.27845459,1.31490723
0.04000000,1.27916260,1.31418945
0.05000000,1.27986816,1.31347656
0.06000000,1.28056885,1.31276611
0.07000000,1.28126465,1.31205811
0.08000000,1.28195557,1.31135986
0.09000000,1.28264160,1.31066162
0.10000000,1.28332275,1.30996826
0.11000000,1.28399902,1.30927979
0.12000000,1.28467285,1.30859619
0.13000000,1.28533936,1.30791504
0.14000000,1.28600342,1.30724121
0.15000001,1.28666260,1.30656982
0.16000000,1.28731445,1.30590332
0.17000000,1.28796631,1.30523926
0.18000001,1.28861084,1.30458008
0.19000000,1.28925049,1.30392578
0.20000000,1.28988770,1.30327637
0.20999999,1.29051758,1.30262939
0.22000000,1.29114502,1.30198975
0.23000000,1.29176758,1.30135254
0.23999999,1.29238770,1.30071777
0.25000000,1.29300049,1.30009033
0.25999999,1.29361084,1.29946289
0.27000001,1.29421387,1.29884277
0.28000000,1.29481689,1.29822510
0.28999999,1.29541260,1.29761475
0.30000001,1.29600342,1.29700684
0.31000000,1.29659180,1.29640137
0.31999999,1.29717529,1.29580078
0.33000001,1.29775391,1.29520508
0.34000000,1.29833008,1.29461182
0.34999999,1.29890137,1.29402344
0.36000001,1.29946777,1.29343994
0.37000000,1.30002930,1.29286133
0.38000000,1.30058838,1.29228516
0.38999999,1.30114258,1.29171387
0.40000001,1.30169189,1.29114502
0.41000000,1.30223633,1.29058105
0.41999999,1.30277832,1.29002197
0.43000001,1.30331787,1.28946533
0.44000000,1.30385010,1.28891357
0.44999999,1.30437988,1.28836670
0.46000001,1.30490479,1.28782227
0.47000000,1.30542725,1.28728027
0.47999999,1.30594238,1.28674561
0.49000001,1.30645752,1.28621338
0.50000000,1.30696533,1.28568604
0.50999999,1.30747070,1.28516113
0.51999998,1.30797119,1.28464111
0.52999997,1.30846924,1.28412354
0.54000002,1.30896240,1.28361084
0.55000001,1.30945313,1.28310303
0.56000000,1.30993652,1.28259766
0.56999999,1.31041748,1.28209717
0.57999998,1.31089844,1.28159912
0.58999997,1.31137207,1.28110352
0.60000002,1.31184082,1.28061523
0.61000001,1.31230713,1.28012939
0.62000000,1.31277100,1.27964600
0.63000000,1.31322998,1.27916748
0.63999999,1.31368408,1.27869385
0.64999998,1.31413574,1.27822266
0.66000003,1.31458252,1.27775635
0.67000002,1.31502686,1.27729248
0.68000001,1.31546631,1.27683105
0.69000000,1.31590332,1.27637695
0.69999999,1.31633545,1.27592285
0.70999998,1.31676514,1.27547363
0.72000003,1.31718994,1.27502930
0.73000002,1.31761230,1.27458740
0.74000001,1.31802979,1.27415039
0.75000000,1.31844482,1.27371582
0.75999999,1.31885498,1.27328613
0.76999998,1.31926270,1.27285889
0.77999997,1.31966797,1.27243408
0.79000002,1.32006836,1.27201416
0.80000001,1.32046387,1.27159912
0.81000000,1.32085693,1.27118652
0.81999999,1.32124756,1.27077637
0.82999998,1.32163330,1.27037109
0.83999997,1.32201660,1.26996826
0.85000002,1.32239746,1.26957031
0.86000001,1.32277344,1.26917480
0.87000000,1.32314697,1.26878174
0.88000000,1.32351563,1.26839355
0.88999999,1.32388184,1.26801025
0.89999998,1.32424561,1.26762939
0.91000003,1.32460449,1.26725098
0.92000002,1.32496094,1.26687500
0.93000001,1.32531250,1.26650391
0.94000000,1.32566406,1.26613525
0.94999999,1.32601074,1.26577148
0.95999998,1.32635254,1.26541016
0.97000003,1.32669189,1.26505371
0.98000002,1.32702881,1.26469727
0.99000001,1.32736328,1.26434814
1.00000000,1.32769287,1.26399902
1.00999999,1.32801270,1.26364990
1.01999998,1.32833252,1.26330078
1.02999997,1.32864746,1.26295654
1.03999996,1.32895752,1.26261719
1.04999995,1.32926758,1.26228027
1.05999994,1.32957275,1.26194580
1.07000005,1.32987549,1.26161621
1.08000004,1.33017578,1.26128906
1.09000003,1.33047363,1.26096436
1.10000002,1.33076660,1.26064453
1.11000001,1.33105713,1.26032715
1.12000000,1.33134766,1.26001221
1.13000000,1.33163330,1.25970215
1.13999999,1.33191406,1.25939453
1.14999998,1.33219482,1.25909180
1.15999997,1.33247070,1.25878906
1.16999996,1.33274414,1.25849121
1.17999995,1.33301758,1.25819824
1.19000006,1.33328613,1.25790527
1.20000005,1.33355225,1.25761475
1.21000004,1.33381348,1.25733154
1.22000003,1.33407471,1.25704834
1.23000002,1.33433350,1.25676758
1.24000001,1.33458740,1.25649414
1.25000000,1.33483887,1.25621826
1.25999999,1.33508789,1.25594971
1.26999998,1.33533447,1.25568115
1.27999997,1.33557861,1.25541748
1.28999996,1.33582031,1.25515625
1.29999995,1.33605957,1.25489746
1.30999994,1.33629639,1.25464111
1.32000005,1.33652832,1.25438965
1.33000004,1.33676025,1.25414063
1.34000003,1.33698730,1.25389404
1.35000002,1.33721436,1.25364990
1.36000001,1.33743652,1.25340820
1.37000000,1.33765869,1.25317139
1.38000000,1.33787598,1.25293457
1.38999999,1.33809082,1.25270264
1.39999998,1.33830566,1.25247314
1.40999997,1.33851563,1.25224609
1.41999996,1.33872314,1.25202148
1.42999995,1.33892822,1.25179932
1.44000006,1.33913086,1.25157959
1.45000005,1.33933105,1.25136475
1.46000004,1.33953125,1.25114990
1.47000003,1.33972656,1.25093994
1.48000002,1.33991943,1.25073242
1.49000001,1.34010986,1.25052734
1.50000000,1.34030029,1.25032227
1.50999999,1.34048584,1.25012207
1.51999998,1.34067139,1.24992676
1.52999997,1.34085205,1.24973145
1.53999996,1.34103027,1.24953857
1.54999995,1.34120850,1.24934814
1.55999994,1.34138184,1.24916016
1.57000005,1.34155518,1.24897461
1.58000004,1.34172607,1.24879395
1.59000003,1.34189453,1.24861328
1.60000002,1.34206055,1.24843506
1.61000001,1.34222412,1.24825928
1.62000000,1.34238525,1.24808838
1.63000000,1.34254395,1.24791748
1.63999999,1.34270020,1.24774902
