s,left_x,left_y,right_x,right_y
0.00000000,-15.73999782,-4.28324174,-13.14999997,-4.41581370
0.01000000,-15.73999835,-4.27330965,-13.14999963,-4.40572181
0.02000000,-15.73999737,-4.26338001,-13.15000005,-4.39562725
0.03000000,-15.73999808,-4.25345546,-13.15000154,-4.38552789
0.04000000,-15.73999735,-4.24353399,-13.15000129,-4.37542536
0.05000000,-15.73999815,-4.23361594,-13.14999982,-4.36531891
0.06000000,-15.73999797,-4.22370084,-13.14999966,-4.35520907
0.07000000,-15.73999800,-4.21378977,-13.15000152,-4.34509569
0.08000000,-15.73999895,-4.20388216,-13.14999928,-4.33497974
0.09000000,-15.73999908,-4.19397701,-13.15000062,-4.32485983
0.10000000,-15.73999830,-4.18407652,-13.15000075,-4.31473588
0.11000000,-15.73999742,-4.17417778,-13.15000078,-4.30460992
0.12000000,-15.73999918,-4.16428360,-13.15000039,-4.29447993
0.13000000,-15.73999753,-4.15439178,-13.15000131,-4.28434732
0.14000000,-15.73999836,-4.14450365,-13.14999953,-4.27421073
0.15000001,-15.73999917,-4.13461779,-13.15000002,-4.26407248
0.16000000,-15.73999775,-4.12473684,-13.15000008,-4.25392915
0.17000000,-15.73999927,-4.11485789,-13.15000050,-4.24378418
0.18000001,-15.73999832,-4.10498206,-13.15000074,-4.23363598
0.19000000,-15.73999743,-4.09510919,-13.15000073,-4.22348459
0.20000000,-15.73999895,-4.08523846,-13.15000053,-4.21333168
0.20999999,-15.73999721,-4.07537207,-13.15000148,-4.20317419
0.22000000,-15.73999789,-4.06550840,-13.14999982,-4.19301473
0.23000000,-15.73999758,-4.05564651,-13.14999946,-4.18285316
0.23999999,-15.73999889,-4.04578873,-13.15000026,-4.17268704
0.25000000,-15.73999869,-4.03593270,-13.14999939,-4.16252017
0.25999999,-15.73999892,-4.02608002,-13.15000138,-4.15235035
0.27000001,-15.73999684,-4.01623000,-13.15000061,-4.14217697
0.28000000,-15.73999866,-4.00638308,-13.15000114,-4.13200186
0.28999999,-15.73999802,-3.99653756,-13.14999906,-4.12182445
0.30000001,-15.73999736,-3.98669603,-13.14999923,-4.11164468
0.31000000,-15.73999823,-3.97685566,-13.15000064,-4.10146237
0.31999999,-15.73999717,-3.96701877,-13.14999996,-4.09127737
0.33000001,-15.73999704,-3.95718476,-13.15000005,-4.08109028
0.34000000,-15.73999837,-3.94735305,-13.15000145,-4.07090049
0.34999999,-15.73999777,-3.93752294,-13.15000077,-4.06070990
0.36000001,-15.73999810,-3.92769587,-13.15000086,-4.05051611
0.37000000,-15.73999753,-3.91787080,-13.14999974,-4.04032064
0.38000000,-15.73999834,-3.90804849,-13.15000000,-4.03012298
0.38999999,-15.73999818,-3.89822796,-13.14999914,-4.01992339
0.40000001,-15.73999703,-3.88840946,-13.14999958,-4.00972197
0.41000000,-15.73999690,-3.87859443,-13.15000072,-3.99951790
0.41999999,-15.73999712,-3.86878046,-13.14999992,-3.98931250
0.43000001,-15.73999895,-3.85896924,-13.15000029,-3.97910494
0.44000000,-15.73999817,-3.84915930,-13.15000062,-3.96889605
0.44999999,-15.73999885,-3.83935214,-13.14999983,-3.95868509
0.46000001,-15.73999759,-3.82954635,-13.14999938,-3.94847296
0.47000000,-15.73999875,-3.81974308,-13.15000120,-3.93825842
0.47999999,-15.73999737,-3.80994133,-13.15000048,-3.92804292
