x_m,y_m,w_tr_left_m,w_tr_right_m,w_total_m,left_x_m,left_y_m,right_x_m,right_y_m
-14.46537018,-4.34848499,1.27629639,1.31709229,2.59338867,-15.73999782,-4.28324174,-13.14999997,-4.41581370
-14.46464252,-4.33851147,1.27702148,1.31635986,2.59338135,-15.73999835,-4.27330965,-13.14999963,-4.40572181
-14.46392059,-4.32853746,1.27773926,1.31563232,2.59337158,-15.73999737,-4.26338001,-13.15000005,-4.39562725
-14.46320248,-4.31856346,1.27845459,1.31490723,2.59336182,-15.73999808,-4.25345546,-13.15000154,-4.38552789
-14.46249008,-4.30858898,1.27916260,1.31418945,2.59335205,-15.73999735,-4.24353399,-13.15000129,-4.37542536
-14.46178150,-4.29861403,1.27986816,1.31347656,2.59334473,-15.73999815,-4.23361594,-13.14999982,-4.36531891
-14.46107674,-4.28863859,1.28056885,1.31276611,2.59333496,-15.73999797,-4.22370084,-13.14999966,-4.35520907
-14.46037674,-4.27866316,1.28126465,1.31205811,2.59332275,-15.73999800,-4.21378977,-13.15000152,-4.34509569
-14.45968246,-4.26868773,1.28195557,1.31135986,2.59331543,-15.73999895,-4.20388216,-13.14999928,-4.33497974
-14.45899200,-4.25871134,1.28264160,1.31066162,2.59330322,-15.73999908,-4.19397701,-13.15000062,-4.32485983
-14.45830536,-4.24873495,1.28332275,1.30996826,2.59329102,-15.73999830,-4.18407652,-13.15000075,-4.31473588
-14.45762348,-4.23875809,1.28399902,1.30927979,2.59327881,-15.73999742,-4.17417778,-13.15000078,-4.30460992
-14.45694637,-4.22878122,1.28467285,1.30859619,2.59326904,-15.73999918,-4.16428360,-13.15000039,-4.29447993
-14.45627308,-4.21880388,1.28533936,1.30791504,2.59325439,-15.73999753,-4.15439178,-13.15000131,-4.28434732
-14.45560455,-4.20882607,1.28600342,1.30724121,2.59324463,-15.73999836,-4.14450365,-13.14999953,-4.27421073
-14.45494080,-4.19884825,1.28666260,1.30656982,2.59323242,-15.73999917,-4.13461779,-13.15000002,-4.26407248
-14.45428181,-4.18886995,1.28731445,1.30590332,2.59321777,-15.73999775,-4.12473684,-13.15000008,-4.25392915
-14.45362568,-4.17889166,1.28796631,1.30523926,2.59320557,-15.73999927,-4.11485789,-13.15000050,-4.24378418
-14.45297432,-4.16891289,1.28861084,1.30458008,2.59319092,-15.73999832,-4.10498206,-13.15000074,-4.23363598
-14.45232773,-4.15893364,1.28925049,1.30392578,2.59317627,-15.73999743,-4.09510919,-13.15000073,-4.22348459
-14.45168591,-4.14895439,1.28988770,1.30327637,2.59316406,-15.73999895,-4.08523846,-13.15000053,-4.21333168
-14.45104790,-4.13897467,1.29051758,1.30262939,2.59314697,-15.73999721,-4.07537207,-13.15000148,-4.20317419
-14.45041466,-4.12899494,1.29114502,1.30198975,2.59313477,-15.73999789,-4.06550840,-13.14999982,-4.19301473
-14.44978523,-4.11901474,1.29176758,1.30135254,2.59312012,-15.73999758,-4.05564651,-13.14999946,-4.18285316
-14.44915962,-4.10903406,1.29238770,1.30071777,2.59310547,-15.73999889,-4.04578873,-13.15000026,-4.17268704
-14.44853973,-4.09905338,1.29300049,1.30009033,2.59309082,-15.73999869,-4.03593270,-13.14999939,-4.16252017
-14.44792271,-4.08907270,1.29361084,1.29946289,2.59307373,-15.73999892,-4.02608002,-13.15000138,-4.15235035
-14.44731045,-4.07909107,1.29421387,1.29884277,2.59305664,-15.73999684,-4.01623000,-13.15000061,-4.14217697
-14.44670200,-4.06910992,1.29481689,1.29822510,2.59304199,-15.73999866,-4.00638308,-13.15000114,-4.13200186
-14.44609833,-4.05912781,1.29541260,1.29761475,2.59302734,-15.73999802,-3.99653756,-13.14999906,-4.12182445
-14.44549942,-4.04914618,1.29600342,1.29700684,2.59301025,-15.73999736,-3.98669603,-13.14999923,-4.11164468
-14.44490433,-4.03916359,1.29659180,1.29640137,2.59299316,-15.73999823,-3.97685566,-13.15000064,-4.10146237
-14.44431210,-4.02918100,1.29717529,1.29580078,2.59297607,-15.73999717,-3.96701877,-13.14999996,-4.09127737
-14.44372559,-4.01919842,1.29775391,1.29520508,2.59295898,-15.73999704,-3.95718476,-13.15000005,-4.08109028
-14.44314289,-4.00921535,1.29833008,1.29461182,2.59294189,-15.73999837,-3.94735305,-13.15000145,-4.07090049
-14.44256306,-3.99923229,1.29890137,1.29402344,2.59292480,-15.73999777,-3.93752294,-13.15000077,-4.06070990
-14.44198895,-3.98924875,1.29946777,1.29343994,2.59290771,-15.73999810,-3.92769587,-13.15000086,-4.05051611
-14.44141865,-3.97926497,1.30002930,1.29286133,2.59289063,-15.73999753,-3.91787080,-13.14999974,-4.04032064
-14.44085217,-3.96928120,1.30058838,1.29228516,2.59287354,-15.73999834,-3.90804849,-13.15000000,-4.03012298
-14.44028950,-3.95929694,1.30114258,1.29171387,2.59285645,-15.73999818,-3.89822796,-13.14999914,-4.01992339
-14.43973064,-3.94931245,1.30169189,1.29114502,2.59283691,-15.73999703,-3.88840946,-13.14999958,-4.00972197
-14.43917751,-3.93932796,1.30223633,1.29058105,2.59281738,-15.73999690,-3.87859443,-13.15000072,-3.99951790
-14.43862724,-3.92934299,1.30277832,1.29002197,2.59280029,-15.73999712,-3.86878046,-13.14999992,-3.98931250
-14.43808079,-3.91935802,1.30331787,1.28946533,2.59278320,-15.73999895,-3.85896924,-13.15000029,-3.97910494
-14.43753910,-3.90937257,1.30385010,1.28891357,2.59276367,-15.73999817,-3.84915930,-13.15000062,-3.96889605
-14.43700123,-3.89938712,1.30437988,1.28836670,2.59274658,-15.73999885,-3.83935214,-13.14999983,-3.95868509
