x_m,y_m,w_tr_left_m,w_tr_right_m,w_total_m,left_x_m,left_y_m,right_x_m,right_y_m
8.40057616,18.85000101,1.22296877,1.22296877,2.44593754,7.98445804,17.70000174,8.81669429,20.00000028
8.39060856,18.85000053,1.22241459,1.22241459,2.44482918,7.97612395,17.70000056,8.80509316,20.00000051
8.38065148,18.85000037,1.22186279,1.22186279,2.44372558,7.96779845,17.69999991,8.79350451,20.00000083
8.37070077,18.85000052,1.22131233,1.22131233,2.44262466,7.95947748,17.70000086,8.78192405,20.00000018
8.36558406,18.86353910,1.23513551,1.23513551,2.47027102,7.95116856,17.70000159,8.77999956,20.02707660
8.35969736,18.87500002,1.24674685,1.24674685,2.49349371,7.94286024,17.70000022,8.77653448,20.04999982
8.34973806,18.87499980,1.24619383,1.24619383,2.49238765,7.93455770,17.70000009,8.76491842,20.04999951
8.33978667,18.87500039,1.24564213,1.24564213,2.49128426,7.92626142,17.70000201,8.75331191,20.04999877
8.32984438,18.87499928,1.24509521,1.24509521,2.49019042,7.91797122,17.70000030,8.74171753,20.04999825
8.31991010,18.87499956,1.24455083,1.24455083,2.48910167,7.90968594,17.70000045,8.73013425,20.04999868
8.30998150,18.87499897,1.24401005,1.24401005,2.48802010,7.90140103,17.69999982,8.71856198,20.04999812
8.30006210,18.87499985,1.24347292,1.24347292,2.48694584,7.89312258,17.69999979,8.70700162,20.04999990
8.29015064,18.87499935,1.24293704,1.24293704,2.48587407,7.88484852,17.70000034,8.69545275,20.04999836
8.27165737,18.84999997,1.26883916,1.26883916,2.53767833,7.85940043,17.65000121,8.68391432,20.04999874
8.26179401,18.85000000,1.26829958,1.26829958,2.53659916,7.85119879,17.65000192,8.67238924,20.04999808
8.25193796,18.85000025,1.26776492,1.26776492,2.53552985,7.84300068,17.65000100,8.66087525,20.04999950
8.24208848,18.85000032,1.26723268,1.26723268,2.53446536,7.83480385,17.65000120,8.64937312,20.04999944
8.23224575,18.85000083,1.26670291,1.26670291,2.53340582,7.82660985,17.65000259,8.63788164,20.04999908
8.22420709,18.85534129,1.27181397,1.27181397,2.54362795,7.81841473,17.65000178,8.62999944,20.06068081
8.22011058,18.87246485,1.28935061,1.28935061,2.57870122,7.81022199,17.65000162,8.62999917,20.09492807
8.21110357,18.87500100,1.29149537,1.29149537,2.58299074,7.80203244,17.65000259,8.62017471,20.09999940
8.20124992,18.87499893,1.29097169,1.29097169,2.58194338,7.79383464,17.65000069,8.60866520,20.09999717
8.19140383,18.87500022,1.29045170,1.29045170,2.58090341,7.78564216,17.65000101,8.59716551,20.09999943
8.18156350,18.87499975,1.28993406,1.28993406,2.57986812,7.77744943,17.65000110,8.58567757,20.09999840
8.17172795,18.87499998,1.28942143,1.28942143,2.57884287,7.76925316,17.65000134,8.57420274,20.09999863
8.16189776,18.87499988,1.28891238,1.28891238,2.57782477,7.76105452,17.65000199,8.56274100,20.09999777
8.15207276,18.87499980,1.28840813,1.28840813,2.57681625,7.75285597,17.65000124,8.55128954,20.09999835
8.14225233,18.87499949,1.28790776,1.28790776,2.57581551,7.74465292,17.65000108,8.53985173,20.09999790
8.13322369,18.87743233,1.28996826,1.28996826,2.57993652,7.73644769,17.65000131,8.52999970,20.10486335
8.12911951,18.89516777,1.30810798,1.30810798,2.61621596,7.72823927,17.65000050,8.52999976,20.14033503
8.12083694,18.90000099,1.31268557,1.31268557,2.62537114,7.72002851,17.65000258,8.52164537,20.14999939
8.11100231,18.90000136,1.31219239,1.31219239,2.62438477,7.71181271,17.65000275,8.51019191,20.14999997
8.10117125,18.89999965,1.31170402,1.31170402,2.62340805,7.70359156,17.65000051,8.49875094,20.14999878
8.09134535,18.90000008,1.31121950,1.31121950,2.62243900,7.69536712,17.65000095,8.48732357,20.14999921
8.08152281,18.90000106,1.31073977,1.31073977,2.62147954,7.68713534,17.65000215,8.47591027,20.14999997
8.06384634,18.87499963,1.33647099,1.33647099,2.67294198,7.66318517,17.59999950,8.46450752,20.14999976
8.05406264,18.87499932,1.33599002,1.33599002,2.67198003,7.65500672,17.59999983,8.45311856,20.14999881
8.04428275,18.87499941,1.33551395,1.33551395,2.67102789,7.64682342,17.59999996,8.44174208,20.14999885
8.03450406,18.87500042,1.33504277,1.33504277,2.67008553,7.63862904,17.60000153,8.43037908,20.14999930
8.02472872,18.87500006,1.33457647,1.33457647,2.66915293,7.63042875,17.60000128,8.41902869,20.14999883
8.01495765,18.87500067,1.33411490,1.33411490,2.66822980,7.62222413,17.60000147,8.40769117,20.14999986
8.00518494,18.87499974,1.33365849,1.33365849,2.66731698,7.61400316,17.60000100,8.39636672,20.14999848
7.99541830,18.87500019,1.33320677,1.33320677,2.66641354,7.60578046,17.60000111,8.38505614,20.14999926
7.98565062,18.87500027,1.33276121,1.33276121,2.66552242,7.59754271,17.60000039,8.37375853,20.15000015
7.97588596,18.87500035,1.33231930,1.33231930,2.66463860,7.58929872,17.60000035,8.36247321,20.15000036
7.96612187,18.87499987,1.33188111,1.33188111,2.66376221,7.58104389,17.60000095,8.35119984,20.14999878
7.95636043,18.87499978,1.33144898,1.33144898,2.66289797,7.57277930,17.60000099,8.33994156,20.14999857
7.94725203,18.87717644,1.33329342,1.33329342,2.66658684,7.56450431,17.60000162,8.32999976,20.15435126
7.94310877,18.89599921,1.35251461,1.35251461,2.70502922,7.55621781,17.60000108,8.32999972,20.19199734
7.93451454,18.89999960,1.35626585,1.35626585,2.71253170,7.54791681,17.59999989,8.32111227,20.19999931
7.92472774,18.90000063,1.35584471,1.35584471,2.71168942,7.53960706,17.60000181,8.30984843,20.19999945
7.91493991,18.89999963,1.35542962,1.35542962,2.71085924,7.53128129,17.60000135,8.29859852,20.19999791
7.89780421,18.87500000,1.38107666,1.38107666,2.76215331,7.50824745,17.55000255,8.28736098,20.19999746
7.88804492,18.87499947,1.38066533,1.38066533,2.76133065,7.49995151,17.55000127,8.27613834,20.19999768
7.87828557,18.87499975,1.38025881,1.38025881,2.76051762,7.49164063,17.55000161,8.26493052,20.19999789
7.86852679,18.87500002,1.37985841,1.37985841,2.75971682,7.48331866,17.55000043,8.25373491,20.19999962
7.85876719,18.87500033,1.37946173,1.37946173,2.75892347,7.47498150,17.55000100,8.24255287,20.19999966
7.84900460,18.87499919,1.37906979,1.37906979,2.75813959,7.46662643,17.55000091,8.23138277,20.19999746
7.83924329,18.87499959,1.37868528,1.37868528,2.75737056,7.45825800,17.55000023,8.22022859,20.19999895
7.82947977,18.87500043,1.37830441,1.37830441,2.75660882,7.44987064,17.55000233,8.20908890,20.19999852
7.81971278,18.87499933,1.37793089,1.37793089,2.75586178,7.44146433,17.55000060,8.19796124,20.19999807
7.80994627,18.87499990,1.37756228,1.37756228,2.75512456,7.43304453,17.55000069,8.18684802,20.19999911
7.80230361,18.88250138,1.38499394,1.38499394,2.76998788,7.42460754,17.55000226,8.17999967,20.21500049
7.79746772,18.90000080,1.40281858,1.40281858,2.80563717,7.41615033,17.55000190,8.17878510,20.24999970
7.78766913,18.89999965,1.40245968,1.40245968,2.80491936,7.40767524,17.55000046,8.16766303,20.24999883
7.77786776,18.90000097,1.40210698,1.40210698,2.80421396,7.39917816,17.55000165,8.15655737,20.25000029
7.76806505,18.90000061,1.40175911,1.40175911,2.80351822,7.39066662,17.55000097,8.14546349,20.25000025
7.75825901,18.90000088,1.40141727,1.40141727,2.80283453,7.38213293,17.55000106,8.13438509,20.25000071
7.74150793,18.87500055,1.42702516,1.42702516,2.85405031,7.35969584,17.50000225,8.12332002,20.24999885
7.73171839,18.87500040,1.42668944,1.42668944,2.85337889,7.35116644,17.50000114,8.11227034,20.24999967
7.72192594,18.87500020,1.42635745,1.42635745,2.85271491,7.34261837,17.50000152,8.10123351,20.24999887
7.71212909,18.87500180,1.42603267,1.42603267,2.85206535,7.33404447,17.50000318,8.09021372,20.25000042
7.70232814,18.87500093,1.42571416,1.42571416,2.85142833,7.32545035,17.50000129,8.07920593,20.25000057
7.69252245,18.87500145,1.42540039,1.42540039,2.85080078,7.31683084,17.50000251,8.06821405,20.25000039
7.68271203,18.87500170,1.42509282,1.42509282,2.85018564,7.30818864,17.50000288,8.05723543,20.25000053
7.67289613,18.87500144,1.42479254,1.42479254,2.84958508,7.29951953,17.50000191,8.04627273,20.25000096
7.66307633,18.87500071,1.42449587,1.42449587,2.84899174,7.29083137,17.50000174,8.03532129,20.24999968
7.65605628,18.88539819,1.43497562,1.43497562,2.86995124,7.28211276,17.50000248,8.02999979,20.27079390
7.64341822,18.87500022,1.47570316,1.47570316,2.95140632,7.25991358,17.45000057,8.02692286,20.29999987
7.63358169,18.87500048,1.47541502,1.47541502,2.95083005,7.25118554,17.45000129,8.01597784,20.29999966
7.62373966,18.87500007,1.47513312,1.47513312,2.95026624,7.24243344,17.45000067,8.00504587,20.29999947
7.61389047,18.87500030,1.47485720,1.47485720,2.94971440,7.23364994,17.45000174,7.99413100,20.29999886
7.60403502,18.87499945,1.47458862,1.47458862,2.94917724,7.22483946,17.45000038,7.98323057,20.29999851
7.59417372,18.87499932,1.47432489,1.47432489,2.94864979,7.21600418,17.45000048,7.97234326,20.29999816
7.58430692,18.87499934,1.47406739,1.47406739,2.94813478,7.20714238,17.45000054,7.96147147,20.29999814
7.57443268,18.87499987,1.47381589,1.47381589,2.94763177,7.19825020,17.45000162,7.95061515,20.29999812
7.56455185,18.87500008,1.47357057,1.47357057,2.94714114,7.18933096,17.45000201,7.93977274,20.29999816
7.55466395,18.87500003,1.47333129,1.47333129,2.94666258,7.18038431,17.45000184,7.92894359,20.29999822
7.54476751,18.87499898,1.47309945,1.47309945,2.94619890,7.17140428,17.45000008,7.91813075,20.29999789
7.53486626,18.87499976,1.47287109,1.47287109,2.94574219,7.16240257,17.45000150,7.90732995,20.29999803
7.52495676,18.87500007,1.47265017,1.47265017,2.94530033,7.15336755,17.45000183,7.89654597,20.29999830
7.51503963,18.87499955,1.47243532,1.47243532,2.94487064,7.14430557,17.45000059,7.88577370,20.29999850
7.50760778,18.88459950,1.48214232,1.48214232,2.96428464,7.13521572,17.45000199,7.87999983,20.31919701
7.49518274,18.87499900,1.52367188,1.52367188,3.04734376,7.11314217,17.40000036,7.87722331,20.34999765
7.48524213,18.87499969,1.52346681,1.52346681,3.04693363,7.10401839,17.40000152,7.86646588,20.34999785
7.47529502,18.87500015,1.52326791,1.52326791,3.04653582,7.09486700,17.40000196,7.85572304,20.34999833
7.46533743,18.87499937,1.52307618,1.52307618,3.04615236,7.08567954,17.40000075,7.84499532,20.34999800
7.45537083,18.87500020,1.52289058,1.52289058,3.04578116,7.07645940,17.40000127,7.83428225,20.34999913
7.44539729,18.87500007,1.52270998,1.52270998,3.04541996,7.06721168,17.40000132,7.82358291,20.34999883
7.43541468,18.87499956,1.52253540,1.52253540,3.04507080,7.05793252,17.40000083,7.81289685,20.34999829
7.42542335,18.87499922,1.52236696,1.52236696,3.04473392,7.04862097,17.40000053,7.80222574,20.34999790
7.41543878,18.87500031,1.52219606,1.52219606,3.04439213,7.03932533,17.40000216,7.79155223,20.34999845
7.39907975,18.84999920,1.54783080,1.54783080,3.09566159,7.01726469,17.35000006,7.78089481,20.34999835
7.38908684,18.84999962,1.54766964,1.54766964,3.09533928,7.00792389,17.35000092,7.77024979,20.34999833
7.37908403,18.84999937,1.54751582,1.54751582,3.09503164,6.99854754,17.35000030,7.75962052,20.34999843
7.36907146,18.84999888,1.54736699,1.54736699,3.09473398,6.98914026,17.34999992,7.74900266,20.34999784
7.35904885,18.84999971,1.54722532,1.54722532,3.09445065,6.97969740,17.35000015,7.73840030,20.34999927
7.35011202,18.85433730,1.55156134,1.55156134,3.10312268,6.97022414,17.35000097,7.72999991,20.35867363
7.34527873,18.87499991,1.57274051,1.57274051,3.14548102,6.96071508,17.35000040,7.72984239,20.39999942
