s,left_width,right_width
0.00000000,1.71900879,0.72692871
0.01000000,1.72186523,0.72296387
0.02000000,1.72469727,0.71902832
0.03000000,1.72750977,0.71511475
0.04000000,1.73029785,0.73997314
0.05000000,1.73307129,0.76042236
0.06000000,1.73582275,0.75656494
0.07000000,1.73855225,0.75273193
0.08000000,1.74126221,0.74892822
0.09000000,1.74395508,0.74514648
0.10000000,1.74663086,0.74138916
0.11000000,1.74928467,0.73766113
0.12000000,1.75192139,0.73395264
0.13000000,1.80740723,0.73027100
0.14000000,1.80998535,0.72661377
0.15000001,1.81254639,0.72298340
0.16000000,1.81509277,0.71937256
0.17000000,1.81761963,0.71578613
0.18000001,1.82013184,0.72349609
0.19000000,1.82262695,0.75607422
0.20000000,1.82510498,0.75788574
0.20999999,1.82757324,0.75437012
0.22000000,1.83002197,0.75088135
0.23000000,1.83245605,0.74741211
0.23999999,1.83487549,0.74396729
0.25000000,1.83728027,0.74054443
0.25999999,1.83967285,0.73714355
0.27000001,1.84205078,0.73376465
0.28000000,1.84441406,0.73552246
0.28999999,1.84676758,0.76944824
0.30000001,1.84910400,0.77626709
0.31000000,1.85142822,0.77295654
0.31999999,1.85374512,0.76966309
0.33000001,1.85604492,0.76639404
0.34000000,1.85833496,0.76314453
0.34999999,1.91302734,0.75991455
0.36000001,1.91527344,0.75670654
0.37000000,1.91750977,0.75351807
0.38000000,1.91973633,0.75034912
0.38999999,1.92195313,0.74719971
0.40000001,1.92415771,0.74407227
0.41000000,1.92635742,0.74095947
0.41999999,1.92854248,0.73787109
0.43000001,1.93072266,0.73479980
0.44000000,1.93289063,0.73174805
0.44999999,1.93505127,0.72871094
0.46000001,1.93720215,0.72569580
0.47000000,1.93934570,0.72724121
0.47999999,1.94148193,0.76354736
0.49000001,1.94361328,0.76891846
0.50000000,1.94573242,0.76595703
0.50999999,1.94784668,0.76301270
0.51999998,2.00206787,0.76008545
0.52999997,2.00415283,0.75717773
0.54000002,2.00623291,0.75428467
0.55000001,2.00830566,0.75141113
0.56000000,2.01037109,0.74855225
0.56999999,2.01243408,0.74570557
0.57999998,2.01448975,0.74288086
0.58999997,2.01653809,0.74007080
0.60000002,2.01858887,0.73727295
0.61000001,2.02062988,0.73449463
0.62000000,2.02266602,0.74732178
0.63000000,2.02469971,0.78093750
0.63999999,2.02673096,0.77818848
0.64999998,2.02875732,0.77545654
0.66000003,2.03078125,0.77273682
0.67000002,2.03280029,0.77003418
0.68000001,2.08670898,0.76734131
0.69000000,2.08871338,0.76466553
0.69999999,2.09071289,0.76200195
0.70999998,2.09270996,0.75935547
0.72000003,2.09470703,0.75672119
0.73000002,2.09670166,0.75409912
0.74000001,2.09869629,0.75148926
0.75000000,2.10069092,0.74889404
0.75999999,2.10268311,0.74630859
0.76999998,2.10467773,0.76527344
0.77999997,2.15844971,0.79295654
0.79000002,2.16042969,0.79040039
0.80000001,2.16241211,0.78785400
0.81000000,2.16439453,0.78531982
0.81999999,2.16637939,0.78279785
0.82999998,2.16836426,0.78028564
0.83999997,2.17034912,0.77778564
0.85000002,2.17233398,0.77529785
0.86000001,2.17432129,0.77281982
0.87000000,2.17631104,0.77035156
0.88000000,2.17830566,0.76789307
0.88999999,2.18029785,0.76544434
0.89999998,2.18229248,0.76300781
0.91000003,2.18429199,0.76057861
0.92000002,2.18628906,0.77799561
0.93000001,2.23994385,0.80739990
0.94000000,2.24194092,0.80499268
0.94999999,2.24394043,0.80259521
0.95999998,2.24594727,0.80020508
0.97000003,2.24795898,0.79782227
0.98000002,2.24997070,0.79544922
0.99000001,2.25198730,0.79308350
1.00000000,2.25400635,0.79072754
1.00999999,2.25601807,0.78837402
1.01999998,2.30963379,0.78602783
1.02999997,2.31165039,0.78368896
1.03999996,2.31367187,0.78135986
1.04999995,2.31570068,0.77903320
1.05999994,2.31773437,0.77671631
1.07000005,2.31977295,0.78334961
1.08000004,2.32181641,0.82366455
1.09000003,2.32386475,0.82136230
1.10000002,2.32592041,0.81906250
1.11000001,2.32797852,0.81677002
1.12000000,2.38159424,0.81448486
1.13000000,2.38366211,0.81220459
1.13999999,2.38573975,0.80992432
1.14999998,2.38781738,0.80765381
1.15999997,2.38990723,0.80538574
1.16999996,2.39199951,0.80312256
1.17999995,2.39410156,0.80086182
1.19000006,2.39620850,0.79860840
1.20000005,2.39832031,0.79635742
1.21000004,2.45196533,0.79410645
1.22000003,2.45409180,0.79186279
1.23000002,2.45622314,0.82094482
1.24000001,2.45836670,0.83889893
1.25000000,2.46051270,0.83666016
1.25999999,2.46266846,0.83442627
1.26999998,2.46483154,0.83218994
1.27999997,2.46700439,0.82995850
1.28999996,2.46918213,0.82772949
1.29999995,2.47136963,0.82550049
1.30999994,2.47356445,0.82327393
1.32000005,2.47576660,0.82104736
1.33000004,2.47797852,0.81882324
1.34000003,2.53171631,0.81659668
1.35000002,2.53394531,0.81437256
1.36000001,2.53618164,0.81215088
1.37000000,2.53842773,0.80992920
1.38000000,2.54068604,0.80826904
1.38999999,2.54295410,0.84865967
1.39999998,2.54522705,0.85477539
1.40999997,2.54751221,0.85254639
1.41999996,2.54980713,0.85032471
1.42999995,2.55211182,0.84809814
1.44000006,2.55442627,0.84586914
1.45000005,2.55675049,0.84364014
1.46000004,2.55908691,0.84141113
1.47000003,2.56143066,0.83917725
1.48000002,2.56378418,0.83694580
1.49000001,2.56615234,0.83470703
1.50000000,2.56852783,0.83246826
1.50999999,2.57091553,0.83022461
1.51999998,2.62484619,0.82798096
1.52999997,2.62726074,0.82573242
1.53999996,2.62968506,0.82685791
1.54999995,2.63211914,0.86631836
1.55999994,2.63456543,0.87051270
1.57000005,2.63702393,0.86825195
1.58000004,2.63949219,0.86599121
1.59000003,2.64197754,0.86372070
1.60000002,2.64447021,0.86144775
1.61000001,2.64697998,0.85916992
1.62000000,2.64949707,0.85688965
1.63000000,2.65202881,0.85460205
1.63999999,2.65457275,0.85231201
1.64999998,2.65713135,0.85001221
1.65999997,2.65970215,0.88563477
1.66999996,2.66228516,0.89698242
1.67999995,2.66488037,0.89467285
1.69000006,2.71908447,0.89235352
1.70000005,2.72171143,0.89003174
1.71000004,2.72435547,0.88770020
1.72000003,2.72700928,0.88536377
1.73000002,2.72968018,0.88302002
1.74000001,2.73236328,0.88066895
1.75000000,2.73506348,0.87830811
1.75999999,2.73777344,0.87594482
1.76999998,2.74050049,0.87356689
1.77999997,2.74324463,0.87118408
1.78999996,2.74600098,0.86879395
1.79999995,2.74876953,0.86639648
1.80999994,2.75155762,0.86398926
1.82000005,2.75435547,0.88764893
1.83000004,2.75717041,0.91081543
1.84000003,2.75999756,0.90839355
1.85000002,2.81451416,0.90595947
1.86000001,2.81737549,0.90351807
1.87000000,2.82025146,0.90107178
1.88000000,2.63651367,0.89861328
1.88999999,2.59387695,0.89614990
1.89999998,2.55133789,0.89367920
1.90999997,2.52164062,0.89119873
1.91999996,2.52454834,0.88871094
1.92999995,2.52746826,0.88621582
1.94000006,2.53040283,0.88371338
1.95000005,2.53334961,0.88120361
1.96000004,2.53630859,0.87868408
1.97000003,2.53928223,0.87615479
1.98000002,2.54226807,0.87362061
1.99000001,2.54526367,0.87107910
2.00000000,2.51808838,0.86853027
2.00999999,2.49951904,0.86597412
2.01999998,2.50254639,0.86340820
2.02999997,2.50558594,0.86760254
2.03999996,2.50864014,0.90289307
2.04999995,2.50077881,0.90747070
2.05999994,1.88711670,0.90488037
2.06999993,1.84674072,0.90228516
2.07999992,1.80649170,0.89968262
2.08999991,1.76639648,0.89707031
2.09999990,1.72644531,0.89445068
2.10999990,1.68663574,0.89182617
2.11999989,1.64697998,0.88919189
2.13000011,1.60747070,0.88654785
2.14000010,1.56811279,0.88389648
2.15000010,1.52890137,0.88124268
2.16000009,1.48985107,0.87857666
2.17000008,1.45951904,0.87590332
2.18000007,1.46256348,0.87322266
2.19000006,1.46561279,0.87053711
2.20000005,1.46867676,0.89028809
2.21000004,1.47174805,0.91707275
2.22000003,1.44340820,0.91437012
2.23000002,1.40504639,0.91166504
2.24000001,1.37711182,0.90894531
2.25000000,1.38020508,0.90622070
2.25999999,1.38330811,0.90349121
2.26999998,1.38641846,0.90075439
2.27999997,1.38954102,0.89800537
2.28999996,1.36025146,0.89525391
2.29999995,1.32260742,0.89249268
2.30999994,1.29492432,0.88972412
2.31999993,1.29806152,0.88695068
2.32999992,1.30120850,0.88416748
2.33999991,1.30436523,0.88137695
2.34999990,1.30752686,0.87857910
2.35999990,1.27956055,0.87577393
2.36999989,1.26181396,0.90778320
2.38000011,1.26499512,0.92221924
2.39000010,1.26818604,0.91939941
2.40000010,1.27138428,0.91657471
2.41000009,1.27427002,0.91374268
2.42000008,1.23775635,0.91090332
2.43000007,1.22889893,0.90805420
2.44000006,1.23211670,0.90520020
2.45000005,1.23534424,0.90233887
2.46000004,1.23857910,0.89947021
2.47000003,1.23319092,0.89659668
2.48000002,1.19724854,0.90702881
2.49000001,1.19615479,0.93876221
2.50000000,1.19940918,0.94010742
2.50999999,1.20267334,0.93720947
2.51999998,1.20594238,0.93430664
2.52999997,1.19345215,0.93139893
2.53999996,1.16028320,0.92847900
2.54999995,1.16356201,0.92555664
2.55999994,1.16685059,0.92262695
2.56999993,1.17014648,0.91968506
2.57999992,1.17344727,0.91674072
2.58999991,1.17675537,0.91378906
2.59999990,1.18007080,0.91082520
2.60999990,1.18339111,0.90785889
2.61999989,1.18671875,0.90488525
2.63000011,1.18706299,0.90190430
2.64000010,1.15247559,0.89891602
2.65000010,1.14441895,0.89592041
2.66000009,1.14776123,0.89291748
2.67000008,1.15111084,0.88990723
2.68000007,1.15446289,0.88689209
2.69000006,1.15034668,0.88386963
2.70000005,1.11628662,0.90508545
2.71000004,1.11219482,0.93017090
2.72000003,1.11556152,0.92713379
2.73000002,1.11893555,0.92409180
2.74000001,1.12231201,0.92104248
2.75000000,1.12569580,0.91798340
2.75999999,1.12908691,0.91491943
2.76999998,1.13247803,0.91185059
2.77999997,1.13587891,0.90877197
2.78999996,1.13928223,0.90568604
2.79999995,1.11425049,0.90259766
2.80999994,1.09364990,0.90479492
2.81999993,1.09705811,0.93485107
2.82999992,1.10047363,0.94574707
2.83999991,1.10389160,0.94263672
2.84999990,1.10731689,0.93951904
2.85999990,1.11074219,0.93639648
2.86999989,1.11417480,0.93326660
2.88000011,1.11760986,0.93012939
2.89000010,1.12105225,0.92698730
2.90000010,1.11420410,0.92383545
2.91000009,1.08168457,0.92068115
2.92000008,1.07886475,0.91751953
2.93000007,1.08231445,0.91435059
2.94000006,1.08576904,0.91117432
2.95000005,1.08922852,0.90799316
2.96000004,1.08267334,0.90480469
2.97000003,1.05056396,0.90161133
2.98000002,1.04704834,0.92065918
2.99000001,1.05051270,0.94779785
3.00000000,1.05398438,0.94459229
3.00999999,1.05745850,0.94138184
3.01999998,1.06093750,0.93816406
3.02999997,1.06441895,0.93494385
3.03999996,1.06790527,0.93171631
3.04999995,1.07139404,0.92848145
3.05999994,1.07488525,0.92524170
3.06999993,1.05438721,0.92199707
3.07999992,1.02923096,0.91874756
3.08999991,1.03272705,0.91549072
3.09999990,1.03622803,0.91222900
3.10999990,1.03972900,0.90895996
3.11999989,1.04323486,0.90568848
3.13000011,1.04674316,0.90241211
3.14000010,1.05025635,0.90886475
3.15000010,1.05377197,0.93791260
3.16000009,1.05728760,0.94524170
3.17000008,1.06081055,0.94194824
3.18000007,1.06433350,0.93864990
3.19000006,1.06785889,0.93534912
3.20000005,1.07138916,0.93203857
3.21000004,1.07492188,0.92872559
3.22000003,1.07845459,0.92540771
3.23000002,1.08199219,0.92208496
3.24000001,1.08553223,0.91875732
3.25000000,1.08907471,0.91542236
3.25999999,1.09261963,0.91208496
3.26999998,1.09616699,0.90874268
3.27999997,1.09971680,0.90539307
3.28999996,1.10326660,0.90204346
3.29999995,1.10681885,0.89929932
3.30999994,1.11037598,0.92803711
3.31999993,1.11393311,0.94474854
3.32999992,1.11749512,0.94138184
3.33999991,1.12105713,0.93801270
3.34999990,1.12461914,0.93464111
3.35999990,1.18099121,0.93126465
3.36999989,1.18456543,0.92788086
3.38000011,1.18813721,0.92449463
3.39000010,1.16969727,0.92110596
3.40000010,1.13955811,0.91770996
3.41000009,1.10947266,0.91431152
3.42000008,1.09678223,0.91090820
3.43000007,1.10035400,0.90750244
3.44000006,1.10392822,0.90409424
3.45000005,1.10750244,0.90067871
3.46000004,1.11108154,0.89726074
3.47000003,1.08437988,0.92037842
3.48000002,1.06537842,0.94327393
3.49000001,1.06895508,0.93984863
3.50000000,1.07253418,0.93642090
3.50999999,1.07611084,0.93298828
3.51999998,1.07969238,0.92955322
3.52999997,1.05997803,0.92611572
3.53999996,1.03397461,0.92267090
3.54999995,1.03755371,0.91922607
3.55999994,1.04113525,0.91577637
3.56999993,1.04471436,0.91232422
3.57999992,1.04829834,0.90886963
3.58999991,1.05188232,0.90541016
3.59999990,1.05546387,0.90194824
3.60999990,1.05904785,0.89848389
3.61999989,1.06263428,0.89501465
3.63000011,1.06621826,0.91487549
3.64000010,1.04233887,0.94098633
3.65000010,1.02047363,0.93751465
3.66000009,1.02406006,0.93403564
3.67000008,1.02764404,0.93055908
3.68000007,1.03122803,0.92707520
3.69000006,1.03481201,0.92359131
3.70000005,1.03839844,0.92010498
3.71000004,1.04198242,0.91661621
3.72000003,1.04556885,0.91312256
3.73000002,1.04915527,0.90962891
3.74000001,1.05274170,0.90613037
3.75000000,1.05632813,0.90263184
3.75999999,1.05991211,0.89913086
3.76999998,1.06350098,0.89562500
3.77999997,1.06708496,0.89212158
3.78999996,1.06231445,0.91150879
3.79999995,1.03337402,0.93805908
3.80999994,1.02488281,0.93454834
3.81999993,1.02846436,0.93103516
3.82999992,1.03204834,0.92752197
3.83999991,1.03562988,0.92400391
3.84999990,1.03921143,0.92048584
3.85999990,1.04279297,0.91696533
3.86999989,1.04637451,0.91344238
