s,left_width,right_width
0.00000000,1.22296877,1.22296877
0.00996761,1.22241459,1.22241459
0.01992469,1.22186279,1.22186279
0.02987540,1.22131233,1.22131233
0.04434860,1.23513551,1.23513551
0.05723294,1.24674685,1.24674685
0.06719224,1.24619383,1.24619383
0.07714363,1.24564213,1.24564213
0.08708593,1.24509521,1.24509521
0.09702020,1.24455083,1.24455083
0.10694879,1.24401005,1.24401005
0.11686820,1.24347292,1.24347292
0.12677966,1.24293704,1.24293704
0.15787579,1.26883916,1.26883916
0.16773915,1.26829958,1.26829958
0.17759521,1.26776492,1.26776492
0.18744469,1.26723268,1.26723268
0.19728743,1.26670291,1.26670291
0.20693836,1.27181397,1.27181397
0.22454511,1.28935061,1.28935061
0.23390235,1.29149537,1.29149537
0.24375601,1.29097169,1.29097169
0.25360209,1.29045170,1.29045170
0.26344243,1.28993406,1.28993406
0.27327797,1.28942143,1.28942143
0.28310817,1.28891238,1.28891238
0.29293317,1.28840813,1.28840813
0.30275360,1.28790776,1.28790776
0.31210425,1.28996826,1.28996826
0.33030838,1.30810798,1.30810798
0.33989802,1.31268557,1.31268557
0.34973264,1.31219239,1.31219239
0.35956371,1.31170402,1.31170402
0.36938962,1.31121950,1.31121950
0.37921214,1.31073977,1.31073977
0.40983126,1.33647099,1.33647099
0.41961494,1.33599002,1.33599002
0.42939484,1.33551395,1.33551395
0.43917352,1.33504277,1.33504277
0.44894886,1.33457647,1.33457647
0.45871994,1.33411490,1.33411490
0.46849266,1.33365849,1.33365849
0.47825930,1.33320677,1.33320677
0.48802698,1.33276121,1.33276121
0.49779162,1.33231930,1.33231930
0.50755572,1.33188111,1.33188111
0.51731718,1.33144898,1.33144898
0.52668202,1.33329342,1.33329342
0.54595542,1.35251461,1.35251461
0.55543506,1.35626585,1.35626585
0.56522185,1.35584471,1.35584471
0.57500970,1.35542962,1.35542962
0.60531831,1.38107666,1.38107666
0.61507761,1.38066533,1.38066533
0.62483698,1.38025881,1.38025881
0.63459575,1.37985841,1.37985841
0.64435536,1.37946173,1.37946173
0.65411794,1.37906979,1.37906979
0.66387928,1.37868528,1.37868528
0.67364275,1.37830441,1.37830441
0.68340975,1.37793089,1.37793089
0.69317627,1.37756228,1.37756228
0.70388526,1.38499394,1.38499394
0.72204059,1.40281858,1.40281858
0.73183918,1.40245968,1.40245968
0.74164051,1.40210698,1.40210698
0.75144327,1.40175911,1.40175911
0.76124930,1.40141727,1.40141727
0.79134274,1.42702516,1.42702516
0.80113226,1.42668944,1.42668944
0.81092471,1.42635745,1.42635745
0.82072157,1.42603267,1.42603267
0.83052254,1.42571416,1.42571416
0.84032822,1.42540039,1.42540039
0.85013860,1.42509282,1.42509282
0.85995454,1.42479254,1.42479254
0.86977434,1.42449587,1.42449587
0.88231981,1.43497562,1.43497562
0.89868557,1.47570316,1.47570316
0.90852207,1.47541502,1.47541502
0.91836411,1.47513312,1.47513312
0.92821330,1.47485720,1.47485720
0.93806875,1.47458862,1.47458862
0.94793010,1.47432489,1.47432489
0.95779687,1.47406739,1.47406739
0.96767110,1.47381589,1.47381589
0.97755194,1.47357057,1.47357057
0.98743981,1.47333129,1.47333129
0.99733627,1.47309945,1.47309945
1.00723755,1.47287109,1.47287109
1.01714706,1.47265017,1.47265017
1.02706420,1.47243532,1.47243532
1.03920460,1.48214232,1.48214232
1.05490661,1.52367188,1.52367188
1.06484723,1.52346681,1.52346681
1.07479429,1.52326791,1.52326791
1.08475184,1.52307618,1.52307618
1.09471846,1.52289058,1.52289058
1.10469198,1.52270998,1.52270998
1.11467469,1.52253540,1.52253540
1.12466598,1.52236696,1.52236696
1.13465059,1.52219606,1.52219606
1.16452813,1.54783080,1.54783080
1.17452109,1.54766964,1.54766964
1.18452394,1.54751582,1.54751582
1.19453645,1.54736699,1.54736699
1.20455909,1.54722532,1.54722532
1.21449292,1.55156134,1.55156134
1.23571336,1.57274051,1.57274051
1.24577236,1.57261351,1.57261351
1.25584137,1.57249142,1.57249142
1.26592052,1.57237427,1.57237427
1.29579675,1.59803948,1.59803948
1.30588686,1.59793334,1.59793334
1.31598806,1.59783206,1.59783206
1.32609749,1.59773559,1.59773559
1.33621705,1.59764647,1.59764647
1.34634650,1.59756098,1.59756098
1.35648608,1.59748174,1.59748174
1.36663473,1.59740839,1.59740839
1.37679374,1.59733885,1.59733885
1.40668595,1.62303589,1.62303589
1.41686094,1.62297735,1.62297735
1.43335533,1.63858398,1.63858398
1.44585717,1.64863279,1.64863279
1.45606554,1.64858643,1.64858643
1.46628213,1.64854743,1.64854743
1.47650957,1.64851075,1.64851075
1.48674774,1.64848140,1.64848140
1.49699318,1.64845588,1.64845588
1.50724971,1.64843515,1.64843515
1.51751661,1.64841913,1.64841913
1.52779150,1.64840692,1.64840692
1.53807771,1.64840089,1.64840089
1.56802738,1.67415648,1.67415648
1.57833171,1.67415897,1.67415897
1.58864748,1.67416621,1.67416621
1.59897220,1.67417852,1.67417852
1.60924351,1.67447765,1.67447765
1.63057184,1.69580693,1.69580693
1.64075959,1.70000119,1.70000119
1.65112138,1.70002929,1.70002929
1.66149473,1.70006597,1.70006597
1.67187631,1.70010497,1.70010497
1.68226838,1.70014775,1.70014775
1.69266927,1.70019534,1.70019534
1.70308065,1.70024903,1.70024903
1.71349943,1.70030400,1.70030400
1.72392952,1.70036492,1.70036492
1.73436773,1.70042966,1.70042966
1.74481535,1.70049802,1.70049802
1.75527442,1.70057011,1.70057011
1.78534365,1.72641359,1.72641359
1.79582524,1.72649663,1.72649663
1.80603874,1.72827140,1.72827140
1.82698870,1.74921869,1.74921869
1.83720052,1.75253900,1.75253900
1.84771407,1.75263794,1.75263794
1.85823596,1.75274174,1.75274174
1.86876845,1.75284910,1.75284910
1.87930918,1.75295902,1.75295902
1.88985956,1.75307496,1.75307496
1.90041816,1.75319337,1.75319337
1.91098571,1.75331544,1.75331544
1.92156267,1.75344236,1.75344236
1.93214869,1.75357174,1.75357174
1.95146489,1.77266837,1.77266837
1.96257102,1.77963375,1.77963375
1.97317398,1.77977664,1.77977664
2.00339198,1.80571905,1.80571905
2.01402259,1.80587162,1.80587162
2.02466154,1.80602789,1.80602789
2.03530931,1.80618648,1.80618648
2.04596567,1.80635009,1.80635009
2.05662990,1.80651620,1.80651620
2.06730366,1.80668572,1.80668572
2.07798481,1.80685912,1.80685912
2.08867383,1.80703366,1.80703366
2.09937358,1.80721434,1.80721434
2.11008143,1.80739748,1.80739748
2.12079573,1.80758295,1.80758295
2.13152003,1.80777343,1.80777343
2.14617825,1.82100223,1.82100223
2.16066289,1.83399290,1.83399290
2.17139888,1.83419550,1.83419550
2.20178270,1.86023679,1.86023679
2.21254635,1.86044675,1.86044675
2.22331786,1.86066157,1.86066157
2.31449604,1.76756350,1.76756350
2.33705997,1.74501348,1.74501348
2.35958028,1.72250855,1.72250855
2.37665749,1.70641973,1.70641973
2.38739371,1.70662968,1.70662968
2.39813614,1.70684205,1.70684205
2.40888643,1.70705806,1.70705806
2.41964340,1.70727655,1.70727655
2.43040705,1.70749633,1.70749633
2.44117594,1.70771856,1.70771856
2.45195270,1.70794437,1.70794437
2.46273446,1.70817144,1.70817144
2.47885418,1.69330929,1.69330929
2.49198341,1.68274660,1.68274660
2.50277185,1.68297725,1.68297725
2.51320910,1.68659428,1.68659428
2.53240037,1.70576661,1.70576661
2.54453278,1.70412468,1.70412468
2.85024834,1.39599862,1.39599862
2.87174726,1.37451298,1.37451298
2.89318609,1.35308716,1.35308716
2.91455078,1.33173345,1.33173345
2.93584728,1.31044806,1.31044806
2.95707774,1.28923103,1.28923103
2.97823405,1.26808591,1.26808591
2.99932194,1.24700925,1.24700925
3.02033591,1.22600471,1.22600471
3.04128098,1.20507205,1.20507205
3.06214929,1.18421383,1.18421383
3.07933807,1.16771118,1.16771118
3.08988905,1.16789303,1.16789303
3.10044289,1.16807497,1.16807497
3.11361670,1.17948241,1.17948241
3.12925816,1.19441046,1.19441046
3.14564228,1.17888915,1.17888915
3.16618848,1.15835573,1.15835573
3.18239880,1.14302854,1.14302854
3.19293070,1.14321286,1.14321286
3.20346594,1.14339969,1.14339969
3.21400523,1.14358645,1.14358645
3.22454858,1.14377316,1.14377316
3.24128509,1.12775265,1.12775265
3.26149726,1.10755009,1.10755009
3.27758813,1.09232421,1.09232421
3.28811383,1.09250608,1.09250608
3.29864478,1.09268797,1.09268797
3.30917907,1.09287111,1.09287111
3.31971645,1.09305297,1.09305297
3.33590698,1.07766720,1.07766720
3.36281347,1.08479853,1.08479853
3.37440515,1.09360715,1.09360715
3.38492608,1.09379270,1.09379270
3.39545083,1.09397950,1.09397950
3.40593481,1.09400632,1.09400632
3.42562175,1.07432985,1.07432985
3.43617082,1.06847658,1.06847658
3.44669318,1.06865844,1.06865844
3.45721960,1.06884156,1.06884156
3.46774936,1.06902465,1.06902465
3.47793245,1.06489382,1.06489382
3.50328135,1.05213864,1.05213864
3.52259755,1.06745853,1.06745853
3.53271079,1.06975826,1.06975826
