s,left_x,left_y,right_x,right_y
0.00000000,7.98445804,17.70000174,8.81669429,20.00000028
0.00996761,7.97612395,17.70000056,8.80509316,20.00000051
0.01992469,7.96779845,17.69999991,8.79350451,20.00000083
0.02987540,7.95947748,17.70000086,8.78192405,20.00000018
0.04434860,7.95116856,17.70000159,8.77999956,20.02707660
0.05723294,7.94286024,17.70000022,8.77653448,20.04999982
0.06719224,7.93455770,17.70000009,8.76491842,20.04999951
0.07714363,7.92626142,17.70000201,8.75331191,20.04999877
0.08708593,7.91797122,17.70000030,8.74171753,20.04999825
0.09702020,7.90968594,17.70000045,8.73013425,20.04999868
0.10694879,7.90140103,17.69999982,8.71856198,20.04999812
0.11686820,7.89312258,17.69999979,8.70700162,20.04999990
0.12677966,7.88484852,17.70000034,8.69545275,20.04999836
0.15787579,7.85940043,17.65000121,8.68391432,20.04999874
0.16773915,7.85119879,17.65000192,8.67238924,20.04999808
0.17759521,7.84300068,17.65000100,8.66087525,20.04999950
0.18744469,7.83480385,17.65000120,8.64937312,20.04999944
0.19728743,7.82660985,17.65000259,8.63788164,20.04999908
0.20693836,7.81841473,17.65000178,8.62999944,20.06068081
0.22454511,7.81022199,17.65000162,8.62999917,20.09492807
0.23390235,7.80203244,17.65000259,8.62017471,20.09999940
0.24375601,7.79383464,17.65000069,8.60866520,20.09999717
0.25360209,7.78564216,17.65000101,8.59716551,20.09999943
0.26344243,7.77744943,17.65000110,8.58567757,20.09999840
0.27327797,7.76925316,17.65000134,8.57420274,20.09999863
0.28310817,7.76105452,17.65000199,8.56274100,20.09999777
0.29293317,7.75285597,17.65000124,8.55128954,20.09999835
0.30275360,7.74465292,17.65000108,8.53985173,20.09999790
0.31210425,7.73644769,17.65000131,8.52999970,20.10486335
0.33030838,7.72823927,17.65000050,8.52999976,20.14033503
0.33989802,7.72002851,17.65000258,8.52164537,20.14999939
0.34973264,7.71181271,17.65000275,8.51019191,20.14999997
0.35956371,7.70359156,17.65000051,8.49875094,20.14999878
0.36938962,7.69536712,17.65000095,8.48732357,20.14999921
0.37921214,7.68713534,17.65000215,8.47591027,20.14999997
0.40983126,7.66318517,17.59999950,8.46450752,20.14999976
0.41961494,7.65500672,17.59999983,8.45311856,20.14999881
0.42939484,7.64682342,17.59999996,8.44174208,20.14999885
0.43917352,7.63862904,17.60000153,8.43037908,20.14999930
0.44894886,7.63042875,17.60000128,8.41902869,20.14999883
0.45871994,7.62222413,17.60000147,8.40769117,20.14999986
0.46849266,7.61400316,17.60000100,8.39636672,20.14999848
0.47825930,7.60578046,17.60000111,8.38505614,20.14999926
0.48802698,7.59754271,17.60000039,8.37375853,20.15000015
0.49779162,7.58929872,17.60000035,8.36247321,20.15000036
0.50755572,7.58104389,17.60000095,8.35119984,20.14999878
0.51731718,7.57277930,17.60000099,8.33994156,20.14999857
0.52668202,7.56450431,17.60000162,8.32999976,20.15435126
0.54595542,7.55621781,17.60000108,8.32999972,20.19199734
0.55543506,7.54791681,17.59999989,8.32111227,20.19999931
0.56522185,7.53960706,17.60000181,8.30984843,20.19999945
