x_m,y_m,w_tr_left_m,w_tr_right_m,w_total_m,left_x_m,left_y_m,right_x_m,right_y_m
8.56935501,19.31644440,1.71900879,0.72692871,2.44593750,7.98445804,17.70000174,8.81669429,20.00000028
8.55995750,19.31986427,1.72186523,0.72296387,2.44482910,7.97612395,17.70000056,8.80509316,20.00000051
8.55055332,19.32326126,1.72469727,0.71902832,2.44372559,7.96779845,17.69999991,8.79350451,20.00000083
8.54114056,19.32664108,1.72750977,0.71511475,2.44262451,7.95947748,17.70000086,8.78192405,20.00000018
8.53172207,19.32999802,1.73029785,0.73997314,2.47027100,7.95116856,17.70000159,8.77999956,20.02707660
8.52229500,19.33333778,1.73307129,0.76042236,2.49349365,7.94286024,17.70000022,8.77653448,20.04999982
8.51286221,19.33665657,1.73582275,0.75656494,2.49238770,7.93455770,17.70000009,8.76491842,20.04999951
8.50342178,19.33995628,1.73855225,0.75273193,2.49128418,7.92626142,17.70000201,8.75331191,20.04999877
8.49397469,19.34323311,1.74126221,0.74892822,2.49019043,7.91797122,17.70000030,8.74171753,20.04999825
8.48452187,19.34649467,1.74395508,0.74514648,2.48910156,7.90968594,17.70000045,8.73013425,20.04999868
8.47506142,19.34973717,1.74663086,0.74138916,2.48802002,7.90140103,17.69999982,8.71856198,20.04999812
8.46559429,19.35295868,1.74928467,0.73766113,2.48694580,7.89312258,17.69999979,8.70700162,20.04999990
8.45612240,19.35616302,1.75192139,0.73395264,2.48587402,7.88484852,17.70000034,8.69545275,20.04999836
8.44664288,19.35934830,1.80740723,0.73027100,2.53767822,7.85940043,17.65000121,8.68391432,20.04999874
8.43715763,19.36251450,1.80998535,0.72661377,2.53659912,7.85119879,17.65000192,8.67238924,20.04999808
8.42766571,19.36566162,1.81254639,0.72298340,2.53552979,7.84300068,17.65000100,8.66087525,20.04999950
8.41816902,19.36879349,1.81509277,0.71937256,2.53446533,7.83480385,17.65000120,8.64937312,20.04999944
8.40866566,19.37190628,1.81761963,0.71578613,2.53340576,7.82660985,17.65000259,8.63788164,20.04999908
8.39915657,19.37500000,1.82013184,0.72349609,2.54362793,7.81841473,17.65000178,8.62999944,20.06068081
8.38964081,19.37807655,1.82262695,0.75607422,2.57870117,7.81022199,17.65000162,8.62999917,20.09492807
8.38012028,19.38113594,1.82510498,0.75788574,2.58299072,7.80203244,17.65000259,8.62017471,20.09999940
8.37059498,19.38417816,1.82757324,0.75437012,2.58194336,7.79383464,17.65000069,8.60866520,20.09999717
8.36106300,19.38720322,1.83002197,0.75088135,2.58090332,7.78564216,17.65000101,8.59716551,20.09999943
8.35152626,19.39021111,1.83245605,0.74741211,2.57986816,7.77744943,17.65000110,8.58567757,20.09999840
8.34198380,19.39320183,1.83487549,0.74396729,2.57884277,7.76925316,17.65000134,8.57420274,20.09999863
8.33243656,19.39617538,1.83728027,0.74054443,2.57782471,7.76105452,17.65000199,8.56274100,20.09999777
8.32288361,19.39913368,1.83967285,0.73714355,2.57681641,7.75285597,17.65000124,8.55128954,20.09999835
8.31332588,19.40207481,1.84205078,0.73376465,2.57581543,7.74465292,17.65000108,8.53985173,20.09999790
