x_m,y_m,w_tr_left_m,w_tr_right_m,w_total_m,left_x_m,left_y_m,right_x_m,right_y_m
6.92250163,18.49999965,1.44266595,1.44266595,2.88533189,6.41378998,17.15000058,7.43121328,19.84999872
6.91187473,18.50000019,1.44261717,1.44261717,2.88523433,6.40329724,17.15000270,7.42045222,19.84999768
6.90124901,18.50000030,1.44257078,1.44257078,2.88514157,6.39280610,17.15000168,7.40969192,19.84999892
6.89062297,18.50000027,1.44252323,1.44252323,2.88504646,6.38231222,17.15000269,7.39893371,19.84999784
6.87999782,18.49999947,1.44247688,1.44247688,2.88495376,6.37181979,17.15000145,7.38817584,19.84999748
6.87066095,18.50342657,1.44609251,1.44609251,2.89218503,6.36132203,17.15000224,7.37999986,19.85685091
6.86541013,18.51771628,1.46131590,1.46131590,2.92263179,6.35082110,17.15000203,7.37999915,19.88543054
6.85752313,18.52499990,1.46905280,1.46905280,2.93810561,6.34032345,17.15000149,7.37472282,19.89999831
6.84689481,18.52500138,1.46900881,1.46900881,2.93801762,6.32982202,17.15000225,7.36396760,19.90000051
6.83626590,18.52500150,1.46896485,1.46896485,2.93792970,6.31931758,17.15000253,7.35321421,19.90000047
6.82563685,18.52500088,1.46892214,1.46892214,2.93784428,6.30881113,17.15000145,7.34246256,19.90000031
6.81500803,18.52500132,1.46887817,1.46887817,2.93775634,6.29830477,17.15000284,7.33171130,19.89999980
6.80437908,18.52500022,1.46883671,1.46883671,2.93767342,6.28779609,17.15000084,7.32096208,19.89999960
6.78435967,18.49999928,1.49550051,1.49550051,2.99100102,6.25850503,17.09999976,7.31021431,19.89999881
6.77373196,18.50000051,1.49545901,1.49545901,2.99091801,6.24799514,17.10000107,7.29946879,19.89999995
6.76310422,18.49999968,1.49541750,1.49541750,2.99083500,6.23748502,17.10000041,7.28872341,19.89999895
6.75247630,18.50000016,1.49537838,1.49537838,2.99075676,6.22696977,17.10000038,7.27798283,19.89999994
6.74184727,18.50000067,1.49533933,1.49533933,2.99067867,6.21645202,17.10000083,7.26724252,19.90000051
6.73121851,18.50000028,1.49529912,1.49529912,2.99059824,6.20593460,17.10000161,7.25650241,19.89999895
6.72058894,18.49999945,1.49526248,1.49526248,2.99052496,6.19541251,17.09999959,7.24576537,19.89999930
6.70995842,18.50000010,1.49522464,1.49522464,2.99044928,6.18488698,17.10000127,7.23502985,19.89999892
6.70218091,18.50760568,1.50331058,1.50331058,3.00662117,6.17436195,17.10000138,7.22999988,19.91520997
6.69691670,18.52192121,1.51856447,1.51856447,3.03712893,6.16383358,17.09999983,7.22999982,19.94384260
6.68743694,18.52500001,1.52181643,1.52181643,3.04363287,6.15329955,17.10000088,7.22157433,19.94999913
6.67680186,18.52500022,1.52178218,1.52178218,3.04356436,6.14276114,17.10000145,7.21084258,19.94999900
6.66616797,18.52499949,1.52174933,1.52174933,3.04349867,6.13222321,17.09999983,7.20011273,19.94999915
6.65553226,18.52499915,1.52171634,1.52171634,3.04343269,6.12168075,17.09999978,7.18938378,19.94999851
6.64489606,18.52500009,1.52168462,1.52168462,3.04336924,6.11113554,17.10000052,7.17865658,19.94999967
6.63425938,18.52499988,1.52165280,1.52165280,3.04330561,6.10058722,17.10000119,7.16793154,19.94999858
6.62362106,18.52500005,1.52162356,1.52162356,3.04324712,6.09003313,17.10000104,7.15720898,19.94999906
6.60362277,18.50000006,1.54828984,1.54828984,3.09657967,6.06075669,17.05000080,7.14648885,19.94999931
6.59298316,18.49999973,1.54826182,1.54826182,3.09652364,6.05019651,17.05000066,7.13576981,19.94999881
6.58234541,18.50000063,1.54823242,1.54823242,3.09646483,6.03964009,17.05000251,7.12505074,19.94999875
6.57216796,18.50123870,1.54688354,1.54688354,3.09376707,6.03000051,17.05247953,7.11433541,19.94999787
6.59181138,18.58217770,1.46043950,1.46043950,2.92087900,6.08000045,17.21435714,7.10362232,19.94999827
6.58645544,18.59631913,1.44531861,1.44531861,2.89063723,6.08000034,17.24263929,7.09291055,19.94999898
6.58110076,18.61046938,1.43018925,1.43018925,2.86037851,6.08000039,17.27093971,7.08220112,19.94999904
6.58000017,18.63599680,1.42719604,1.42719604,2.85439208,6.08000029,17.29925126,7.08000005,19.97274235
6.57974376,18.66379144,1.42660274,1.42660274,2.85320549,6.08000070,17.32758327,7.07948682,19.99999960
6.57328026,18.67499929,1.41461790,1.41461790,2.82923580,6.07778035,17.34999980,7.06878017,19.99999877
6.56262474,18.67500065,1.41460090,1.41460090,2.82920181,6.06717294,17.35000132,7.05807655,19.99999998
6.55196881,18.67500112,1.41458498,1.41458498,2.82916996,6.05656307,17.35000156,7.04737455,20.00000067
6.54131143,18.67499998,1.41456915,1.41456915,2.82913830,6.04594903,17.35000113,7.03667384,19.99999884
6.53065304,18.67500041,1.41455690,1.41455690,2.82911380,6.03532998,17.34999992,7.02597609,20.00000090
6.51999229,18.67500020,1.41454348,1.41454348,2.82908696,6.02470526,17.35000057,7.01527932,19.99999983
6.50933135,18.67500079,1.41453246,1.41453246,2.82906492,6.01407671,17.35000082,7.00458599,20.00000076
6.49866994,18.67500022,1.41452028,1.41452028,2.82904055,6.00344769,17.35000115,6.99389219,19.99999929
6.48800505,18.67499949,1.41451170,1.41451170,2.82902341,5.99280776,17.35000025,6.98320235,19.99999874
6.47734034,18.67500051,1.41450439,1.41450439,2.82900878,5.98216588,17.35000054,6.97251480,20.00000048
6.47091402,18.68634701,1.40238285,1.40238285,2.80476570,5.98000051,17.37269501,6.96182753,19.99999901
6.46534845,18.70000103,1.38780152,1.38780152,2.77560304,5.97955258,17.40000279,6.95114432,19.99999928
6.45467834,18.69999997,1.38779789,1.38779789,2.77559578,5.96889562,17.40000069,6.94046106,19.99999925
6.44400891,18.70000085,1.38779300,1.38779300,2.77558600,5.95823721,17.40000267,6.92978061,19.99999903
6.43333552,18.70000104,1.38779176,1.38779176,2.77558353,5.94756850,17.40000243,6.91910253,19.99999965
6.42266184,18.70000089,1.38779175,1.38779175,2.77558350,5.93689640,17.40000171,6.90842728,20.00000008
6.41387633,18.70505863,1.38239261,1.38239261,2.76478522,5.93000066,17.41011706,6.89775200,20.00000020
6.40853994,18.71935063,1.36713620,1.36713620,2.73427241,5.93000067,17.43870174,6.88707921,19.99999951
6.40500001,18.73845683,1.35700196,1.35700196,2.71400391,5.93000060,17.46730386,6.87999942,20.00960980
6.43000003,18.83393790,1.28555301,1.28555301,2.57110602,5.98000060,17.62971738,6.87999946,20.03815842
6.42687908,18.85416857,1.27660156,1.27660156,2.55320311,5.98000094,17.65833770,6.87375723,20.04999943
6.44654696,18.93538097,1.18990849,1.18990849,2.37981699,6.03000028,17.82076395,6.86309363,20.04999798
6.44121668,18.94969985,1.17463016,1.17463016,2.34926031,6.03000068,17.84940107,6.85243268,20.04999863
6.46088641,19.03090898,1.08794188,1.08794188,2.17588376,6.08000076,18.01181936,6.84177206,20.04999860
6.45555790,19.04523189,1.07266114,1.07266114,2.14532228,6.08000071,18.04046389,6.83111508,20.04999988
6.45022986,19.05956024,1.05737428,1.05737428,2.11474856,6.08000093,18.06912049,6.82045880,20.05000000
6.44490209,19.07388548,1.04208867,1.04208867,2.08417734,6.08000042,18.09777300,6.80980376,20.04999795
6.43957697,19.08821885,1.02679934,1.02679934,2.05359869,6.08000094,18.12643822,6.79915300,20.04999947
6.43425170,19.10255176,1.01151001,1.01151001,2.02302002,6.08000042,18.15510332,6.78850297,20.05000019
6.42892790,19.11688853,0.99621466,0.99621466,1.99242931,6.08000067,18.18377898,6.77785512,20.04999808
6.42360568,19.13122863,0.98092043,0.98092043,1.96184086,6.08000099,18.21245733,6.76721036,20.04999994
6.41828339,19.14556825,0.96562378,0.96562378,1.93124756,6.08000082,18.24113794,6.75656596,20.04999856
6.41296169,19.15990842,0.95032838,0.95032838,1.90065676,6.08000036,18.26981809,6.74592302,20.04999874
6.40764248,19.17425470,0.93502683,0.93502683,1.87005367,6.08000093,18.29851148,6.73528403,20.04999793
6.40500021,19.19575071,0.92736938,0.92736938,1.85473876,6.08000078,18.32719482,6.72999963,20.06430661
6.40500060,19.22430754,0.92724000,0.92724000,1.85447999,6.08000101,18.35588985,6.73000020,20.09272522
6.40104596,19.24228808,0.91582518,0.91582518,1.83165037,6.08000066,18.38457853,6.72209127,20.09999764
6.39573123,19.25663425,0.90052608,0.90052608,1.80105217,6.08000068,18.41327108,6.71146179,20.09999743
6.39041875,19.27098123,0.88522826,0.88522826,1.77045652,6.08000078,18.44196389,6.70083672,20.09999858
6.38123875,19.27500045,0.88095826,0.88095826,1.76191652,6.07226562,18.45000163,6.69021189,20.09999928
6.37055396,19.27500048,0.88098023,0.88098023,1.76196045,6.06151832,18.45000161,6.67958959,20.09999935
6.35986710,19.27499928,0.88100343,0.88100343,1.76200686,6.05076583,18.45000022,6.66896837,20.09999834
6.34917979,19.27499954,0.88102788,0.88102788,1.76205576,6.04000933,18.45000030,6.65835026,20.09999878
6.33886674,19.27599988,0.87998415,0.87998415,1.75996829,6.03000006,18.45200141,6.64773342,20.09999834
6.33355927,19.29035307,0.86468022,0.86468022,1.72936043,6.03000042,18.48070876,6.63711812,20.09999737
6.32825332,19.30470457,0.84937992,0.84937992,1.69875984,6.03000078,18.50941112,6.62650585,20.09999802
6.32294794,19.31905516,0.83407957,0.83407957,1.66815914,6.03000028,18.53811317,6.61589559,20.09999716
6.31449065,19.32499987,0.82775880,0.82775880,1.65551760,6.02369346,18.55000205,6.60528784,20.09999770
6.30380229,19.32499934,0.82778807,0.82778807,1.65557614,6.01292351,18.55000088,6.59468107,20.09999781
6.29311319,19.32499986,0.82781617,0.82781617,1.65563234,6.00215164,18.55000245,6.58407473,20.09999728
6.28568641,19.33368932,0.83713013,0.83713013,1.67426026,5.99137307,18.55000155,6.57999975,20.11737708
6.28029575,19.34779612,0.85223147,0.85223147,1.70446293,5.98059144,18.55000178,6.58000005,20.14559045
6.27553194,19.36356744,0.84012821,0.84012821,1.68025642,5.98000091,18.57713446,6.57106296,20.15000041
6.27023549,19.37791294,0.82483521,0.82483521,1.64967042,5.98000068,18.60582689,6.56047031,20.14999900
6.26494095,19.39225610,0.80954588,0.80954588,1.61909177,5.98000058,18.63451371,6.54988132,20.14999848
6.25716762,19.40000055,0.80130863,0.80130863,1.60261726,5.97503958,18.65000103,6.53929566,20.15000008
6.24647998,19.40000011,0.80134276,0.80134276,1.60268553,5.96425140,18.65000194,6.52870856,20.14999828
6.23579149,19.40000077,0.80138060,0.80138060,1.60276120,5.95345887,18.65000133,6.51812410,20.15000021
6.22510209,19.40000064,0.80141726,0.80141726,1.60283452,5.94266348,18.65000194,6.50754071,20.14999934
6.21441133,19.40000051,0.80145630,0.80145630,1.60291261,5.93186297,18.65000142,6.49695968,20.14999960
6.20819038,19.41186288,0.78881835,0.78881835,1.57763670,5.93000067,18.67372680,6.48638010,20.14999896
6.20245178,19.42499992,0.77481935,0.77481935,1.54963869,5.92910183,18.70000004,6.47580172,20.14999980
6.19176114,19.42499984,0.77486449,0.77486449,1.54972898,5.91828230,18.70000032,6.46523999,20.14999935
6.18106843,19.42499906,0.77491085,0.77491085,1.54982170,5.90745746,18.69999984,6.45467939,20.14999828
6.17037506,19.42499949,0.77495852,0.77495852,1.54991704,5.89662991,18.69999997,6.44412021,20.14999900
6.15968136,19.42500040,0.77500615,0.77500615,1.55001230,5.88579837,18.70000203,6.43356436,20.14999877
6.15499972,19.44091404,0.77781738,0.77781738,1.55563475,5.88000020,18.71333234,6.42999925,20.16849574
6.15499979,19.46919777,0.77746463,0.77746463,1.55492925,5.87999987,18.74199334,6.42999971,20.19640221
6.14650458,19.47499942,0.77515749,0.77515749,1.55031499,5.87219309,18.75000125,6.42081607,20.19999759
6.13581437,19.47499971,0.77520997,0.77520997,1.55041994,5.86135567,18.75000115,6.41027308,20.19999828
