s,left_width,right_width
0.00000000,2.08143066,0.80390137
0.01000000,2.08510254,0.80013184
0.02000000,2.08877686,0.79636475
0.03000000,2.09244629,0.79260010
0.04000000,2.09611328,0.78884033
0.05000000,2.09978027,0.79240479
0.06000000,2.10344727,0.81918457
0.07000000,2.10710937,0.83099609
0.08000000,2.11077148,0.82724609
0.09000000,2.11443115,0.82349854
0.10000000,2.11809082,0.81975342
0.11000000,2.12174805,0.81600830
0.12000000,2.12540527,0.81226807
0.13000000,2.18247314,0.80852783
0.14000000,2.18612549,0.80479248
0.15000001,2.18977783,0.80105713
0.16000000,2.19342773,0.79732910
0.17000000,2.19707764,0.79360107
0.18000001,2.20072510,0.78987305
0.19000000,2.20437500,0.78614990
0.20000000,2.20802246,0.78242676
0.20999999,2.21166748,0.79495361
0.22000000,2.21531494,0.82181396
0.23000000,2.21895996,0.82467285
0.23999999,2.22260498,0.82095947
0.25000000,2.22625000,0.81724854
0.25999999,2.22989502,0.81353760
0.27000001,2.23354004,0.80982910
0.28000000,2.23718262,0.80612305
0.28999999,2.24082764,0.80241943
0.30000001,2.29786133,0.79871826
0.31000000,2.30150635,0.79501709
0.31999999,2.30514648,0.79131836
0.33000001,2.30614502,0.78762207
0.34000000,2.13695312,0.78392578
0.34999999,2.11040283,0.78023438
0.36000001,2.08383545,0.77654297
0.37000000,2.05725586,0.79713623
0.38000000,2.03065674,0.82254883
0.38999999,2.01037598,0.81885986
0.40000001,2.01402588,0.81517578
0.41000000,2.01767822,0.81149170
0.41999999,2.02133057,0.80780762
0.43000001,2.02498535,0.80412842
0.44000000,2.02864014,0.80044678
0.44999999,2.03229492,0.79677002
0.46000001,2.03594971,0.79309082
0.47000000,2.03960938,0.78941406
0.47999999,2.04326660,0.78574219
0.49000001,2.02270020,0.78206543
0.50000000,1.99720947,0.77839355
0.50999999,2.00087402,0.77472168
0.51999998,2.00453369,0.77105225
0.52999997,2.00820068,0.76738281
0.54000002,2.01186768,0.76371582
0.55000001,2.00473633,0.76004883
0.56000000,1.97789063,0.75638184
0.56999999,1.95103027,0.76297363
0.57999998,1.78131836,0.78978760
0.58999997,1.75444092,0.79876221
0.60000002,1.58471924,0.79509766
0.61000001,1.55782227,0.79143799
0.62000000,1.38810791,0.78777588
0.63000000,1.36120605,0.78411621
0.63999999,1.33429443,0.78045410
0.64999998,1.30738525,0.77679199
0.66000003,1.28046387,0.77313477
0.67000002,1.25354492,0.76947510
0.68000001,1.22661377,0.76581543
0.69000000,1.19968018,0.76216064
0.69999999,1.17274658,0.75850098
0.70999998,1.14581543,0.75484131
0.72000003,1.11886963,0.75118408
0.73000002,1.09193359,0.76280518
0.74000001,1.06499023,0.78948975
0.75000000,1.03804932,0.79360107
0.75999999,1.01110840,0.78994385
0.76999998,0.98416748,0.78628906
0.77999997,0.97928223,0.78263428
0.79000002,0.98298096,0.77897949
0.80000001,0.98668457,0.77532227
0.81000000,0.99038818,0.77166748
0.81999999,0.99195801,0.76801025
0.82999998,0.96500732,0.76435303
0.83999997,0.93806152,0.76069824
0.85000002,0.91111816,0.75704102
0.86000001,0.90213379,0.75338379
0.87000000,0.90584961,0.74972656
0.88000000,0.90956543,0.74606689
0.88999999,0.91328613,0.76097412
0.89999998,0.91700684,0.78745605
0.91000003,0.89174805,0.78850830
0.92000002,0.86482178,0.78484863
0.93000001,0.83790283,0.78118896
0.94000000,0.82508301,0.77753418
0.94999999,0.82881348,0.77387207
0.95999998,0.83254883,0.77021240
0.97000003,0.83628418,0.76655029
0.98000002,0.84002441,0.76288818
0.99000001,0.81841309,0.75922363
1.00000000,0.79407959,0.75555908
1.00999999,0.79783203,0.75189697
1.01999998,0.80158691,0.74823486
1.02999997,0.80534424,0.74457275
1.03999996,0.80910156,0.74091064
1.04999995,0.79861572,0.75701904
1.05999994,0.77174316,0.78318604
1.07000005,0.76694824,0.78336670
1.08000004,0.77071777,0.77970215
1.09000003,0.77449219,0.77603271
1.10000002,0.77827148,0.77236328
1.11000001,0.77871094,0.76869385
1.12000000,0.75189697,0.76502197
1.13000000,0.73614258,0.76134521
1.13999999,0.73992920,0.75766846
1.14999998,0.74372070,0.75399170
1.15999997,0.74751465,0.75031006
1.16999996,0.75131348,0.74662842
1.17999995,0.73205566,0.74294434
1.19000006,0.70541504,0.73925781
1.20000005,0.70922119,0.73556641
1.21000004,0.71302979,0.75072021
1.22000003,0.71684082,0.77655518
1.23000002,0.72065918,0.77801025
1.24000001,0.72447998,0.77431641
1.25000000,0.72830322,0.77062256
1.25999999,0.73213135,0.76692139
1.26999998,0.73596191,0.76322021
1.27999997,0.73979736,0.75951660
1.28999996,0.71908447,0.75580811
1.29999995,0.69392578,0.75209717
1.30999994,0.69776855,0.74838379
1.32000005,0.70161377,0.75411621
1.33000004,0.70546875,0.77970459
1.34000003,0.70932373,0.79080078
1.35000002,0.69937500,0.78708008
1.36000001,0.67293457,0.78335693
1.37000000,0.66732666,0.77962891
1.38000000,0.67119385,0.77590088
1.38999999,0.67506348,0.77216797
1.39999998,0.67894043,0.76843018
1.40999997,0.68282227,0.76468994
1.41999996,0.68670654,0.76094727
1.42999995,0.69059814,0.75719971
1.44000006,0.69449219,0.78203857
1.45000005,0.69839111,0.80332520
1.46000004,0.68666260,0.79957275
1.47000003,0.66042725,0.79581543
1.48000002,0.65646484,0.79205322
1.49000001,0.66037354,0.78829102
1.50000000,0.66429199,0.78452148
1.50999999,0.66821289,0.78074951
1.51999998,0.67213867,0.77697510
1.52999997,0.67606934,0.77319336
1.53999996,0.68000488,0.76940674
1.54999995,0.68394531,0.76561768
1.55999994,0.68789063,0.76182373
1.57000005,0.67430420,0.75802734
1.58000004,0.64829102,0.75422363
1.59000003,0.64604492,0.75041748
1.60000002,0.65000488,0.77170654
1.61000001,0.65396973,0.79651123
1.62000000,0.65793701,0.79269775
1.63000000,0.65535400,0.78887939
1.63999999,0.62948486,0.78505371
1.64999998,0.61613281,0.78122559
1.65999997,0.62011719,0.77739014
1.66999996,0.62410400,0.77355469
1.67999995,0.62809814,0.76970947
1.69000006,0.63209961,0.76586182
1.70000005,0.63610352,0.76200684
1.71000004,0.64011230,0.75814941
1.72000003,0.64412842,0.75428223
1.73000002,0.64814941,0.75041504
1.74000001,0.64394531,0.74654053
1.75000000,0.61832275,0.74266113
1.75999999,0.60643311,0.76035889
1.76999998,0.61047119,0.78497314
1.77999997,0.61451416,0.78480469
1.78999996,0.61855957,0.78091064
1.79999995,0.62261230,0.77700928
1.80999994,0.62667236,0.77310059
1.82000005,0.63073486,0.76918945
1.83000004,0.63480469,0.76527100
1.84000003,0.63887939,0.76134766
1.85000002,0.64296143,0.75741699
1.86000001,0.64704834,0.75347900
1.87000000,0.65114014,0.74953857
1.88000000,0.65523682,0.74559326
1.88999999,0.65934082,0.74163574
1.89999998,0.66344727,0.73767822
1.90999997,0.66756592,0.73371094
1.91999996,0.67168457,0.72974121
1.92999995,0.67581055,0.72576172
1.94000006,0.67994141,0.72177734
1.95000005,0.68407715,0.71779053
1.96000004,0.68821777,0.71379639
1.97000003,0.69236328,0.73597168
1.98000002,0.69651367,0.75972656
1.99000001,0.70067139,0.75572266
2.00000000,0.70483154,0.75171143
2.00999999,0.70899658,0.74769531
2.01999998,0.71316895,0.74367188
2.02999997,0.77130371,0.73964600
2.03999996,0.77549072,0.73561523
2.04999995,0.77968018,0.73157715
2.05999994,0.77215332,0.72753418
2.06999993,0.74717529,0.72348389
2.07999992,0.72223145,0.71943359
2.08999991,0.69732910,0.71537598
2.09999990,0.69268799,0.71131104
2.10999990,0.69689209,0.70724365
2.11999989,0.70110107,0.70316895
2.13000011,0.70531006,0.72342529
2.14000010,0.70541748,0.74740967
2.15000010,0.68065186,0.74494629
2.16000009,0.66393555,0.74086182
2.17000008,0.66815674,0.73676758
2.18000007,0.67238281,0.73267090
2.19000006,0.67661133,0.72856934
2.20000005,0.68084229,0.72446533
2.21000004,0.66432861,0.72035400
2.22000003,0.63972412,0.71624023
2.23000002,0.63948975,0.71212158
2.24000001,0.64373047,0.70799805
2.25000000,0.64797363,0.70386963
2.25999999,0.65221924,0.69973877
2.26999998,0.65646729,0.69560059
2.27999997,0.66072021,0.69145996
2.28999996,0.66497070,0.71108643
2.29999995,0.66923096,0.73489502
