s,left_width,right_width
0.00000000,1.44266595,1.44266595
0.01062690,1.44261717,1.44261717
0.02125262,1.44257078,1.44257078
0.03187867,1.44252323,1.44252323
0.04250382,1.44247688,1.44247688
0.05244978,1.44609251,1.44609251
0.06767368,1.46131590,1.46131590
0.07840939,1.46905280,1.46905280
0.08903772,1.46900881,1.46900881
0.09966663,1.46896485,1.46896485
0.11029568,1.46892214,1.46892214
0.12092450,1.46887817,1.46887817
0.13155344,1.46883671,1.46883671
0.16358192,1.49550051,1.49550051
0.17420962,1.49545901,1.49545901
0.18483739,1.49541750,1.49541750
0.19546530,1.49537838,1.49537838
0.20609432,1.49533933,1.49533933
0.21672308,1.49529912,1.49529912
0.22735265,1.49526248,1.49526248
0.23798318,1.49522464,1.49522464
0.24886134,1.50331058,1.50331058
0.26411411,1.51856447,1.51856447
0.27408129,1.52181643,1.52181643
0.28471637,1.52178218,1.52178218
0.29535025,1.52174933,1.52174933
0.30598596,1.52171634,1.52171634
0.31662217,1.52168462,1.52168462
0.32725886,1.52165280,1.52165280
0.33789718,1.52162356,1.52162356
0.36991173,1.54828984,1.54828984
0.38055134,1.54826182,1.54826182
0.39118907,1.54823242,1.54823242
0.40144154,1.54688354,1.54688354
0.48473012,1.46043950,1.46043950
0.49985185,1.44531861,1.44531861
0.51498133,1.43018925,1.43018925
0.54053247,1.42719604,1.42719604
0.56832832,1.42660274,1.42660274
0.58126634,1.41461790,1.41461790
0.59192187,1.41460090,1.41460090
0.60257781,1.41458498,1.41458498
0.61323518,1.41456915,1.41456915
0.62389356,1.41455690,1.41455690
0.63455433,1.41454348,1.41454348
0.64521527,1.41453246,1.41453246
0.65587664,1.41452028,1.41452028
0.66654152,1.41451170,1.41451170
0.67720628,1.41450439,1.41450439
0.69024622,1.40238285,1.40238285
0.70499098,1.38780152,1.38780152
0.71566111,1.38779789,1.38779789
0.72633052,1.38779300,1.38779300
0.73700392,1.38779176,1.38779176
0.74767756,1.38779175,1.38779175
0.75781494,1.38239261,1.38239261
0.77307069,1.36713620,1.36713620
0.79250205,1.35700196,1.35700196
0.89120179,1.28555301,1.28555301
0.91167176,1.27660156,1.27660156
0.99523181,1.18990849,1.18990849
1.01051068,1.17463016,1.17463016
1.09406793,1.08794188,1.08794188
1.10934985,1.07266114,1.07266114
1.12463677,1.05737428,1.05737428
1.13992071,1.04208867,1.04208867
1.15521133,1.02679934,1.02679934
1.17050147,1.01151001,1.01151001
1.18579483,0.99621466,0.99621466
1.20109081,0.98092043,0.98092043
1.21638620,0.96562378,0.96562378
1.23168194,0.95032838,0.95032838
1.24698269,0.93502683,0.93502683
1.26864040,0.92736938,0.92736938
1.29719722,0.92724000,0.92724000
1.31560755,0.91582518,0.91582518
1.33090651,0.90052608,0.90052608
1.34620547,0.88522826,0.88522826
1.35622680,0.88095826,0.88095826
1.36691165,0.88098023,0.88098023
1.37759852,0.88100343,0.88100343
1.38828576,0.88102788,0.88102788
1.39864719,0.87998415,0.87998415
1.41395032,0.86468022,0.86468022
1.42925119,0.84937992,0.84937992
1.44455111,0.83407957,0.83407957
1.45488870,0.82775880,0.82775880
1.46557701,0.82778807,0.82778807
1.47626615,0.82781617,0.82781617
1.48769701,0.83713013,0.83713013
1.50279868,0.85223147,0.85223147
1.51927376,0.84012821,0.84012821
1.53456581,0.82483521,0.82483521
1.54985487,0.80954588,0.80954588
1.56082761,0.80130863,0.80130863
1.57151532,0.80134276,0.80134276
1.58220375,0.80138060,0.80138060
1.59289324,0.80141726,0.80141726
1.60358393,0.80145630,0.80145630
1.61697865,0.78881835,0.78881835
1.63131428,0.77481935,0.77481935
1.64200497,0.77486449,0.77486449
1.65269768,0.77491085,0.77491085
1.66339099,0.77495852,0.77495852
1.67408478,0.77500615,0.77500615
1.69067276,0.77781738,0.77781738
1.71895647,0.77746463,0.77746463
1.72924376,0.77515749,0.77515749
1.73993397,0.77520997,0.77520997
1.75062621,0.77526244,0.77526244
1.76131999,0.77531740,0.77531740
1.77154267,0.77370239,0.77370239
1.78678596,0.75845948,0.75845948
1.79843330,0.74874394,0.74874394
1.80912745,0.74879884,0.74879884
1.81982279,0.74885618,0.74885618
1.83052039,0.74891235,0.74891235
1.84121978,0.74897093,0.74897093
1.85385442,0.73750004,0.73750004
1.86902726,0.72233645,0.72233645
1.87972593,0.72239381,0.72239381
1.89118826,0.73187502,0.73187502
1.90601218,0.74669801,0.74669801
1.91608286,0.74933475,0.74933475
1.92678130,0.74939818,0.74939818
1.93748152,0.74946292,0.74946292
1.94818413,0.74952638,0.74952638
1.95888782,0.74959106,0.74959106
1.96959341,0.74965701,0.74965701
1.98267817,0.73744628,0.73744628
1.99729383,0.72301149,0.72301149
2.00799870,0.72307616,0.72307616
2.01803136,0.72786498,0.72786498
2.03275251,0.74258671,0.74258671
2.04335976,0.75006227,0.75006227
2.05380630,0.74322756,0.74322756
2.06889033,0.72814577,0.72814577
2.07891560,0.72347782,0.72347782
2.08961916,0.72354738,0.72354738
2.10032463,0.72361569,0.72361569
2.11103320,0.72368529,0.72368529
2.12174344,0.72375611,0.72375611
2.13245535,0.72382692,0.72382692
2.14317012,0.72389895,0.72389895
2.15760660,0.73826535,0.73826535
2.17081571,0.75085815,0.75085815
2.18154979,0.74311770,0.74311770
2.19654846,0.72812134,0.72812134
2.20653105,0.72425906,0.72425906
2.21724176,0.72433231,0.72433231
2.22795606,0.72440673,0.72440673
2.23867154,0.72448122,0.72448122
2.24938989,0.72455687,0.72455687
2.26011038,0.72463134,0.72463134
2.27083254,0.72470581,0.72470581
2.28155732,0.72478150,0.72478150
2.29228401,0.72485719,0.72485719
2.30339193,0.71616575,0.71616575
2.31830001,0.70125730,0.70125730
2.32831931,0.69823120,0.69823120
2.34151697,0.71085571,0.71085571
2.35592365,0.72524048,0.72524048
2.36664772,0.72531736,0.72531736
2.37665081,0.72211668,0.72211668
2.39149904,0.70726931,0.70726931
2.40254211,0.69867919,0.69867919
2.41326880,0.69875366,0.69875366
2.42399645,0.69882935,0.69882935
2.43472672,0.69890381,0.69890381
2.44545937,0.69898068,0.69898068
2.45619535,0.69905516,0.69905516
2.46693230,0.69913085,0.69913085
2.47767258,0.69920533,0.69920533
2.48841405,0.69928221,0.69928221
2.49840140,0.69524293,0.69524293
2.51315236,0.68049191,0.68049191
2.53099036,0.68339601,0.68339601
2.54531765,0.69772215,0.69772215
2.55551505,0.69965944,0.69965944
2.56625509,0.69973513,0.69973513
2.57699752,0.69981082,0.69981082
2.58774281,0.69988647,0.69988647
2.59849000,0.69996219,0.69996219
2.60923958,0.70003783,0.70003783
2.61999178,0.70011352,0.70011352
2.63074660,0.70018920,0.70018920
2.64150357,0.70026367,0.70026367
2.65226221,0.70033936,0.70033936
2.66302347,0.70041505,0.70041505
2.67378736,0.70048828,0.70048828
2.68455291,0.70056277,0.70056277
2.69532275,0.70063843,0.70063843
2.70609236,0.70071287,0.70071287
2.71686649,0.70078614,0.70078614
2.72764206,0.70085941,0.70085941
2.73841882,0.70093383,0.70093383
2.74919915,0.70100704,0.70100704
2.76268148,0.71416751,0.71416751
2.77670527,0.72812012,0.72812012
2.78748465,0.72819703,0.72819703
2.79826593,0.72827147,0.72827147
2.80904984,0.72834593,0.72834593
2.81983638,0.72842045,0.72842045
2.85244536,0.75547486,0.75547486
2.86324310,0.75555296,0.75555296
2.87404275,0.75562864,0.75562864
2.88420773,0.74984372,0.74984372
2.89872146,0.73532956,0.73532956
2.91322064,0.72083255,0.72083255
2.92770171,0.70635256,0.70635256
2.93770576,0.70199954,0.70199954
2.94850397,0.70206789,0.70206789
