s,left_x,left_y,right_x,right_y
0.00000000,6.41378998,17.15000058,7.43121328,19.84999872
0.01062690,6.40329724,17.15000270,7.42045222,19.84999768
0.02125262,6.39280610,17.15000168,7.40969192,19.84999892
0.03187867,6.38231222,17.15000269,7.39893371,19.84999784
0.04250382,6.37181979,17.15000145,7.38817584,19.84999748
0.05244978,6.36132203,17.15000224,7.37999986,19.85685091
0.06767368,6.35082110,17.15000203,7.37999915,19.88543054
0.07840939,6.34032345,17.15000149,7.37472282,19.89999831
0.08903772,6.32982202,17.15000225,7.36396760,19.90000051
0.09966663,6.31931758,17.15000253,7.35321421,19.90000047
0.11029568,6.30881113,17.15000145,7.34246256,19.90000031
0.12092450,6.29830477,17.15000284,7.33171130,19.89999980
0.13155344,6.28779609,17.15000084,7.32096208,19.89999960
0.16358192,6.25850503,17.09999976,7.31021431,19.89999881
0.17420962,6.24799514,17.10000107,7.29946879,19.89999995
0.18483739,6.23748502,17.10000041,7.28872341,19.89999895
0.19546530,6.22696977,17.10000038,7.27798283,19.89999994
0.20609432,6.21645202,17.10000083,7.26724252,19.90000051
0.21672308,6.20593460,17.10000161,7.25650241,19.89999895
0.22735265,6.19541251,17.09999959,7.24576537,19.89999930
0.23798318,6.18488698,17.10000127,7.23502985,19.89999892
0.24886134,6.17436195,17.10000138,7.22999988,19.91520997
0.26411411,6.16383358,17.09999983,7.22999982,19.94384260
0.27408129,6.15329955,17.10000088,7.22157433,19.94999913
0.28471637,6.14276114,17.10000145,7.21084258,19.94999900
0.29535025,6.13222321,17.09999983,7.20011273,19.94999915
0.30598596,6.12168075,17.09999978,7.18938378,19.94999851
0.31662217,6.11113554,17.10000052,7.17865658,19.94999967
0.32725886,6.10058722,17.10000119,7.16793154,19.94999858
0.33789718,6.09003313,17.10000104,7.15720898,19.94999906
0.36991173,6.06075669,17.05000080,7.14648885,19.94999931
0.38055134,6.05019651,17.05000066,7.13576981,19.94999881
0.39118907,6.03964009,17.05000251,7.12505074,19.94999875
0.40144154,6.03000051,17.05247953,7.11433541,19.94999787
0.48473012,6.08000045,17.21435714,7.10362232,19.94999827
0.49985185,6.08000034,17.24263929,7.09291055,19.94999898
0.51498133,6.08000039,17.27093971,7.08220112,19.94999904
0.54053247,6.08000029,17.29925126,7.08000005,19.97274235
0.56832832,6.08000070,17.32758327,7.07948682,19.99999960
0.58126634,6.07778035,17.34999980,7.06878017,19.99999877
0.59192187,6.06717294,17.35000132,7.05807655,19.99999998
0.60257781,6.05656307,17.35000156,7.04737455,20.00000067
0.61323518,6.04594903,17.35000113,7.03667384,19.99999884
0.62389356,6.03532998,17.34999992,7.02597609,20.00000090
0.63455433,6.02470526,17.35000057,7.01527932,19.99999983
0.64521527,6.01407671,17.35000082,7.00458599,20.00000076
0.65587664,6.00344769,17.35000115,6.99389219,19.99999929
0.66654152,5.99280776,17.35000025,6.98320235,19.99999874
0.67720628,5.98216588,17.35000054,6.97251480,20.00000048
0.69024622,5.98000051,17.37269501,6.96182753,19.99999901
0.70499098,5.97955258,17.40000279,6.95114432,19.99999928
0.71566111,5.96889562,17.40000069,6.94046106,19.99999925
0.72633052,5.95823721,17.40000267,6.92978061,19.99999903
0.73700392,5.94756850,17.40000243,6.91910253,19.99999965
0.74767756,5.93689640,17.40000171,6.90842728,20.00000008
0.75781494,5.93000066,17.41011706,6.89775200,20.00000020
0.77307069,5.93000067,17.43870174,6.88707921,19.99999951
0.79250205,5.93000060,17.46730386,6.87999942,20.00960980
0.89120179,5.98000060,17.62971738,6.87999946,20.03815842
0.91167176,5.98000094,17.65833770,6.87375723,20.04999943
0.99523181,6.03000028,17.82076395,6.86309363,20.04999798
1.01051068,6.03000068,17.84940107,6.85243268,20.04999863
1.09406793,6.08000076,18.01181936,6.84177206,20.04999860
1.10934985,6.08000071,18.04046389,6.83111508,20.04999988
1.12463677,6.08000093,18.06912049,6.82045880,20.05000000
1.13992071,6.08000042,18.09777300,6.80980376,20.04999795
1.15521133,6.08000094,18.12643822,6.79915300,20.04999947
1.17050147,6.08000042,18.15510332,6.78850297,20.05000019
1.18579483,6.08000067,18.18377898,6.77785512,20.04999808
1.20109081,6.08000099,18.21245733,6.76721036,20.04999994
1.21638620,6.08000082,18.24113794,6.75656596,20.04999856
1.23168194,6.08000036,18.26981809,6.74592302,20.04999874
1.24698269,6.08000093,18.29851148,6.73528403,20.04999793
1.26864040,6.08000078,18.32719482,6.72999963,20.06430661
1.29719722,6.08000101,18.35588985,6.73000020,20.09272522
1.31560755,6.08000066,18.38457853,6.72209127,20.09999764
1.33090651,6.08000068,18.41327108,6.71146179,20.09999743
1.34620547,6.08000078,18.44196389,6.70083672,20.09999858
1.35622680,6.07226562,18.45000163,6.69021189,20.09999928
1.36691165,6.06151832,18.45000161,6.67958959,20.09999935
1.37759852,6.05076583,18.45000022,6.66896837,20.09999834
1.38828576,6.04000933,18.45000030,6.65835026,20.09999878
1.39864719,6.03000006,18.45200141,6.64773342,20.09999834
1.41395032,6.03000042,18.48070876,6.63711812,20.09999737
1.42925119,6.03000078,18.50941112,6.62650585,20.09999802
1.44455111,6.03000028,18.53811317,6.61589559,20.09999716
1.45488870,6.02369346,18.55000205,6.60528784,20.09999770
1.46557701,6.01292351,18.55000088,6.59468107,20.09999781
1.47626615,6.00215164,18.55000245,6.58407473,20.09999728
1.48769701,5.99137307,18.55000155,6.57999975,20.11737708
1.50279868,5.98059144,18.55000178,6.58000005,20.14559045
1.51927376,5.98000091,18.57713446,6.57106296,20.15000041
1.53456581,5.98000068,18.60582689,6.56047031,20.14999900
1.54985487,5.98000058,18.63451371,6.54988132,20.14999848
1.56082761,5.97503958,18.65000103,6.53929566,20.15000008
1.57151532,5.96425140,18.65000194,6.52870856,20.14999828
1.58220375,5.95345887,18.65000133,6.51812410,20.15000021
1.59289324,5.94266348,18.65000194,6.50754071,20.14999934
1.60358393,5.93186297,18.65000142,6.49695968,20.14999960
1.61697865,5.93000067,18.67372680,6.48638010,20.14999896
1.63131428,5.92910183,18.70000004,6.47580172,20.14999980
1.64200497,5.91828230,18.70000032,6.46523999,20.14999935
1.65269768,5.90745746,18.69999984,6.45467939,20.14999828
1.66339099,5.89662991,18.69999997,6.44412021,20.14999900
1.67408478,5.88579837,18.70000203,6.43356436,20.14999877
1.69067276,5.88000020,18.71333234,6.42999925,20.16849574
1.71895647,5.87999987,18.74199334,6.42999971,20.19640221
1.72924376,5.87219309,18.75000125,6.42081607,20.19999759
1.73993397,5.86135567,18.75000115,6.41027308,20.19999828
1.75062621,5.85051338,18.75000189,6.39973094,20.19999757
1.76131999,5.83966566,18.75000152,6.38919090,20.19999817
1.77154267,5.83000043,18.75312492,6.37865092,20.19999885
1.78678596,5.83000053,18.78173236,6.36811208,20.19999859
1.79843330,5.82608559,18.80000073,6.35757244,20.19999776
1.80912745,5.81523563,18.80000228,6.34703417,20.19999839
1.81982279,5.80438078,18.80000085,6.33649829,20.19999844
1.83052039,5.79352336,18.80000176,6.32596056,20.19999800
1.84121978,5.78266039,18.80000172,6.31542477,20.19999883
1.85385442,5.78000085,18.82155200,6.30488955,20.19999934
1.86902726,5.77997645,18.85000099,6.29435396,20.19999935
1.87972593,5.76911549,18.85000116,6.28381756,20.19999858
1.89118826,5.75825066,18.85000039,6.27999953,20.21760497
1.90601218,5.74738296,18.85000042,6.27999943,20.24518907
1.91608286,5.73651109,18.85000047,6.27131279,20.24999955
1.92678130,5.72563578,18.84999970,6.26079135,20.24999936
1.93748152,5.71475608,18.84999985,6.25027046,20.25000093
1.94818413,5.70387427,18.85000004,6.23974705,20.24999988
1.95888782,5.69298956,18.85000104,6.22922447,20.25000073
1.96959341,5.68209975,18.85000102,6.21870318,20.25000077
1.98267817,5.68000067,18.87292586,6.20818014,20.25000049
1.99729383,5.67950159,18.90000070,6.19765773,20.24999946
2.00799870,5.66861576,18.90000212,6.18713400,20.25000041
2.01803136,5.65772647,18.90000246,6.17999947,20.25881836
2.03275251,5.64683202,18.90000077,6.17999955,20.28617265
2.04335976,5.63593678,18.90000178,6.17480618,20.29999943
2.05380630,5.63000037,18.91288733,6.16429519,20.29999866
2.06889033,5.63000033,18.94116333,6.15378332,20.29999975
2.07891560,5.62251440,18.95000055,6.14327047,20.29999823
2.08961916,5.61161902,18.94999990,6.13275876,20.29999864
2.10032463,5.60072126,18.95000179,6.12224527,20.29999859
2.11103320,5.58981925,18.95000164,6.11173013,20.29999816
2.12174344,5.57891458,18.95000169,6.10121438,20.29999966
2.13245535,5.56800631,18.95000094,6.09069903,20.29999870
2.14317012,5.55709440,18.94999988,6.08018121,20.29999950
2.15760660,5.54617993,18.94999978,6.07999947,20.32665500
2.17081571,5.53526251,18.94999992,6.07854675,20.34999780
2.18154979,5.53000042,18.96457064,6.06804196,20.34999727
2.19654846,5.53000054,18.99266652,6.05753512,20.34999846
2.20653105,5.52193966,19.00000163,6.04702648,20.34999739
2.21724176,5.51102641,19.00000318,6.03651811,20.34999860
2.22795606,5.50010859,19.00000241,6.02600734,20.34999905
2.23867154,5.48918801,19.00000253,6.01549690,20.34999924
2.24938989,5.47826369,19.00000108,6.00498480,20.34999941
2.26011038,5.46733809,19.00000136,5.99446948,20.34999944
2.27083254,5.45640894,19.00000239,5.98395441,20.34999863
2.28155732,5.44547639,19.00000167,5.97343721,20.34999806
2.29228401,5.43454203,19.00000102,5.96291822,20.34999745
2.30339193,5.43000035,19.01632915,5.95239692,20.34999902
2.31830001,5.43000092,19.04422872,5.94187498,20.34999752
2.32831931,5.42133625,19.05000154,5.93135114,20.34999849
2.34151697,5.41040609,19.05000123,5.92999929,20.37336296
2.35592365,5.39947233,19.05000131,5.92994578,20.39999870
2.36664772,5.38853721,19.05000186,5.91943257,20.39999861
2.37665081,5.38000039,19.05610417,5.90891710,20.40000041
2.39149904,5.38000056,19.08387585,5.89839904,20.39999991
2.40254211,5.37542381,19.09999984,5.88788085,20.39999916
2.41326880,5.36449308,19.09999988,5.87735833,20.39999832
2.42399645,5.35356088,19.10000040,5.86683528,20.40000011
2.43472672,5.34262576,19.10000092,5.85630982,20.39999893
2.44545937,5.33168686,19.09999952,5.84578353,20.39999975
2.45619535,5.32074659,19.10000004,5.83525175,20.39999884
2.46693230,5.30980491,19.10000068,5.82471947,20.40000021
2.47767258,5.29885926,19.10000154,5.81418491,20.39999841
2.48841405,5.28791184,19.10000042,5.80364904,20.39999948
2.49840140,5.28000004,19.10765020,5.79310977,20.40000051
2.51315236,5.28000040,19.13520604,5.78256881,20.39999929
2.53099036,5.27494065,19.15000126,5.77999939,20.42005484
2.54531765,5.26399968,19.15000131,5.77999986,20.44653847
2.55551505,5.25305672,19.15000126,5.77084340,20.44999752
2.56625509,5.24211187,19.15000170,5.76030815,20.44999770
2.57699752,5.23116522,19.15000170,5.74976989,20.44999782
2.58774281,5.22021576,19.15000150,5.73922882,20.44999754
2.59849000,5.20926483,19.15000153,5.72868518,20.44999797
2.60923958,5.19831164,19.15000137,5.71813910,20.44999801
2.61999178,5.18735604,19.15000131,5.70759066,20.44999811
2.63074660,5.17639820,19.15000079,5.69703871,20.44999815
2.64150357,5.16544007,19.15000186,5.68648308,20.44999840
2.65226221,5.15447894,19.15000139,5.67592670,20.44999875
2.66302347,5.14351613,19.15000078,5.66536712,20.44999944
2.67378736,5.13255256,19.15000143,5.65480262,20.44999766
2.68455291,5.12158656,19.15000272,5.64423763,20.44999835
2.69532275,5.11061642,19.15000102,5.63366836,20.44999853
2.70609236,5.09964796,19.15000156,5.62309718,20.44999965
2.71686649,5.08867632,19.15000159,5.61252072,20.44999847
2.72764206,5.07770385,19.15000151,5.60194221,20.44999758
2.73841882,5.06672906,19.15000181,5.59136320,20.44999871
2.74919915,5.05575320,19.15000152,5.58077859,20.44999838
2.76268148,5.04477612,19.15000098,5.57999942,20.47426566
2.77670527,5.03379781,19.15000231,5.57982431,20.49999887
2.78748465,5.02281689,19.15000121,5.56924626,20.50000069
2.79826593,5.01183629,19.15000201,5.55866407,20.50000080
