s,left_x,left_y,right_x,right_y
0.00000000,6.41378998,17.15000058,7.43121328,19.84999872
0.01000000,6.40329724,17.15000270,7.42045222,19.84999768
0.02000000,6.39280610,17.15000168,7.40969192,19.84999892
0.03000000,6.38231222,17.15000269,7.39893371,19.84999784
0.04000000,6.37181979,17.15000145,7.38817584,19.84999748
0.05000000,6.36132203,17.15000224,7.37999986,19.85685091
0.06000000,6.35082110,17.15000203,7.37999915,19.88543054
0.07000000,6.34032345,17.15000149,7.37472282,19.89999831
0.08000000,6.32982202,17.15000225,7.36396760,19.90000051
0.09000000,6.31931758,17.15000253,7.35321421,19.90000047
0.10000000,6.30881113,17.15000145,7.34246256,19.90000031
0.11000000,6.29830477,17.15000284,7.33171130,19.89999980
0.12000000,6.28779609,17.15000084,7.32096208,19.89999960
0.13000000,6.25850503,17.09999976,7.31021431,19.89999881
0.14000000,6.24799514,17.10000107,7.29946879,19.89999995
0.15000001,6.23748502,17.10000041,7.28872341,19.89999895
0.16000000,6.22696977,17.10000038,7.27798283,19.89999994
0.17000000,6.21645202,17.10000083,7.26724252,19.90000051
0.18000001,6.20593460,17.10000161,7.25650241,19.89999895
0.19000000,6.19541251,17.09999959,7.24576537,19.89999930
0.20000000,6.18488698,17.10000127,7.23502985,19.89999892
0.20999999,6.17436195,17.10000138,7.22999988,19.91520997
0.22000000,6.16383358,17.09999983,7.22999982,19.94384260
0.23000000,6.15329955,17.10000088,7.22157433,19.94999913
0.23999999,6.14276114,17.10000145,7.21084258,19.94999900
0.25000000,6.13222321,17.09999983,7.20011273,19.94999915
0.25999999,6.12168075,17.09999978,7.18938378,19.94999851
0.27000001,6.11113554,17.10000052,7.17865658,19.94999967
0.28000000,6.10058722,17.10000119,7.16793154,19.94999858
0.28999999,6.09003313,17.10000104,7.15720898,19.94999906
0.30000001,6.06075669,17.05000080,7.14648885,19.94999931
0.31000000,6.05019651,17.05000066,7.13576981,19.94999881
0.31999999,6.03964009,17.05000251,7.12505074,19.94999875
0.33000001,6.03000051,17.05247953,7.11433541,19.94999787
0.34000000,6.08000045,17.21435714,7.10362232,19.94999827
0.34999999,6.08000034,17.24263929,7.09291055,19.94999898
0.36000001,6.08000039,17.27093971,7.08220112,19.94999904
0.37000000,6.08000029,17.29925126,7.08000005,19.97274235
0.38000000,6.08000070,17.32758327,7.07948682,19.99999960
0.38999999,6.07778035,17.34999980,7.06878017,19.99999877
0.40000001,6.06717294,17.35000132,7.05807655,19.99999998
0.41000000,6.05656307,17.35000156,7.04737455,20.00000067
0.41999999,6.04594903,17.35000113,7.03667384,19.99999884
0.43000001,6.03532998,17.34999992,7.02597609,20.00000090
0.44000000,6.02470526,17.35000057,7.01527932,19.99999983
0.44999999,6.01407671,17.35000082,7.00458599,20.00000076
0.46000001,6.00344769,17.35000115,6.99389219,19.99999929
0.47000000,5.99280776,17.35000025,6.98320235,19.99999874
0.47999999,5.98216588,17.35000054,6.97251480,20.00000048
0.49000001,5.98000051,17.37269501,6.96182753,19.99999901
0.50000000,5.97955258,17.40000279,6.95114432,19.99999928
