x_m,y_m,w_tr_left_m,w_tr_right_m,w_total_m,left_x_m,left_y_m,right_x_m,right_y_m
-1.75826652,0.73641968,1.21959960,1.21959960,2.43919920,-1.62684846,1.94891813,-1.88968458,-0.47607876
-1.74819433,0.73642094,1.21961057,1.21961057,2.43922114,-1.61667936,1.94891991,-1.87970931,-0.47607803
-1.73812258,0.73641987,1.21962042,1.21962042,2.43924084,-1.60651331,1.94891852,-1.86973185,-0.47607877
-1.72805086,0.73642017,1.21963015,1.21963015,2.43926030,-1.59634984,1.94891864,-1.85975188,-0.47607830
-1.71797945,0.73641941,1.21963990,1.21963990,2.43927981,-1.58618917,1.94891800,-1.84976974,-0.47607917
-1.70654859,0.74891950,1.23222293,1.23222293,2.46444585,-1.57331204,1.97391802,-1.83978515,-0.47607901
-1.69647658,0.74892026,1.23223151,1.23223151,2.46446301,-1.56315506,1.97391816,-1.82979810,-0.47607764
-1.68640478,0.74892123,1.23224126,1.23224126,2.46448251,-1.55300070,1.97391995,-1.81980887,-0.47607749
-1.67633349,0.74892006,1.23224973,1.23224973,2.46449946,-1.54284954,1.97391860,-1.80981745,-0.47607849
-1.66626218,0.74892034,1.25740724,1.25740724,2.51481447,-1.52997504,1.99891985,-1.80254933,-0.50107917
-1.65619124,0.74892101,1.25741454,1.25741454,2.51482907,-1.51982794,1.99891956,-1.79255455,-0.50107753
-1.64612070,0.74891950,1.25742308,1.25742308,2.51484616,-1.50968369,1.99891859,-1.78255772,-0.50107960
-1.63605017,0.74892088,1.25743042,1.25743042,2.51486084,-1.49954221,1.99891961,-1.77255812,-0.50107786
-1.62598015,0.74892018,1.25743900,1.25743900,2.51487799,-1.48940369,1.99892006,-1.76255661,-0.50107970
-1.61591028,0.74892109,1.25744500,1.25744500,2.51489000,-1.47926820,1.99891984,-1.75255236,-0.50107766
-1.60584097,0.74892013,1.25745240,1.25745240,2.51490479,-1.46913580,1.99891942,-1.74254614,-0.50107916
-1.59440418,0.76141942,1.27003290,1.27003290,2.54006579,-1.45627099,2.02391805,-1.73253737,-0.50107920
-1.58433464,0.76142055,1.27003902,1.27003902,2.54007805,-1.44614315,2.02391896,-1.72252612,-0.50107786
-1.57426554,0.76142088,1.27004518,1.27004518,2.54009035,-1.43601835,2.02391938,-1.71251273,-0.50107762
-1.56419681,0.76142065,1.27005126,1.27005126,2.54010252,-1.42589663,2.02391946,-1.70249700,-0.50107817
-1.55412855,0.76141979,1.27005735,1.27005735,2.54011470,-1.41577799,2.02391922,-1.69247912,-0.50107963
-1.54269030,0.77392034,1.28263793,1.28263793,2.56527585,-1.40292182,2.04892027,-1.68245877,-0.50107959
-1.53262219,0.77392058,1.28264161,1.28264161,2.56528323,-1.39280848,2.04891926,-1.67243591,-0.50107810
-1.52255462,0.77392039,1.28264531,1.28264531,2.56529062,-1.38269838,2.04891813,-1.66241087,-0.50107734
-1.51248735,0.77392086,1.28265016,1.28265016,2.56530032,-1.37259115,2.04891909,-1.65238355,-0.50107737
-1.50242061,0.77392084,1.28265502,1.28265502,2.56531004,-1.36248715,2.04891987,-1.64235407,-0.50107819
-1.49098199,0.78642092,1.29523322,1.29523322,2.59046644,-1.34964187,2.07391930,-1.63232211,-0.50107745
-1.48091594,0.78641994,1.29523802,1.29523802,2.59047604,-1.33954366,2.07391961,-1.62228822,-0.50107974
-1.47085010,0.78642097,1.29524047,1.29524047,2.59048094,-1.32944869,2.07391991,-1.61225151,-0.50107797
