s,left_width,right_width
0.00000000,1.38888916,1.05031006
0.01000000,1.39001465,1.04920654
0.02000000,1.39113770,1.04810303
0.03000000,1.39226318,1.04699707
0.04000000,1.39338867,1.04589111
0.05000000,1.41966309,1.04478271
0.06000000,1.42079102,1.04367188
0.07000000,1.42192139,1.04256104
0.08000000,1.42304932,1.04145020
0.09000000,1.44932861,1.06548584
0.10000000,1.45045898,1.06437012
0.11000000,1.45158936,1.06325684
0.12000000,1.45272217,1.06213867
0.13000000,1.45385498,1.06102295
0.14000000,1.45498779,1.05990234
0.15000001,1.45612061,1.05878418
0.16000000,1.48240234,1.05766357
0.17000000,1.48353760,1.05654053
0.18000001,1.48467285,1.05541748
0.19000000,1.48580811,1.05429443
0.20000000,1.48694336,1.05317139
0.20999999,1.51322998,1.05204590
0.22000000,1.51436523,1.05091797
0.23000000,1.51550049,1.04979004
0.23999999,1.51663818,1.04866211
0.25000000,1.51777588,1.04753418
0.25999999,1.54406250,1.04640381
0.27000001,1.54520020,1.04527588
0.28000000,1.54633789,1.04414307
0.28999999,1.54747559,1.04301270
0.30000001,1.54861084,1.04187988
0.31000000,1.57489990,1.04074707
0.31999999,1.57603760,1.03961182
0.33000001,1.60232666,1.03847900
0.34000000,1.60346436,1.06249512
0.34999999,1.60460205,1.06135986
0.36000001,1.60573975,1.06022217
0.37000000,1.63202637,1.05908691
0.38000000,1.63316406,1.05794922
0.38999999,1.63429932,1.05681152
0.40000001,1.63543701,1.05567627
0.41000000,1.63657471,1.05453613
0.41999999,1.66286133,1.05339844
0.43000001,1.66399658,1.05226074
0.44000000,1.66513184,1.05112061
0.44999999,1.66626709,1.04998047
0.46000001,1.66740234,1.04884277
0.47000000,1.69368652,1.04770264
0.47999999,1.69481934,1.04656250
0.49000001,1.72110352,1.04542236
0.50000000,1.72223633,1.04428223
0.50999999,1.72336914,1.04314209
0.51999998,1.72450195,1.04199951
0.52999997,1.72563232,1.04085938
0.54000002,1.75191162,1.03971924
0.55000001,1.75304199,1.03857910
0.56000000,1.75417236,1.03743652
0.56999999,1.75530029,1.03629639
0.57999998,1.78157715,1.03515625
0.58999997,1.78270508,1.03401611
0.60000002,1.78383057,1.03287598
0.61000001,1.81010498,1.03173584
0.62000000,1.81122803,1.03059570
0.63000000,1.81235107,1.02945557
0.63999999,1.81347412,1.05346436
0.64999998,1.83974365,1.05232422
0.66000003,1.84086426,1.05118408
0.67000002,1.84198486,1.05004639
0.68000001,1.86825195,1.04890625
0.69000000,1.86936768,1.04776855
0.69999999,1.87048584,1.04663086
0.70999998,1.87159912,1.04549316
0.72000003,1.89786133,1.04435547
0.73000002,1.89897461,1.04321777
0.74000001,1.90008545,1.04208252
0.75000000,1.92634277,1.04094482
0.75999999,1.92745117,1.03981201
0.76999998,1.92855957,1.03867676
0.77999997,1.92966553,1.03754150
0.79000002,1.95591553,1.03640869
0.80000001,1.95701904,1.03527588
0.81000000,1.95812256,1.03414307
0.81999999,1.98436768,1.03301270
0.82999998,1.98546631,1.03187988
0.83999997,1.98656494,1.05589355
0.85000002,1.98766113,1.05476563
0.86000001,1.98875488,1.05363525
0.87000000,2.01499023,1.05250732
0.88000000,2.01608398,1.05138184
0.88999999,2.04231445,1.05025391
0.89999998,2.04340332,1.04912842
0.91000003,2.04448975,1.04800537
0.92000002,2.04557373,1.04688232
0.93000001,2.04665771,1.04575928
0.94000000,2.07287842,1.04463623
0.94999999,2.07395752,1.04351563
0.95999998,2.10017578,1.04239746
0.97000003,2.10125244,1.04127930
0.98000002,2.12746582,1.04016113
0.99000001,2.12853516,1.03904541
1.00000000,2.12960449,1.03792969
1.00999999,2.13067139,1.03681641
1.01999998,2.13173828,1.03570313
1.02999997,2.15793945,1.03459229
1.03999996,2.15899902,1.03348145
1.04999995,2.18519531,1.03237305
1.05999994,2.18625000,1.03126465
1.07000005,2.18730469,1.03015869
1.08000004,2.18835693,1.02905273
1.09000003,2.18940674,1.02794922
1.10000002,2.21558838,1.02684570
1.11000001,2.21663330,1.05088135
1.12000000,2.21767578,1.04978027
1.13000000,2.24385010,1.04868164
1.13999999,2.24488770,1.04758545
1.14999998,2.24592529,1.04649170
1.15999997,2.24695801,1.04539795
1.16999996,2.27312012,1.04430664
1.17999995,2.27415039,1.04321533
1.19000006,2.27517578,1.04212646
1.20000005,2.30133057,1.04104004
1.21000004,2.30235107,1.03995605
1.22000003,2.30336914,1.03887207
1.23000002,2.30438477,1.03779053
1.24000001,2.30540039,1.03671143
1.25000000,2.33153809,1.03563477
1.25999999,2.33254883,1.03455811
1.26999998,2.35868164,1.03348389
1.27999997,2.35968506,1.03241211
1.28999996,2.36068359,1.03134277
1.29999995,2.36168213,1.03027588
1.30999994,2.36267822,1.02920898
1.32000005,2.38879639,1.02814697
1.33000004,2.38978516,1.04998291
1.34000003,2.39077393,1.05114746
1.35000002,2.39175781,1.05009033
1.36000001,2.39274170,1.04903564
1.37000000,2.41884277,1.04798340
1.38000000,2.41981934,1.04693115
1.38999999,2.44591553,1.04588379
1.39999998,2.44688477,1.04483643
1.40999997,2.44785400,1.04379395
1.41999996,2.44881836,1.04275146
1.42999995,2.44978271,1.04171387
