s,left_width,right_width
0.00000000,1.21959960,1.21959960
0.01007218,1.21961057,1.21961057
0.02014394,1.21962042,1.21962042
0.03021566,1.21963015,1.21963015
0.04028707,1.21963990,1.21963990
0.05722569,1.23222293,1.23222293
0.06729770,1.23223151,1.23223151
0.07736950,1.23224126,1.23224126
0.08744078,1.23224973,1.23224973
0.09751210,1.25740724,1.25740724
0.10758303,1.25741454,1.25741454
0.11765357,1.25742308,1.25742308
0.12772411,1.25743042,1.25743042
0.13779412,1.25743900,1.25743900
0.14786400,1.25744500,1.25744500
0.15793331,1.25745240,1.25745240
0.17487535,1.27003290,1.27003290
0.18494488,1.27003902,1.27003902
0.19501399,1.27004518,1.27004518
0.20508271,1.27005126,1.27005126
0.21515097,1.27005735,1.27005735
0.23209491,1.28263793,1.28263793
0.24216302,1.28264161,1.28264161
0.25223058,1.28264531,1.28264531
0.26229787,1.28265016,1.28265016
0.27236462,1.28265502,1.28265502
0.28930846,1.29523322,1.29523322
0.29937452,1.29523802,1.29523802
0.30944034,1.29524047,1.29524047
0.31950545,1.29524414,1.29524414
0.32957008,1.29524539,1.29524539
0.34651360,1.30782347,1.30782347
0.35657755,1.30782473,1.30782473
0.37352017,1.32040290,1.32040290
0.38874352,1.33297979,1.33297979
0.39880571,1.33298099,1.33298099
0.40886745,1.33298099,1.33298099
0.42580801,1.34555667,1.34555667
0.43586862,1.34555667,1.34555667
0.44592836,1.34555545,1.34555545
0.45598760,1.34555668,1.34555668
0.46604636,1.34555540,1.34555540
0.48298532,1.35812989,1.35812989
0.49304241,1.35812869,1.35812869
0.50309896,1.35812620,1.35812620
0.51315480,1.35812379,1.35812379
0.52320981,1.35812260,1.35812260
0.54014587,1.37069458,1.37069458
0.55019927,1.37069097,1.37069097
0.56713414,1.38326294,1.38326294
0.57718569,1.38325934,1.38325934
0.58723658,1.38325564,1.38325564
0.59728664,1.38325073,1.38325073
0.60733569,1.38324582,1.38324582
0.62426555,1.39581546,1.39581546
0.63431263,1.39581055,1.39581055
0.64435893,1.39580451,1.39580451
0.65440422,1.39579839,1.39579839
0.67133045,1.40836673,1.40836673
0.68137348,1.40836062,1.40836062
0.69141549,1.40835328,1.40835328
0.70833868,1.42092050,1.42092050
0.71837813,1.42091194,1.42091194
0.72841656,1.42090340,1.42090340
0.74363023,1.43346922,1.43346922
0.76054895,1.44603393,1.44603393
0.77058452,1.44602416,1.44602416
0.78061903,1.44601563,1.44601563
0.79753441,1.45857912,1.45857912
