s,left_x,left_y,right_x,right_y
0.00000000,-1.62684846,1.94891813,-1.88968458,-0.47607876
0.01007218,-1.61667936,1.94891991,-1.87970931,-0.47607803
0.02014394,-1.60651331,1.94891852,-1.86973185,-0.47607877
0.03021566,-1.59634984,1.94891864,-1.85975188,-0.47607830
0.04028707,-1.58618917,1.94891800,-1.84976974,-0.47607917
0.05722569,-1.57331204,1.97391802,-1.83978515,-0.47607901
0.06729770,-1.56315506,1.97391816,-1.82979810,-0.47607764
0.07736950,-1.55300070,1.97391995,-1.81980887,-0.47607749
0.08744078,-1.54284954,1.97391860,-1.80981745,-0.47607849
0.09751210,-1.52997504,1.99891985,-1.80254933,-0.50107917
0.10758303,-1.51982794,1.99891956,-1.79255455,-0.50107753
0.11765357,-1.50968369,1.99891859,-1.78255772,-0.50107960
0.12772411,-1.49954221,1.99891961,-1.77255812,-0.50107786
0.13779412,-1.48940369,1.99892006,-1.76255661,-0.50107970
0.14786400,-1.47926820,1.99891984,-1.75255236,-0.50107766
0.15793331,-1.46913580,1.99891942,-1.74254614,-0.50107916
0.17487535,-1.45627099,2.02391805,-1.73253737,-0.50107920
0.18494488,-1.44614315,2.02391896,-1.72252612,-0.50107786
0.19501399,-1.43601835,2.02391938,-1.71251273,-0.50107762
0.20508271,-1.42589663,2.02391946,-1.70249700,-0.50107817
0.21515097,-1.41577799,2.02391922,-1.69247912,-0.50107963
0.23209491,-1.40292182,2.04892027,-1.68245877,-0.50107959
0.24216302,-1.39280848,2.04891926,-1.67243591,-0.50107810
0.25223058,-1.38269838,2.04891813,-1.66241087,-0.50107734
0.26229787,-1.37259115,2.04891909,-1.65238355,-0.50107737
0.27236462,-1.36248715,2.04891987,-1.64235407,-0.50107819
0.28930846,-1.34964187,2.07391930,-1.63232211,-0.50107745
0.29937452,-1.33954366,2.07391961,-1.62228822,-0.50107974
0.30944034,-1.32944869,2.07391991,-1.61225151,-0.50107797
0.31950545,-1.31935706,2.07392003,-1.60221293,-0.50107941
0.32957008,-1.30926885,2.07391779,-1.59217189,-0.50107898
0.34651360,-1.29643655,2.09891872,-1.58212855,-0.50107916
0.35657755,-1.28635437,2.09891876,-1.57208285,-0.50107765
0.37352017,-1.27352772,2.12391970,-1.56203519,-0.50107911
0.38874352,-1.26345190,2.12391978,-1.55473308,-0.52607942
0.39880571,-1.25337964,2.12391993,-1.54468099,-0.52607947
0.40886745,-1.24331070,2.12392017,-1.53462642,-0.52607764
0.42580801,-1.23049706,2.14891888,-1.52456981,-0.52607873
0.43586862,-1.22043497,2.14891940,-1.51451068,-0.52607788
0.44592836,-1.21037678,2.14891777,-1.50444938,-0.52607741
0.45598760,-1.20032169,2.14891878,-1.49438599,-0.52607979
0.46604636,-1.19027018,2.14891990,-1.48431996,-0.52607769
0.48298532,-1.17747445,2.17391981,-1.47425194,-0.52607839
0.49304241,-1.16743053,2.17391923,-1.46418169,-0.52607945
