x_m,y_m,w_tr_left_m,w_tr_right_m,w_total_m,left_x_m,left_y_m,right_x_m,right_y_m
7.89934575,18.85000027,1.37523802,1.37523802,2.75047604,7.45070080,17.55000130,8.34799071,20.14999924
7.88867716,18.84999974,1.37534300,1.37534300,2.75068600,7.43970993,17.55000098,8.33764439,20.14999851
7.87935801,18.85390794,1.37958372,1.37958372,2.75916745,7.42871629,17.55000100,8.32999972,20.15781487
7.87386242,18.86886817,1.39551760,1.39551760,2.79103521,7.41772490,17.55000201,8.32999994,20.18773433
7.86531728,18.87499972,1.40211179,1.40211179,2.80422359,7.40673443,17.55000189,8.32390014,20.19999755
7.85465025,18.87500097,1.40221923,1.40221923,2.80443847,7.39574107,17.55000243,8.31355943,20.19999952
7.84398112,18.87499965,1.40232541,1.40232541,2.80465082,7.38474994,17.55000030,8.30321230,20.19999900
7.82464019,18.84999989,1.42889161,1.42889161,2.85778322,7.35641525,17.50000114,8.29286513,20.19999865
7.81396343,18.85000056,1.42899780,1.42899780,2.85799561,7.34541231,17.50000257,8.28251455,20.19999855
7.80328543,18.85000080,1.42910403,1.42910403,2.85820805,7.33440945,17.50000316,8.27216142,20.19999844
7.79260664,18.85000050,1.42921020,1.42921020,2.85842040,7.32340852,17.50000238,8.26180476,20.19999862
7.78192609,18.85000092,1.42931518,1.42931518,2.85863036,7.31240755,17.50000306,8.25144463,20.19999878
7.77124470,18.85000018,1.42942136,1.42942136,2.85884272,7.30140654,17.50000110,8.24108287,20.19999927
7.76056299,18.85000130,1.42952514,1.42952514,2.85905027,7.29040749,17.50000281,8.23071849,20.19999979
7.74116634,18.82499974,1.45610351,1.45610351,2.91220701,7.26198227,17.45000154,8.22035041,20.19999794
7.73047618,18.82499938,1.45620969,1.45620969,2.91241937,7.25097264,17.45000011,8.20997972,20.19999866
7.71978557,18.82499935,1.45631349,1.45631349,2.91262698,7.23996480,17.45000080,8.19960634,20.19999790
7.70909431,18.82500010,1.45641730,1.45641730,2.91283460,7.22896017,17.45000098,8.18922844,20.19999921
7.69897605,18.82664366,1.45826293,1.45826293,2.91652586,7.21795274,17.45000015,8.17999936,20.20328717
7.69347487,18.84149268,1.47409428,1.47409428,2.94818857,7.20694999,17.45000157,8.17999975,20.23298378
7.68576063,18.85000015,1.48321173,1.48321173,2.96642346,7.19594594,17.45000065,8.17557532,20.24999965
7.67507193,18.84999950,1.48331425,1.48331425,2.96662849,7.18494656,17.45000012,8.16519730,20.24999889
7.66438151,18.85000090,1.48341672,1.48341672,2.96683345,7.17394524,17.45000181,8.15481778,20.24999998
7.65369052,18.85000020,1.48351933,1.48351933,2.96703865,7.16294535,17.45000064,8.14443569,20.24999976
7.64299911,18.85000059,1.48361938,1.48361938,2.96723877,7.15195085,17.45000128,8.13404737,20.24999991
7.63230717,18.85000099,1.48371950,1.48371950,2.96743900,7.14095626,17.45000176,8.12365807,20.25000022
7.61283410,18.82500116,1.51031620,1.51031620,3.02063239,7.11240200,17.40000196,8.11326619,20.25000037
7.60213579,18.82500042,1.51041624,1.51041624,3.02083247,7.10140238,17.40000103,8.10286920,20.24999981
7.59143685,18.82500093,1.51051390,1.51051390,3.02102780,7.09040542,17.40000278,8.09246828,20.24999909
7.58073681,18.82500071,1.51061283,1.51061283,3.02122566,7.07940719,17.40000256,8.08206642,20.24999887
7.57003669,18.82500085,1.51071043,1.51071043,3.02142087,7.06841358,17.40000251,8.07165980,20.24999919
7.55933677,18.82500127,1.51080803,1.51080803,3.02161607,7.05742157,17.40000230,8.06125197,20.25000023
7.54863599,18.82500025,1.51090330,1.51090330,3.02180660,7.04643493,17.40000100,8.05083706,20.24999951
7.53793514,18.82500170,1.51099856,1.51099856,3.02199712,7.03544732,17.40000253,8.04042295,20.25000088
7.51841245,18.80000083,1.53760372,1.53760372,3.07520744,7.00682150,17.35000087,8.03000339,20.25000080
7.51291646,18.81475866,1.55334722,1.55334722,3.10669444,6.99583341,17.35000178,8.02999951,20.27951553
7.50583015,18.82500010,1.56430302,1.56430302,3.12860605,6.98484741,17.35000147,8.02681288,20.29999872
7.49512810,18.82500033,1.56439824,1.56439824,3.12879649,6.97386133,17.35000107,8.01639487,20.29999959
7.48442511,18.82499974,1.56449098,1.56449098,3.12898195,6.96287905,17.35000085,8.00597116,20.29999863
7.47372318,18.82499986,1.56458260,1.56458260,3.12916519,6.95190172,17.35000120,7.99554465,20.29999853
7.46302068,18.82499957,1.56467410,1.56467410,3.12934819,6.94092769,17.34999993,7.98511367,20.29999921
7.44346497,18.79999943,1.59128420,1.59128420,3.18256839,6.91224989,17.30000078,7.97468004,20.29999807
7.43275906,18.80000093,1.59137457,1.59137457,3.18274914,6.90127485,17.30000175,7.96424328,20.30000012
7.42205257,18.79999976,1.59146245,1.59146245,3.18292491,6.89030323,17.30000130,7.95380191,20.29999822
7.41134670,18.80000031,1.59155026,1.59155026,3.18310053,6.87933681,17.30000107,7.94335659,20.29999955
7.40064050,18.80000060,1.59163576,1.59163576,3.18327152,6.86837247,17.30000222,7.93290854,20.29999897
7.38993457,18.80000033,1.59172116,1.59172116,3.18344232,6.85741278,17.30000140,7.92245636,20.29999926
7.37922989,18.79999942,1.59180418,1.59180418,3.18360836,6.84645959,17.30000064,7.91200019,20.29999821
7.36852492,18.80000055,1.59188722,1.59188722,3.18377445,6.83550799,17.30000125,7.90154185,20.29999984
7.34893230,18.77500091,1.61850106,1.61850106,3.23700211,6.80678443,17.25000210,7.89108017,20.29999971
7.33822420,18.77499977,1.61858152,1.61858152,3.23716305,6.79583585,17.25000107,7.88061256,20.29999846
7.33244452,18.78884896,1.63336056,1.63336056,3.26672112,6.78488999,17.25000175,7.87999905,20.32769618
7.32571051,18.80000032,1.64527590,1.64527590,3.29055180,6.77395228,17.25000172,7.87746874,20.34999891
7.31500775,18.80000108,1.64535403,1.64535403,3.29070806,6.76301590,17.25000273,7.86699960,20.34999943
7.30430639,18.80000024,1.64543092,1.64543092,3.29086184,6.75208724,17.25000123,7.85652554,20.34999925
7.29360499,18.80000003,1.64550416,1.64550416,3.29100832,6.74116309,17.25000264,7.84604689,20.34999741
7.28290534,18.80000083,1.64557865,1.64557865,3.29115731,6.73024355,17.25000275,7.83556713,20.34999891
7.27220589,18.80000039,1.64565064,1.64565064,3.29130127,6.71933080,17.25000196,7.82508098,20.34999883
7.26150801,18.79999977,1.64572015,1.64572015,3.29144030,6.70842414,17.25000201,7.81459187,20.34999753
7.25081085,18.80000013,1.64578859,1.64578859,3.29157718,6.69752155,17.25000302,7.80410015,20.34999723
