s,left_width,right_width
0.00000000,1.75299316,0.99748291
0.01000000,1.75660645,0.99407959
0.02000000,1.76022461,0.99894287
0.03000000,1.76384521,1.02718994
0.04000000,1.76747070,1.03675293
0.05000000,1.77109863,1.03333984
0.06000000,1.77473633,1.02991455
0.07000000,1.83129395,1.02648926
0.08000000,1.83493652,1.02305908
0.09000000,1.83858398,1.01962402
0.10000000,1.84223633,1.01618408
0.11000000,1.84589111,1.01273926
0.12000000,1.84955078,1.00929199
0.13000000,1.85321045,1.00583984
0.14000000,1.90982666,1.00238037
0.15000001,1.91350098,0.99891846
0.16000000,1.91717285,0.99545410
0.17000000,1.92085205,0.99198242
0.18000001,1.92453369,0.99199219
0.19000000,1.92821533,1.01997314
0.20000000,1.93190186,1.03452148
0.20999999,1.93559082,1.03103760
0.22000000,1.93928223,1.02755127
0.23000000,1.94297607,1.02406250
0.23999999,1.94667236,1.02056641
0.25000000,1.95037109,1.01706787
0.25999999,2.00706787,1.01356445
0.27000001,2.01077393,1.01005859
0.28000000,2.01448242,1.00654541
0.28999999,2.01819336,1.00303223
0.30000001,2.02190674,0.99951416
0.31000000,2.02562012,0.99599609
0.31999999,2.02933838,0.99246826
0.33000001,2.03305664,0.98894043
0.34000000,2.08979980,0.98540771
0.34999999,2.09352295,1.01317139
0.36000001,2.09724854,1.03135742
0.37000000,2.10097656,1.02781982
0.38000000,2.10470703,1.02427490
0.38999999,2.10843750,1.02072754
0.40000001,2.11217041,1.01717773
0.41000000,2.16894531,1.01362305
0.41999999,2.17268066,1.01006836
0.43000001,2.17641846,1.00650635
0.44000000,2.18015625,1.00294434
0.44999999,2.18389404,0.99937744
0.46000001,2.18763428,0.99580811
0.47000000,2.19137451,0.99223389
0.47999999,2.19511475,0.98865967
0.49000001,2.25192139,0.98508057
0.50000000,2.25566650,0.98149658
0.50999999,2.25940918,1.00731201
0.51999998,2.26315186,1.02739990
0.52999997,2.26689697,1.02381104
0.54000002,2.27064209,1.02021973
0.55000001,2.27438477,1.01662354
0.56000000,2.27812744,1.01302979
0.56999999,2.28187256,1.00942871
0.57999998,2.28561523,1.00582520
0.58999997,2.28935547,1.00222168
0.60000002,2.29310059,0.99861328
0.61000001,2.34993652,0.99500488
0.62000000,2.35367676,0.99139404
0.63000000,2.35741943,0.98777832
0.63999999,2.36116211,0.98415771
0.64999998,2.36489990,0.98053955
0.66000003,2.36863770,0.97691895
0.67000002,2.37237549,1.00290771
0.68000001,2.37611084,1.02277588
0.69000000,2.37984375,1.01914795
0.69999999,2.38357910,1.01551758
0.70999998,2.38730713,1.01188721
0.72000003,2.39104004,1.00825195
0.73000002,2.39476562,1.00461670
0.74000001,2.39849121,1.00097900
0.75000000,2.40221436,0.99733887
0.75999999,2.40593750,0.99369629
0.76999998,2.40965576,0.99005371
0.77999997,2.46649658,0.98640625
0.79000002,2.47021240,0.98275879
0.80000001,2.47392822,0.97910889
0.81000000,2.47763672,0.97545654
0.81999999,2.48134521,0.97279541
0.82999998,2.48505371,1.00044922
0.83999997,2.48875488,1.01761963
0.85000002,2.49245605,1.01396240
0.86000001,2.49615234,1.01030273
0.87000000,2.49984619,1.00664307
0.88000000,2.50353760,1.00298340
0.88999999,2.50722656,0.99931885
0.89999998,2.51091309,0.99565186
0.91000003,2.51459229,0.99198975
0.92000002,2.51826904,0.98832031
0.93000001,2.52194336,0.98465332
0.94000000,2.52561523,0.98098145
0.94999999,2.58241211,0.97731201
0.95999998,2.58607422,0.97364014
0.97000003,2.58973389,0.96996826
0.98000002,2.59338623,0.97266602
0.99000001,2.59703613,1.00047852
1.00000000,2.60068115,1.01207275
1.00999999,2.60429932,1.00838867
1.01999998,2.60791260,1.00470215
1.02999997,2.61152588,1.00101318
1.03999996,2.61512695,0.99732422
1.04999995,2.61872803,0.99363525
1.05999994,2.62232178,0.98994629
1.07000005,2.62591064,0.98625488
1.08000004,2.62949463,0.98256348
1.09000003,2.63307373,0.97887207
1.10000002,2.63664551,0.97518066
1.11000001,2.64021240,0.97148926
1.12000000,2.69688477,0.96779785
1.13000000,2.70043945,0.96410400
1.13999999,2.70399170,0.97641602
1.14999998,2.70535645,1.00459961
1.15999997,2.52991455,1.00612793
1.16999996,2.50290771,1.00243164
1.17999995,2.47589600,0.99873779
1.19000006,2.44889893,0.99504150
1.20000005,2.42190674,0.99134521
1.21000004,2.41012695,0.98765137
1.22000003,2.41364746,0.98395752
1.23000002,2.41716064,0.98026367
1.24000001,2.42066895,0.97656982
1.25000000,2.42416992,0.99038330
1.25999999,2.42766846,1.01883789
1.26999998,2.43116211,1.01856445
1.27999997,2.43464600,1.01487061
1.28999996,2.43812744,1.01117676
1.29999995,2.44160156,1.00748535
1.30999994,2.42397949,1.00379395
1.32000005,2.39713867,1.00010498
1.33000004,2.39894043,0.99641602
1.34000003,2.40239990,0.99272949
1.35000002,2.40584961,0.98904053
1.36000001,2.40929443,0.98535889
1.37000000,2.41273437,0.98167236
1.38000000,2.38593018,0.97799072
1.38999999,2.35911377,0.97431152
1.39999998,2.18212891,0.97121094
1.40999997,2.15520020,1.00006592
1.41999996,1.97791504,1.01629883
1.42999995,1.95084961,1.01262207
1.44000006,1.77323242,1.00895020
1.45000005,1.74603760,1.00527588
1.46000004,1.71881592,1.00160400
1.47000003,1.69157715,0.99793701
1.48000002,1.66430664,0.99427002
1.49000001,1.63701416,0.99060303
1.50000000,1.60969238,0.98694092
1.50999999,1.58234131,0.98328125
1.51999998,1.55495850,0.97962646
1.52999997,1.52754883,0.97597168
1.53999996,1.50010742,0.97231934
1.54999995,1.47263672,0.96867188
1.55999994,1.44512695,0.96502441
1.57000005,1.41759033,0.96138184
1.58000004,1.39001465,0.95774414
1.59000003,1.37528809,0.95410645
1.60000002,1.37870850,0.95047119
1.61000001,1.38212158,0.97848389
1.62000000,1.38552734,0.99614014
1.63000000,1.38893066,0.99250977
1.63999999,1.37652100,0.98888428
1.64999998,1.34880371,0.98526123
1.65999997,1.32103760,0.98164551
1.66999996,1.29669189,0.97802979
1.67999995,1.30008301,0.97441650
1.69000006,1.30346680,0.97080811
1.70000005,1.30684570,0.96720459
1.71000004,1.31021729,0.96360596
1.72000003,1.30732178,0.96000977
1.73000002,1.27938477,0.95641846
1.74000001,1.25140625,0.95282959
1.75000000,1.22337646,0.94924805
1.75999999,1.22131104,0.96440674
1.76999998,1.22466553,0.99440430
1.77999997,1.22801514,0.99136230
1.78999996,1.23135986,0.98779053
