s,left_width,right_width
0.00000000,0.71204346,0.56848877
0.01000000,0.70559570,0.57497803
0.02000000,0.69913086,0.58147217
0.03000000,0.69264893,0.57879150
0.04000000,0.70680664,0.56258301
0.05000000,0.72300537,0.54639648
0.06000000,0.73132080,0.54928467
0.07000000,0.72478027,0.55579834
0.08000000,0.71822510,0.56231201
0.09000000,0.71165771,0.56882813
0.10000000,0.70507813,0.56346436
0.11000000,0.69848633,0.54740479
0.12000000,0.69188721,0.53135742
0.13000000,0.68527588,0.53669434
0.14000000,0.67865723,0.54320557
0.15000001,0.69028076,0.54971680
0.16000000,0.70664063,0.55622314
0.17000000,0.71691895,0.56272217
0.18000001,0.71026367,0.56921875
0.19000000,0.70360596,0.57570801
0.20000000,0.69694092,0.58218994
0.20999999,0.69027100,0.58327148
0.22000000,0.68359863,0.56734863
0.23000000,0.67692627,0.55142578
0.23999999,0.67024902,0.54993408
0.25000000,0.66357422,0.55638184
0.25999999,0.67550537,0.56281982
0.27000001,0.69214600,0.56924561
0.28000000,0.70160889,0.57007080
0.28999999,0.69492676,0.55415039
0.30000001,0.68824707,0.53821777
0.31000000,0.68156982,0.53681152
0.31999999,0.67489990,0.54318604
0.33000001,0.66823242,0.54954834
0.34000000,0.66157471,0.55589355
0.34999999,0.65492188,0.55712891
0.36000001,0.64827881,0.54114990
0.37000000,0.66308350,0.52514404
0.38000000,0.68010742,0.52320068
0.38999999,0.68629639,0.52947754
0.40000001,0.67967529,0.53573730
0.41000000,0.67306641,0.54197754
0.41999999,0.66646729,0.54819824
0.43000001,0.65988281,0.55439697
0.44000000,0.65331299,0.56057617
0.44999999,0.64675781,0.56673340
0.46000001,0.64021729,0.57286865
0.47000000,0.63611084,0.56317383
0.47999999,0.65354980,0.54697754
0.49000001,0.67105225,0.53342773
0.50000000,0.67191162,0.53948975
0.50999999,0.66543945,0.54552734
0.51999998,0.65898682,0.55153809
0.52999997,0.65255615,0.55752197
0.54000002,0.64614502,0.56348145
0.55000001,0.63975586,0.56941406
0.56000000,0.63338867,0.57531738
0.56999999,0.62704590,0.58119385
0.57999998,0.62945313,0.58471680
0.58999997,0.64745117,0.56820068
0.60000002,0.66552734,0.55162598
0.61000001,0.65937012,0.54696289
0.62000000,0.65313232,0.55271240
0.63000000,0.64692383,0.55843262
0.63999999,0.64074219,0.56411865
0.64999998,0.63458984,0.56977295
0.66000003,0.62846680,0.57539551
0.67000002,0.62237549,0.58098633
0.68000001,0.61631348,0.58654053
0.69000000,0.62667969,0.59206055
0.69999999,0.64532227,0.58789063
0.70999998,0.65552734,0.57086670
0.72000003,0.64956787,0.55376953
0.73000002,0.64363770,0.55665283
0.74000001,0.63773926,0.56203125
0.75000000,0.63633057,0.56738037
0.75999999,0.65534180,0.57269531
0.76999998,0.67443848,0.57798096
0.77999997,0.67148193,0.58323730
0.79000002,0.66570801,0.58846191
0.80000001,0.65996338,0.59365479
0.81000000,0.65424805,0.59882080
0.81999999,0.64856201,0.58794922
0.82999998,0.64290283,0.57036621
0.83999997,0.63727051,0.55725586
0.85000002,0.63166748,0.56233154
0.86000001,0.63980713,0.56737793
0.87000000,0.65944580,0.57239990
0.88000000,0.67180420,0.57739258
0.88999999,0.66628418,0.58235840
0.89999998,0.66078857,0.58729736
0.91000003,0.65532227,0.59221191
0.92000002,0.64988037,0.59710205
0.93000001,0.64446289,0.60196533
0.94000000,0.63907227,0.58505371
0.94999999,0.63370605,0.56691406
0.95999998,0.62836426,0.55982910
0.97000003,0.64648682,0.56462402
0.98000002,0.66671631,0.56939209
0.99000001,0.66898926,0.57413818
1.00000000,0.66371826,0.57886230
