s,left_width,right_width
0.00000000,0.64026610,0.64026610
0.01162118,0.64028685,0.64028685
0.02324365,0.64030150,0.64030150
0.03331989,0.63572021,0.63572021
0.05195270,0.63469482,0.63469482
0.07145308,0.63470091,0.63470091
0.08196391,0.64030274,0.64030274
0.09358992,0.64028930,0.64028930
0.10521649,0.64026855,0.64026855
0.11684336,0.64024293,0.64024293
0.12683168,0.63427128,0.63427128
0.13815695,0.62294556,0.62294556
0.14948134,0.61162230,0.61162230
0.16081923,0.61098511,0.61098511
0.17244565,0.61093139,0.61093139
0.18293154,0.61999879,0.61999879
0.19436477,0.63143189,0.63143189
0.20467256,0.63982054,0.63982054
0.21629967,0.63974122,0.63974122
0.22792405,0.63965697,0.63965697
0.23954619,0.63956541,0.63956541
0.25004962,0.63677123,0.63677123
0.26134825,0.62547363,0.62547363
0.27264908,0.61417605,0.61417605
0.28283447,0.61009157,0.61009157
0.29445022,0.60997802,0.60997802
0.30500752,0.61916259,0.61916259
0.31654373,0.63069581,0.63069581
0.32770935,0.63583983,0.63583983
0.33901331,0.62453858,0.62453858
0.35032228,0.61323241,0.61323241
0.36052901,0.60919069,0.60919069
0.37214017,0.60904296,0.60904296
0.38374791,0.60889038,0.60889038
0.39534944,0.60873412,0.60873412
0.40588996,0.60602538,0.60602538
0.41720536,0.59471437,0.59471437
0.43609476,0.59411375,0.59411375
0.45031410,0.60165403,0.60165403
0.46035042,0.60788699,0.60788699
0.47195199,0.60770629,0.60770629
0.48354679,0.60752198,0.60752198
0.49513662,0.60733276,0.60733276
0.50671899,0.60713991,0.60713991
0.51829529,0.60694458,0.60694458
0.52986479,0.60674561,0.60674561
0.54142731,0.60654300,0.60654300
0.55197275,0.59964234,0.59964234
0.57199717,0.60026366,0.60026366
0.59091055,0.60223998,0.60223998
0.60115713,0.60570067,0.60570067
0.61272424,0.60548341,0.60548341
0.62428361,0.60526247,0.60526247
0.63583475,0.60503908,0.60503908
0.64737940,0.60481327,0.60481327
0.65891564,0.60458499,0.60458499
0.67044425,0.60435301,0.60435301
0.68196422,0.60411987,0.60411987
0.69197369,0.60708499,0.60708499
0.71225119,0.60782590,0.60782590
0.73257989,0.60857664,0.60857664
0.74262202,0.60316653,0.60316653
0.75414616,0.60292238,0.60292238
0.76566166,0.60267822,0.60267822
0.77716875,0.60243039,0.60243039
0.78866643,0.60218139,0.60218139
