s,left_x,left_y,right_x,right_y
0.00000000,5.97581925,-3.11999883,5.32025411,-2.02000016
0.01162118,5.96423873,-3.11999886,5.30859228,-2.02000034
0.02324365,5.95264521,-3.11999923,5.29694086,-2.02000111
0.03331989,5.94103978,-3.11999908,5.29000071,-2.02788696
0.05195270,5.93999899,-3.13774102,5.29000049,-2.04739611
0.07145308,5.93999878,-3.15724876,5.29000122,-2.06688912
0.08196391,5.93595680,-3.16999821,5.28024677,-2.07000059
0.09358992,5.92430346,-3.16999936,5.26864809,-2.07000046
0.10521649,5.91263726,-3.16999913,5.25706115,-2.07000130
0.11684336,5.90095972,-3.16999922,5.24548496,-2.07000064
0.12683168,5.88927067,-3.16999921,5.24000092,-2.08020611
0.13815695,5.87757037,-3.16999813,5.24000032,-2.09960141
0.14948134,5.86586103,-3.16999943,5.24000072,-2.11898742
0.16081923,5.85414007,-3.16999895,5.22906851,-2.12000049
0.17244565,5.84240956,-3.16999933,5.21754618,-2.12000200
0.18293154,5.83999966,-3.18568478,5.20603433,-2.12000097
0.19436477,5.83999985,-3.20545051,5.19453611,-2.12000060
0.20467256,5.83687872,-3.21999873,5.18305231,-2.12000221
0.21629967,5.82509625,-3.21999811,5.17158055,-2.12000149
0.22792405,5.81330543,-3.21999998,5.16012261,-2.12000163
0.23954619,5.80150449,-3.21999983,5.14867926,-2.12000217
0.25004962,5.78969409,-3.21999861,5.14000100,-2.12464055
0.26134825,5.77787545,-3.21999809,5.14000069,-2.14390105
0.27264908,5.76605108,-3.21999997,5.14000016,-2.16316076
0.28283447,5.75421706,-3.21999827,5.13264537,-2.17000041
0.29445022,5.74237787,-3.21999939,5.12125307,-2.17000095
0.30500752,5.73999957,-3.23601697,5.10987376,-2.17000069
0.31654373,5.73999914,-3.25609539,5.09850943,-2.17000158
0.32770935,5.73632957,-3.26999935,5.09000019,-2.17481557
0.33901331,5.72444191,-3.26999980,5.09000041,-2.19404547
0.35032228,5.71254876,-3.26999996,5.09000016,-2.21328373
0.36052901,5.70064906,-3.26999873,5.08262257,-2.22000042
0.37214017,5.68874649,-3.26999956,5.07130285,-2.22000115
0.38374791,5.67683812,-3.26999806,5.05999572,-2.22000024
0.39534944,5.66492736,-3.26999917,5.04870340,-2.22000063
0.40588996,5.65301164,-3.26999848,5.04000121,-2.22439566
0.41720536,5.64109371,-3.26999909,5.04000032,-2.24363295
0.43609476,5.63999969,-3.28850500,5.04000096,-2.26289001
0.45031410,5.63999918,-3.30892943,5.03289233,-2.27000134
0.46035042,5.63450983,-3.31999902,5.02163765,-2.27000185
0.47195199,5.62254879,-3.31999927,5.01039550,-2.27000113
0.48354679,5.61058688,-3.32000013,4.99916786,-2.27000080
0.49513662,5.59862154,-3.31999888,4.98795354,-2.27000034
0.50671899,5.58665621,-3.31999878,4.97675414,-2.27000118
0.51829529,5.57469010,-3.31999916,4.96556761,-2.27000073
0.52986479,5.56272352,-3.31999991,4.95439520,-2.27000105
0.54142731,5.55075676,-3.31999967,4.94323695,-2.27000094
0.55197275,5.53999953,-3.32209285,4.94000071,-2.28368775
0.57199717,5.54000009,-3.34283447,4.94000039,-2.30299497
0.59091055,5.53999913,-3.36363021,4.93865698,-2.32000213
0.60115713,5.53166413,-3.36999902,4.92751340,-2.32000136
0.61272424,5.51966025,-3.36999927,4.91638294,-2.32000063
0.62428361,5.50765759,-3.36999903,4.90526697,-2.32000086
0.63583475,5.49565750,-3.37000011,4.89416474,-2.32000221
0.64737940,5.48365815,-3.37000002,4.88307484,-2.32000189
0.65891564,5.47166161,-3.36999962,4.87199885,-2.32000124
0.67044425,5.45966659,-3.36999837,4.86093660,-2.32000187
0.68196422,5.44767556,-3.36999831,4.84988772,-2.32000166
0.69197369,5.43999922,-3.37758381,4.84000046,-2.32202223
0.71225119,5.43999921,-3.39871341,4.84000054,-2.34144764
0.73257989,5.43999873,-3.41990525,4.84000040,-2.36091323
0.74262202,5.42802884,-3.41999865,4.83410712,-2.37000034
0.75414616,5.41600947,-3.41999824,4.82307813,-2.37000110
0.76566166,5.40399539,-3.41999937,4.81206124,-2.37000028
0.77716875,5.39198453,-3.41999915,4.80105792,-2.37000141
0.78866643,5.37997947,-3.41999928,4.79006764,-2.37000227
0.80015606,5.36797872,-3.41999906,4.77908911,-2.37000211
0.81163657,5.35598420,-3.41999965,4.76812263,-2.37000041
0.82310730,5.34399490,-3.41999874,4.75717049,-2.37000115
0.83345246,5.33999963,-3.43431667,4.74623038,-2.37000191
0.84875780,5.33999983,-3.45585004,4.74000079,-2.37843873
0.86578381,5.33585944,-3.46999973,4.74000017,-2.39808834
0.87732172,5.32384535,-3.46999990,4.74000033,-2.41778989
0.88823867,5.31183789,-3.46999867,4.73028609,-2.42000115
0.89970344,5.29983738,-3.46999845,4.71935706,-2.42000231
0.91026324,5.28999946,-3.47390236,4.70843914,-2.42000124
0.92243683,5.28999927,-3.49566956,4.69753389,-2.42000232
0.93463755,5.28999961,-3.51750475,4.68664030,-2.42000216
0.94547611,5.27934959,-3.51999900,4.67575701,-2.42000065
0.95691812,5.26733606,-3.51999880,4.66488647,-2.42000031
0.96834940,5.25533106,-3.51999860,4.65402897,-2.42000127
0.97977149,5.24333446,-3.51999930,4.64318137,-2.42000029
0.99011242,5.23134618,-3.52000009,4.64000065,-2.43405790
1.00174403,5.21936643,-3.51999991,4.64000056,-2.45399945
1.01242077,5.20739444,-3.51999862,4.63783281,-2.47000203
1.02382922,5.19543191,-3.51999856,4.62697848,-2.47000128
1.03395963,5.18999868,-3.53206539,4.61613680,-2.47000216
1.04629815,5.18999937,-3.55423993,4.60530425,-2.47000036
1.05694175,5.18651008,-3.56999967,4.59448391,-2.47000073
1.06833625,5.17453079,-3.56999967,4.58367436,-2.47000110
