x_m,y_m,w_tr_left_m,w_tr_right_m,w_total_m,left_x_m,left_y_m,right_x_m,right_y_m
5.61129045,-2.50834155,0.71204346,0.56848877,1.28053223,5.97581925,-3.11999883,5.32025411,-2.02000016
5.60297775,-2.51390004,0.70559570,0.57497803,1.28057373,5.96423873,-3.11999886,5.30859228,-2.02000034
5.59467077,-2.51946759,0.69913086,0.58147217,1.28060303,5.95264521,-3.11999923,5.29694086,-2.02000111
5.58636999,-2.52504373,0.69264893,0.57879150,1.27144043,5.94103978,-3.11999908,5.29000071,-2.02788696
5.57807446,-2.53062797,0.70680664,0.56258301,1.26938965,5.93999899,-3.13774102,5.29000049,-2.04739611
5.56978369,-2.53621936,0.72300537,0.54639648,1.26940186,5.93999878,-3.15724876,5.29000122,-2.06688912
5.56149769,-2.54181790,0.73132080,0.54928467,1.28060547,5.93595680,-3.16999821,5.28024677,-2.07000059
5.55321646,-2.54742336,0.72478027,0.55579834,1.28057861,5.92430346,-3.16999936,5.26864809,-2.07000046
5.54493904,-2.55303454,0.71822510,0.56231201,1.28053711,5.91263726,-3.16999913,5.25706115,-2.07000130
5.53666544,-2.55865121,0.71165771,0.56882813,1.28048584,5.90095972,-3.16999922,5.24548496,-2.07000064
5.52839518,-2.56427312,0.70507813,0.56346436,1.26854248,5.88927067,-3.16999921,5.24000092,-2.08020611
5.52012825,-2.56989956,0.69848633,0.54740479,1.24589111,5.87757037,-3.16999813,5.24000032,-2.09960141
5.51186419,-2.57552981,0.69188721,0.53135742,1.22324463,5.86586103,-3.16999943,5.24000072,-2.11898742
5.50360250,-2.58116412,0.68527588,0.53669434,1.22197021,5.85414007,-3.16999895,5.22906851,-2.12000049
5.49534273,-2.58680105,0.67865723,0.54320557,1.22186279,5.84240956,-3.16999933,5.21754618,-2.12000200
5.48708439,-2.59244084,0.69028076,0.54971680,1.23999756,5.83999966,-3.18568478,5.20603433,-2.12000097
5.47882795,-2.59808254,0.70664063,0.55622314,1.26286377,5.83999985,-3.20545051,5.19453611,-2.12000060
5.47057247,-2.60372567,0.71691895,0.56272217,1.27964111,5.83687872,-3.21999873,5.18305231,-2.12000221
5.46231794,-2.60937023,0.71026367,0.56921875,1.27948242,5.82509625,-3.21999811,5.17158055,-2.12000149
5.45406342,-2.61501527,0.70360596,0.57570801,1.27931396,5.81330543,-3.21999998,5.16012261,-2.12000163
5.44580936,-2.62066054,0.69694092,0.58218994,1.27913086,5.80150449,-3.21999983,5.14867926,-2.12000217
5.43755484,-2.62630510,0.69027100,0.58327148,1.27354248,5.78969409,-3.21999861,5.14000100,-2.12464055
5.42929935,-2.63194895,0.68359863,0.56734863,1.25094727,5.77787545,-3.21999809,5.14000069,-2.14390105
5.42104387,-2.63759184,0.67692627,0.55142578,1.22835205,5.76605108,-3.21999997,5.14000016,-2.16316076
5.41278648,-2.64323235,0.67024902,0.54993408,1.22018311,5.75421706,-3.21999827,5.13264537,-2.17000041
5.40452766,-2.64887071,0.66357422,0.55638184,1.21995605,5.74237787,-3.21999939,5.12125307,-2.17000095
5.39626646,-2.65450597,0.67550537,0.56281982,1.23832520,5.73999957,-3.23601697,5.10987376,-2.17000069
5.38800335,-2.66013813,0.69214600,0.56924561,1.26139160,5.73999914,-3.25609539,5.09850943,-2.17000158
5.37973785,-2.66576648,0.70160889,0.57007080,1.27167969,5.73632957,-3.26999935,5.09000019,-2.17481557
5.37146902,-2.67139030,0.69492676,0.55415039,1.24907715,5.72444191,-3.26999980,5.09000041,-2.19404547
5.36319733,-2.67700958,0.68824707,0.53821777,1.22646484,5.71254876,-3.26999996,5.09000016,-2.21328373
5.35492134,-2.68262339,0.68156982,0.53681152,1.21838135,5.70064906,-3.26999873,5.08262257,-2.22000042
5.34664202,-2.68823123,0.67489990,0.54318604,1.21808594,5.68874649,-3.26999956,5.07130285,-2.22000115
5.33835840,-2.69383311,0.66823242,0.54954834,1.21778076,5.67683812,-3.26999806,5.05999572,-2.22000024
5.33007002,-2.69942784,0.66157471,0.55589355,1.21746826,5.66492736,-3.26999917,5.04870340,-2.22000063
5.32177639,-2.70501542,0.65492188,0.55712891,1.21205078,5.65301164,-3.26999848,5.04000121,-2.22439566
5.31347752,-2.71059489,0.64827881,0.54114990,1.18942871,5.64109371,-3.26999909,5.04000032,-2.24363295
5.30517387,-2.71616650,0.66308350,0.52514404,1.18822754,5.63999969,-3.28850500,5.04000096,-2.26289001
5.29686356,-2.72172928,0.68010742,0.52320068,1.20330811,5.63999918,-3.30892943,5.03289233,-2.27000134
5.28854752,-2.72728252,0.68629639,0.52947754,1.21577393,5.63450983,-3.31999902,5.02163765,-2.27000185
5.28022432,-2.73282599,0.67967529,0.53573730,1.21541260,5.62254879,-3.31999927,5.01039550,-2.27000113
5.27189493,-2.73835921,0.67306641,0.54197754,1.21504395,5.61058688,-3.32000013,4.99916786,-2.27000080
5.26355791,-2.74388170,0.66646729,0.54819824,1.21466553,5.59862154,-3.31999888,4.98795354,-2.27000034
5.25521374,-2.74939275,0.65988281,0.55439697,1.21427979,5.58665621,-3.31999878,4.97675414,-2.27000118
5.24686146,-2.75489187,0.65331299,0.56057617,1.21388916,5.57469010,-3.31999916,4.96556761,-2.27000073
5.23850107,-2.76037908,0.64675781,0.56673340,1.21349121,5.56272352,-3.31999991,4.95439520,-2.27000105
5.23013258,-2.76585317,0.64021729,0.57286865,1.21308594,5.55075676,-3.31999967,4.94323695,-2.27000094
5.22175503,-2.77131391,0.63611084,0.56317383,1.19928467,5.53999953,-3.32209285,4.94000071,-2.28368775
5.21336889,-2.77676082,0.65354980,0.54697754,1.20052734,5.54000009,-3.34283447,4.94000039,-2.30299497
5.20497322,-2.78219342,0.67105225,0.53342773,1.20447998,5.53999913,-3.36363021,4.93865698,-2.32000213
5.19656801,-2.78761101,0.67191162,0.53948975,1.21140137,5.53166413,-3.36999902,4.92751340,-2.32000136
5.18815279,-2.79301357,0.66543945,0.54552734,1.21096680,5.51966025,-3.36999927,4.91638294,-2.32000063
5.17972755,-2.79839993,0.65898682,0.55153809,1.21052490,5.50765759,-3.36999903,4.90526697,-2.32000086
5.17129183,-2.80377007,0.65255615,0.55752197,1.21007813,5.49565750,-3.37000011,4.89416474,-2.32000221
5.16284513,-2.80912352,0.64614502,0.56348145,1.20962646,5.48365815,-3.37000002,4.88307484,-2.32000189
5.15438795,-2.81445932,0.63975586,0.56941406,1.20916992,5.47166161,-3.36999962,4.87199885,-2.32000124
5.14591885,-2.81977701,0.63338867,0.57531738,1.20870605,5.45966659,-3.36999837,4.86093660,-2.32000187
5.13743877,-2.82507658,0.62704590,0.58119385,1.20823975,5.44767556,-3.36999831,4.84988772,-2.32000166
5.12894630,-2.83035684,0.62945313,0.58471680,1.21416992,5.43999922,-3.37758381,4.84000046,-2.32202223
5.12044239,-2.83561802,0.64745117,0.56820068,1.21565186,5.43999921,-3.39871341,4.84000054,-2.34144764
5.11192560,-2.84085894,0.66552734,0.55162598,1.21715332,5.43999873,-3.41990525,4.84000040,-2.36091323
5.10339689,-2.84607959,0.65937012,0.54696289,1.20633301,5.42802884,-3.41999865,4.83410712,-2.37000034
5.09485483,-2.85127902,0.65313232,0.55271240,1.20584473,5.41600947,-3.41999824,4.82307813,-2.37000110
5.08629990,-2.85645700,0.64692383,0.55843262,1.20535645,5.40399539,-3.41999937,4.81206124,-2.37000028
5.07773113,-2.86161280,0.64074219,0.56411865,1.20486084,5.39198453,-3.41999915,4.80105792,-2.37000141
5.06914949,-2.86674619,0.63458984,0.56977295,1.20436279,5.37997947,-3.41999928,4.79006764,-2.37000227
5.06055355,-2.87185645,0.62846680,0.57539551,1.20386230,5.36797872,-3.41999906,4.77908911,-2.37000211
5.05194378,-2.87694287,0.62237549,0.58098633,1.20336182,5.35598420,-3.41999965,4.76812263,-2.37000041
5.04332018,-2.88200521,0.61631348,0.58654053,1.20285400,5.34399490,-3.41999874,4.75717049,-2.37000115
5.03468180,-2.88704300,0.62667969,0.59206055,1.21874023,5.33999963,-3.43431667,4.74623038,-2.37000191
5.02602911,-2.89205647,0.64532227,0.58789063,1.23321289,5.33999983,-3.45585004,4.74000079,-2.37843873
5.01736307,-2.89704585,0.65552734,0.57086670,1.22639404,5.33585944,-3.46999973,4.74000017,-2.39808834
5.00868273,-2.90201139,0.64956787,0.55376953,1.20333740,5.32384535,-3.46999990,4.74000033,-2.41778989
4.99998951,-2.90695333,0.64363770,0.55665283,1.20029053,5.31183789,-3.46999867,4.73028609,-2.42000115
4.99128246,-2.91187191,0.63773926,0.56203125,1.19977051,5.29983738,-3.46999845,4.71935706,-2.42000231
4.98256302,-2.91676736,0.63633057,0.56738037,1.20371094,5.28999946,-3.47390236,4.70843914,-2.42000124
4.97383022,-2.92163992,0.65534180,0.57269531,1.22803711,5.28999927,-3.49566956,4.69753389,-2.42000232
4.96508551,-2.92649031,0.67443848,0.57798096,1.25241943,5.28999961,-3.51750475,4.68664030,-2.42000216
4.95632792,-2.93131828,0.67148193,0.58323730,1.25471924,5.27934959,-3.51999900,4.67575701,-2.42000065
4.94755840,-2.93612432,0.66570801,0.58846191,1.25416992,5.26733606,-3.51999880,4.66488647,-2.42000031
4.93877745,-2.94090843,0.65996338,0.59365479,1.25361816,5.25533106,-3.51999860,4.65402897,-2.42000127
4.92998457,-2.94567156,0.65424805,0.59882080,1.25306885,5.24333446,-3.51999930,4.64318137,-2.42000029
4.92117977,-2.95041299,0.64856201,0.58794922,1.23651123,5.23134618,-3.52000009,4.64000065,-2.43405790
4.91236448,-2.95513368,0.64290283,0.57036621,1.21326904,5.21936643,-3.51999991,4.64000056,-2.45399945
4.90353775,-2.95983362,0.63727051,0.55725586,1.19452637,5.20739444,-3.51999862,4.63783281,-2.47000203
4.89470005,-2.96451306,0.63166748,0.56233154,1.19399902,5.19543191,-3.51999856,4.62697848,-2.47000128
4.88585234,-2.96917272,0.63980713,0.56737793,1.20718506,5.18999868,-3.53206539,4.61613680,-2.47000216
4.87699366,-2.97381234,0.65944580,0.57239990,1.23184570,5.18999937,-3.55423993,4.60530425,-2.47000036
4.86812496,-2.97843242,0.67180420,0.57739258,1.24919678,5.18651008,-3.56999967,4.59448391,-2.47000073
4.85924578,-2.98303294,0.66628418,0.58235840,1.24864258,5.17453079,-3.56999967,4.58367436,-2.47000110
4.85035753,-2.98761463,0.66078857,0.58729736,1.24808594,5.16256081,-3.56999823,4.57287670,-2.47000225
4.84145880,-2.99217749,0.65532227,0.59221191,1.24753418,5.15060090,-3.56999961,4.56208841,-2.47000212
4.83255100,-2.99672174,0.64988037,0.59710205,1.24698242,5.13865054,-3.56999969,4.55131054,-2.47000106
4.82363415,-3.00124788,0.64446289,0.60196533,1.24642822,5.12670944,-3.56999894,4.54054443,-2.47000175
4.81470776,-3.00575590,0.63907227,0.58505371,1.22412598,5.11477857,-3.56999955,4.54000089,-2.48920581
4.80577278,-3.01024604,0.63370605,0.56691406,1.20062012,5.10285760,-3.56999954,4.54000041,-2.50949000
4.79682875,-3.01471877,0.62836426,0.55982910,1.18819336,5.09094623,-3.56999940,4.53479041,-2.52000212
4.78787613,-3.01917458,0.64648682,0.56462402,1.21111084,5.08999915,-3.59072237,4.52401009,-2.52000026
4.77891541,-3.02361321,0.66671631,0.56939209,1.23610840,5.08999971,-3.61330565,4.51324177,-2.52000141
4.76994610,-3.02803516,0.66898926,0.57413818,1.24312744,5.08159626,-3.61999870,4.50248253,-2.52000179
4.76096869,-3.03244066,0.66371826,0.57886230,1.24258057,5.06967243,-3.61999822,4.49173252,-2.52000196
4.75198364,-3.03682995,0.65847412,0.58356689,1.24204102,5.05776387,-3.61999942,4.48098861,-2.52000114
4.74299049,-3.04120326,0.65325195,0.58824951,1.24150146,5.04586447,-3.61999986,4.47025428,-2.52000036
4.73399019,-3.04556108,0.64805176,0.59291016,1.24096191,5.03397523,-3.62000001,4.45953036,-2.52000015
4.72498226,-3.04990339,0.64287354,0.59754883,1.24042236,5.02209600,-3.61999973,4.44881602,-2.52000073
4.71596718,-3.05423093,0.63771729,0.59807129,1.23578857,5.01022755,-3.61999960,4.44000056,-2.52363531
4.70694494,-3.05854321,0.63258301,0.57944580,1.21202881,4.99836979,-3.61999919,4.43999989,-2.54424973
4.69791508,-3.06284118,0.63502930,0.56073975,1.19576904,4.98999902,-3.62671101,4.44000088,-2.56493623
4.68887949,-3.06712484,0.65572266,0.55961914,1.21534180,4.98999894,-3.64961884,4.43189248,-2.57000188
4.67983675,-3.07139421,0.67357178,0.56418457,1.23775635,4.98865815,-3.66999950,4.42116756,-2.57000166
4.67078733,-3.07564998,0.66849854,0.56873291,1.23723145,4.97679287,-3.66999912,4.41044956,-2.57000052
4.66173172,-3.07989192,0.66344727,0.57326172,1.23670898,4.96494010,-3.66999953,4.39973990,-2.57000045
4.65266991,-3.08412075,0.65841553,0.57777100,1.23618652,4.95309888,-3.66999911,4.38903829,-2.57000238
4.64360189,-3.08833671,0.65340332,0.58226563,1.23566895,4.94126931,-3.66999815,4.37834229,-2.57000224
4.63452816,-3.09253979,0.67159912,0.58674316,1.25834229,4.93999923,-3.69064745,4.36765309,-2.57000250
4.62544870,-3.09673023,0.69265869,0.59120605,1.28386475,4.93999983,-3.71384745,4.35696939,-2.57000121
4.61636353,-3.10090876,0.69458984,0.59565186,1.29024170,4.93129388,-3.71999993,4.34629212,-2.57000147
4.60727262,-3.10507488,0.68963379,0.59040527,1.28003906,4.91946447,-3.71999846,4.34000076,-2.57863008
4.59817648,-3.10922956,0.68469971,0.57120605,1.25590576,4.90764942,-3.71999971,4.34000080,-2.59969874
4.58907509,-3.11337304,0.67978271,0.55287109,1.23265381,4.89584698,-3.71999936,4.33957579,-2.62000045
4.57996893,-3.11750507,0.67488525,0.55728027,1.23216553,4.88405861,-3.71999953,4.32886968,-2.62000084
4.57085752,-3.12162614,0.67000488,0.56167480,1.23167969,4.87228298,-3.71999825,4.31816820,-2.62000212
4.56174135,-3.12573671,0.66514404,0.56605957,1.23120361,4.86052184,-3.71999826,4.30746928,-2.62000050
4.55262041,-3.12983656,0.66030273,0.57042725,1.23072998,4.84877481,-3.71999945,4.29677634,-2.62000224
4.54349518,-3.13392639,0.66208252,0.56604248,1.22812500,4.83999944,-3.72590484,4.29000109,-2.62781886
4.53436518,-3.13800645,0.68349365,0.54647461,1.22996826,4.83999938,-3.74935849,4.29000105,-2.64921132
4.52523136,-3.14207697,0.70175781,0.52758545,1.22934326,4.83856644,-3.76999828,4.28966430,-2.67000222
4.51609325,-3.14613795,0.69696533,0.53193115,1.22889648,4.82683015,-3.76999951,4.27893564,-2.67000036
4.50695086,-3.15018988,0.69218750,0.53626221,1.22844971,4.81510722,-3.76999890,4.26821119,-2.67000184
4.49780464,-3.15423322,0.68742676,0.54058594,1.22801270,4.80339954,-3.76999884,4.25748769,-2.67000092
4.48865461,-3.15826797,0.68268311,0.54489746,1.22758057,4.79170691,-3.76999958,4.24676723,-2.67000190
4.47950125,-3.16229415,0.70044678,0.54920166,1.24964844,4.78999977,-3.79016064,4.23604763,-2.67000076
4.47034359,-3.16631246,0.72211426,0.55349609,1.27561035,4.79000001,-3.81382213,4.22532893,-2.67000031
4.46118307,-3.17032313,0.72428711,0.55778076,1.28206787,4.78135909,-3.81999927,4.21461231,-2.67000103
4.45201969,-3.17432618,0.71958740,0.56205811,1.28164551,4.76968547,-3.81999987,4.20389608,-2.67000089
4.44285250,-3.17832208,0.71490234,0.56632813,1.28123047,4.75802646,-3.82000014,4.19317941,-2.67000044
4.43368244,-3.18231106,0.71023193,0.55347168,1.26370361,4.74638341,-3.82000028,4.18999989,-2.68537068
4.42450953,-3.18629336,0.70557373,0.53333008,1.23890381,4.73475497,-3.81999841,4.19000076,-2.70728749
4.41533375,-3.19026899,0.70093262,0.52343994,1.22437256,4.72314371,-3.81999877,4.18546853,-2.72000165
4.40615559,-3.19423890,0.69630615,0.52770020,1.22400635,4.71154879,-3.82000027,4.17471134,-2.72000153
4.39697504,-3.19820261,0.69169189,0.53195557,1.22364746,4.69996938,-3.82000010,4.16395290,-2.72000034
4.38779163,-3.20216084,0.69073486,0.53620361,1.22693848,4.68999952,-3.82327680,4.15319372,-2.72000097
4.37860632,-3.20611358,0.71257568,0.54044678,1.25302246,4.68999899,-3.84704938,4.14243328,-2.72000144
4.36941814,-3.21006155,0.73350098,0.54468750,1.27818848,4.68958167,-3.87000019,4.13166922,-2.72000040
4.36022854,-3.21400452,0.72892090,0.54892090,1.27784180,4.67803046,-3.86999816,4.12090474,-2.72000219
4.35103655,-3.21794295,0.72435547,0.55315430,1.27750977,4.66649629,-3.86999817,4.11013561,-2.72000077
4.34184313,-3.22187757,0.71980225,0.55738281,1.27718506,4.65497925,-3.86999875,4.09936446,-2.72000140
4.33264828,-3.22580791,0.71526123,0.55836426,1.27362549,4.64347934,-3.86999938,4.08999993,-2.72292381
4.32345104,-3.22973442,0.72916992,0.53775391,1.26692383,4.63999968,-3.88661019,4.09000029,-2.74529657
4.31425285,-3.23365784,0.75111084,0.51708496,1.26819580,4.63999964,-3.91045658,4.08999998,-2.76773133
4.30505323,-3.23757815,0.75718018,0.51879883,1.27597900,4.63311281,-3.91999943,4.08027592,-2.77000205
4.29585266,-3.24149561,0.75266846,0.52303223,1.27570068,4.62165005,-3.91999826,4.06945479,-2.77000149
4.28665066,-3.24541044,0.74816895,0.52726563,1.27543457,4.61020517,-3.91999868,4.05862840,-2.77000019
4.27744818,-3.24932313,0.74367920,0.53149658,1.27517578,4.59877791,-3.91999890,4.04779855,-2.77000102
4.26824427,-3.25323391,0.73919922,0.52869141,1.26789063,4.58736740,-3.91999919,4.04000044,-2.77634884
4.25903988,-3.25714278,0.73472900,0.50778320,1.24251221,4.57597454,-3.91999960,4.04000117,-2.79903162
4.24983501,-3.26105022,0.73026611,0.48878418,1.21905029,4.56459840,-3.91999837,4.03915652,-2.82000083
4.24062967,-3.26495671,0.72581299,0.49302979,1.21884277,4.55323971,-3.91999829,4.02828013,-2.82000049
4.23142385,-3.26886249,0.72136963,0.49727539,1.21864502,4.54189873,-3.91999956,4.01739833,-2.82000183
4.22221804,-3.27276754,0.73884766,0.50152588,1.24037354,4.53999987,-3.93978372,4.00650941,-2.82000049
4.21301174,-3.27667260,0.76073975,0.50577637,1.26651611,4.53999979,-3.96355235,3.99561436,-2.82000191
4.20380592,-3.28057766,0.76344971,0.51003174,1.27348145,4.53176026,-3.96999873,3.98471210,-2.82000164
