x_m,y_m,w_tr_left_m,w_tr_right_m,w_total_m,left_x_m,left_y_m,right_x_m,right_y_m
5.940415145,-2.40937227,0.6611425158293279,0.6611425158293279,1.3222850316586559,5.64083147,-1.82000053,6.23999882,-2.99874401
5.94585919,-2.39803058,0.6485656594250839,0.6485656594250839,1.2971313188501679,5.65171909,-1.82000029,6.23999929,-2.97606087
5.955528975,-2.39499968,0.6453112841696776,0.6453112841696776,1.2906225683393553,5.66260672,-1.82000124,6.24845123,-2.96999812
5.9667449,-2.39500016,0.6454614575347187,0.6454614575347187,1.2909229150694375,5.67349243,-1.82000148,6.25999737,-2.96999884
5.977969164999999,-2.3950006349999997,0.6456140341061649,0.6456140341061649,1.2912280682123298,5.68438148,-1.82000172,6.27155685,-2.96999955
5.9865632049999995,-2.38984549,0.6515576181116896,0.6515576181116896,1.303115236223379,5.69000053,-1.80969214,6.28312588,-2.96999884
5.99235177,-2.379212615,0.6636596036056656,0.6636596036056656,1.3273192072113311,5.69000006,-1.78842711,6.29470348,-2.96999812
5.998861789999999,-2.3700010799999998,0.6741760001305381,0.6741760001305381,1.3483520002610763,5.69142962,-1.77000213,6.30629396,-2.97000003
6.010091785,-2.37000036,0.6743443882132035,0.6743443882132035,1.348688776426407,5.70229006,-1.77000165,6.31789351,-2.96999907
6.02132678,-2.370000005,0.6745166101766094,0.6745166101766094,1.3490332203532187,5.71315002,-1.77000022,6.32950354,-2.96999979
6.032006025,-2.36890763,0.6734595292325775,0.6734595292325775,1.346919058465155,5.72401285,-1.77000201,6.3399992,-2.96781325
6.0374369649999995,-2.3576172,0.6609361952513264,0.6609361952513264,1.3218723905026528,5.73487425,-1.77000129,6.33999968,-2.94523311
6.04286909,-2.34634191,0.6484252881334908,0.6484252881334908,1.2968505762669815,5.74573898,-1.77000082,6.3399992,-2.922683
6.053420065,-2.345000745,0.6470872716032509,0.6470872716032509,1.2941745432065017,5.7566061,-1.77000213,6.35023403,-2.91999936
6.064668895,-2.345000745,0.6472620045332733,0.6472620045332733,1.2945240090665466,5.76747465,-1.77000189,6.36186314,-2.9199996
6.07592249,-2.34499973,0.6474378647906014,0.6474378647906014,1.2948757295812028,5.77834463,-1.77000129,6.37350035,-2.91999817
6.087182759999999,-2.34500033,0.6476159217063819,0.6476159217063819,1.2952318434127639,5.78921747,-1.77000201,6.38514805,-2.91999865
6.09340334,-2.33527589,0.6587524998793179,0.6587524998793179,1.3175049997586359,5.79000044,-1.75055242,6.39680624,-2.91999936
6.099237205,-2.32482094,0.6707201991283733,0.6707201991283733,1.3414403982567467,5.79000044,-1.7296418,6.40847397,-2.92000008
6.107993605,-2.31999999,0.6763438724106637,0.6763438724106637,1.3526877448213275,5.79583693,-1.72000062,6.42015028,-2.91999936
6.11926174,-2.319999695,0.676536843971061,0.676536843971061,1.353073687942122,5.80668592,-1.72000098,6.43183756,-2.91999841
6.12876844,-2.31661105,0.6729101718278899,0.6729101718278899,1.3458203436557798,5.81753778,-1.72000098,6.4399991,-2.91322112
6.134196279999999,-2.305411215,0.6604688597411419,0.6604688597411419,1.3209377194822838,5.82839346,-1.72000217,6.4399991,-2.89082026
6.140028,-2.29499948,0.6489147044694118,0.6489147044694118,1.2978294089388236,5.839252,-1.72000027,6.440804,-2.86999869
6.151305675,-2.295001145,0.6491064428128575,0.6491064428128575,1.298212885625715,5.85011578,-1.72000217,6.45249557,-2.87000012
6.1625883550000005,-2.29499984,0.649299288904413,0.649299288904413,1.298598577808826,5.86098194,-1.72000146,6.46419477,-2.86999822
6.17387819,-2.29500014,0.649495858505368,0.649495858505368,1.298991717010736,5.87185144,-1.72000039,6.47590494,-2.86999989
6.185174705,-2.295000315,0.6496923612584408,0.6496923612584408,1.2993847225168815,5.88272572,-1.72000051,6.48762369,-2.87000012
6.194675445,-2.29157984,0.6537560247692095,0.6537560247692095,1.307512049538419,5.89000034,-1.71315956,6.49935055,-2.87000012
6.200544595,-2.28126621,0.665615254723369,0.665615254723369,1.331230509446738,5.89000034,-1.69253373,6.51108885,-2.86999869
6.206418515,-2.27097863,0.6774547323934951,0.6774547323934951,1.3549094647869901,5.89000082,-1.6719588,6.52283621,-2.86999846
6.217209105,-2.270000515,0.6787731877072746,0.6787731877072746,1.3575463754145491,5.89982367,-1.67000091,6.53459454,-2.87000012
6.225342275,-2.2639969,0.6721911781508088,0.6721911781508088,1.3443823563016175,5.91068459,-1.67000067,6.53999996,-2.85799313
6.230776075,-2.252906855,0.6598462501112453,0.6598462501112453,1.3196925002224906,5.92155266,-1.6700021,6.53999949,-2.83581161
6.23789096,-2.24500042,0.6511022818166167,0.6511022818166167,1.3022045636332333,5.93242407,-1.67000115,6.54335785,-2.81999969
6.247555495,-2.2418994899999998,0.6548205257259733,0.6548205257259733,1.3096410514519465,5.94000006,-1.66379952,6.55511093,-2.81999946
6.25343561,-2.231693505,0.666591778304392,0.666591778304392,1.333183556608784,5.94000053,-1.64338827,6.56687069,-2.81999874
6.2593212099999995,-2.221509755,0.6783470806615097,0.6783470806615097,1.3566941613230195,5.94000053,-1.62302077,6.57864189,-2.81999874
6.2698333250000005,-2.21999997,0.6802770689069587,0.6802770689069587,1.3605541378139174,5.94924402,-1.62000048,6.59042263,-2.81999946
6.281159165,-2.22000086,0.6804956803445825,0.6804956803445825,1.360991360689165,5.9601059,-1.62000155,6.60221243,-2.82000017
6.29249096,-2.21999979,0.6807153666545375,0.6807153666545375,1.361430733309075,5.97097254,-1.62000036,6.61400938,-2.81999922
6.303832529999999,-2.22000003,0.6809351092489698,0.6809351092489698,1.3618702184979397,5.98184824,-1.62000108,6.62581682,-2.81999898
6.3151786350000005,-2.21999943,0.6811559823878117,0.6811559823878117,1.3623119647756234,5.99272728,-1.6200006,6.63762999,-2.81999826
6.321806909999999,-2.211217705,0.6714038474190482,0.6714038474190482,1.3428076948380965,6.00361443,-1.62000144,6.63999939,-2.80243397
6.327252625,-2.200256645,0.6591711615608268,0.6591711615608268,1.3183423231216536,6.01450634,-1.6200012,6.63999891,-2.78051209
6.3357687,-2.194999455,0.6534131643069823,0.6534131643069823,1.3068263286139645,6.02540588,-1.6200006,6.64613152,-2.76999831
6.34712648,-2.1950002299999998,0.6536268307603169,0.6536268307603169,1.3072536615206338,6.03631353,-1.62000167,6.65793943,-2.76999879
6.35487771,-2.188323795,0.6614331214680426,0.6614331214680426,1.3228662429360851,6.04000044,-1.60664856,6.66975498,-2.76999903
6.36078906,-2.178260925,0.6730970269321084,0.6730970269321084,1.3461940538642168,6.04000044,-1.58652258,6.68157768,-2.76999927
6.36767149,-2.16999966,0.6827173450051073,0.6827173450051073,1.3654346900102146,6.04193449,-1.57000101,6.69340849,-2.76999831
6.379041194999999,-2.17000097,0.6829418997973766,0.6829418997973766,1.3658837995947533,6.05283403,-1.5700022,6.70524836,-2.76999974
6.39041638,-2.170000555,0.6831666606394114,0.6831666606394114,1.366333321278823,6.06373882,-1.57000184,6.71709394,-2.76999927
6.40179968,-2.1699996,0.6833910521467786,0.6833910521467786,1.3667821042935573,6.07465267,-1.57000113,6.72894669,-2.76999807
6.41278505,-2.169261455,0.6827759214510055,0.6827759214510055,1.365551842902011,6.08557081,-1.57000041,6.73999929,-2.7685225
6.414999959999999,-2.15246987,0.6774082895144448,0.6774082895144448,1.3548165790288895,6.09000063,-1.55811524,6.73999929,-2.7468245
6.414999959999999,-2.131665945,0.6766649553867262,0.6766649553867262,1.3533299107734524,6.09000063,-1.53815866,6.73999929,-2.72517323
6.41998768,-2.120000065,0.6842919086780755,0.6842919086780755,1.368583817356151,6.09096527,-1.52000034,6.74901009,-2.71999979
6.43137002,-2.1200006599999996,0.6845154145912439,0.6845154145912439,1.3690308291824878,6.1018815,-1.52000177,6.76085854,-2.71999955
6.442758325,-2.11999935,0.6847398835920896,0.6847398835920896,1.3694797671841792,6.11280394,-1.52000034,6.77271271,-2.71999836
6.45415664,-2.1200001250000002,0.684964606248091,0.684964606248091,1.369929212496182,6.12373734,-1.52000046,6.78457594,-2.71999979
6.46556163,-2.120000365,0.6851868249419651,0.6851868249419651,1.3703736498839303,6.13467932,-1.52000213,6.79644394,-2.7199986
6.476971860000001,-2.1200009,0.6854113196370917,0.6854113196370917,1.3708226392741834,6.14562654,-1.52000177,6.80831718,-2.72000003
6.488391875,-2.12000018,0.6856346919735502,0.6856346919735502,1.3712693839471004,6.15658474,-1.52000105,6.82019901,-2.71999931
6.499819755,-2.12000072,0.6858581135996652,0.6858581135996652,1.3717162271993304,6.16755152,-1.52000141,6.83208799,-2.72000003
6.50926256,-2.116408465,0.6819738899457269,0.6819738899457269,1.3639477798914539,6.17852592,-1.52000117,6.8399992,-2.71281576
