x_m,y_m,w_tr_left_m,w_tr_right_m,w_total_m,left_x_m,left_y_m,right_x_m,right_y_m
5.65639235,-2.56999930,0.64024779,0.64024779,1.28049558,5.32864522,-2.02000016,5.98413948,-3.11999843
5.66784994,-2.56972814,0.64053467,0.64053467,1.28106933,5.34000021,-2.01945619,5.99569967,-3.12000008
5.67362190,-2.55991841,0.65191647,0.65191647,1.30383295,5.34000018,-1.99983660,6.00724361,-3.12000023
5.67938566,-2.55009791,0.66330199,0.66330199,1.32660398,5.34000065,-1.98019674,6.01877067,-3.11999908
5.68796419,-2.54500081,0.66918453,0.66918453,1.33836907,5.34564190,-1.97000221,6.03028648,-3.11999941
5.69868159,-2.54349681,0.66738034,0.66738034,1.33476068,5.35736323,-1.97000026,6.03999995,-3.11699336
5.70454684,-2.53384193,0.65608278,0.65608278,1.31216556,5.36909452,-1.97000121,6.03999916,-3.09768265
5.71041635,-2.52419271,0.64478884,0.64478884,1.28957768,5.38083355,-1.97000157,6.03999916,-3.07838385
5.71824097,-2.51783149,0.64236326,0.64236326,1.28472652,5.39000108,-1.96566382,6.04648085,-3.06999916
5.72396754,-2.50793993,0.65379152,0.65379152,1.30758304,5.39000114,-1.94588140,6.05793395,-3.06999846
5.72968750,-2.49803172,0.66523316,0.66523316,1.33046632,5.39000044,-1.92606331,6.06937456,-3.07000012
5.70981243,-2.44499983,0.72681153,0.72681153,1.45362306,5.33882630,-1.82000040,6.08079856,-3.06999927
5.72142711,-2.44500075,0.72670406,0.72670406,1.45340813,5.35064992,-1.82000229,6.09220429,-3.06999921
5.73303970,-2.44500040,0.72659297,0.72659297,1.45318595,5.36248255,-1.82000060,6.10359684,-3.07000020
5.74465010,-2.44499997,0.72647218,0.72647218,1.45294435,5.37432727,-1.82000171,6.11497293,-3.06999823
5.75625651,-2.44499975,0.72634766,0.72634766,1.45269533,5.38617928,-1.82000073,6.12633373,-3.06999877
5.76785931,-2.44500116,0.72621581,0.72621581,1.45243162,5.39804067,-1.82000230,6.13767795,-3.07000002
5.77495356,-2.43738733,0.71723271,0.71723271,1.43446543,5.40990786,-1.82000220,6.13999925,-3.05477247
5.78089065,-2.42781126,0.70596919,0.70596919,1.41193838,5.42178194,-1.82000090,6.13999937,-3.03562161
5.78787238,-2.41999942,0.69675172,0.69675172,1.39350343,5.43366302,-1.82000051,6.14208173,-3.01999832
5.79946525,-2.42000037,0.69660158,0.69660158,1.39320316,5.44555166,-1.82000126,6.15337883,-3.01999949
5.81105329,-2.42000002,0.69644530,0.69644530,1.39289060,5.45744769,-1.82000074,6.16465889,-3.01999930
5.82263501,-2.42000002,0.69628172,0.69628172,1.39256344,5.46934989,-1.82000180,6.17592013,-3.01999823
5.83421098,-2.41999991,0.69611448,0.69611448,1.39222896,5.48125705,-1.82000083,6.18716491,-3.01999898
5.84578064,-2.42000088,0.69593992,0.69593992,1.39187984,5.49317054,-1.82000214,6.19839075,-3.01999962
5.85734398,-2.41999977,0.69576050,0.69576050,1.39152100,5.50508901,-1.82000051,6.20959896,-3.01999902
5.86890153,-2.42000045,0.69557377,0.69557377,1.39114753,5.51701420,-1.82000197,6.22078885,-3.01999893
5.88045134,-2.42000072,0.69538205,0.69538205,1.39076410,5.52894302,-1.82000230,6.23195966,-3.01999913
5.89043577,-2.41734376,0.69210816,0.69210816,1.38421632,5.54087202,-1.82000056,6.23999952,-3.01468695
5.89640353,-2.40782050,0.68087401,0.68087401,1.36174803,5.55280772,-1.82000136,6.23999934,-2.99563964
5.90237310,-2.39829038,0.66963379,0.66963379,1.33926759,5.56474715,-1.82000141,6.23999906,-2.97657935
5.91198587,-2.39500012,0.66561768,0.66561768,1.33123535,5.57668944,-1.82000169,6.24728230,-2.96999855
5.92351159,-2.39499993,0.66540648,0.66540648,1.33081295,5.58863443,-1.82000161,6.25838875,-2.96999825
5.93503011,-2.39500007,0.66519043,0.66519043,1.33038085,5.60058299,-1.82000143,6.26947722,-2.96999870
5.94653765,-2.39499945,0.66496948,0.66496948,1.32993896,5.61253103,-1.82000032,6.28054426,-2.96999857
5.95803670,-2.39500004,0.66474365,0.66474365,1.32948730,5.62448077,-1.82000042,6.29159262,-2.96999966
5.96952745,-2.39500014,0.66451173,0.66451173,1.32902347,5.63643278,-1.82000120,6.30262213,-2.96999908
5.98100664,-2.39499939,0.66427613,0.66427613,1.32855227,5.64838225,-1.82000044,6.31363104,-2.96999834
5.99247899,-2.39500038,0.66403686,0.66403686,1.32807373,5.66033355,-1.82000094,6.32462443,-2.96999983
