s,left_x,left_y,right_x,right_y
0.00000000,5.64083147,-1.82000053,6.23999882,-2.99874401
0.01258060,5.65171909,-1.82000029,6.23999929,-2.97606087
0.02271426,5.66260672,-1.82000124,6.24845123,-2.96999812
0.03393019,5.67349243,-1.82000148,6.25999737,-2.96999884
0.04515445,5.68438148,-1.82000172,6.27155685,-2.96999955
0.05517608,5.69000053,-1.80969214,6.28312588,-2.96999884
0.06728251,5.69000006,-1.78842711,6.29470348,-2.96999812
0.07856226,5.69142962,-1.77000213,6.30629396,-2.97000003
0.08979225,5.70229006,-1.77000165,6.31789351,-2.96999907
0.10102725,5.71315002,-1.77000022,6.32950354,-2.96999979
0.11176222,5.72401285,-1.77000201,6.33999920,-2.96781325
0.12429094,5.73487425,-1.77000129,6.33999968,-2.94523311
0.13680654,5.74573898,-1.77000082,6.33999920,-2.92268300
0.14744241,5.75660610,-1.77000213,6.35023403,-2.91999936
0.15869124,5.76747465,-1.77000189,6.36186314,-2.91999960
0.16994483,5.77834463,-1.77000129,6.37350035,-2.91999817
0.18120510,5.78921747,-1.77000201,6.38514805,-2.91999865
0.19274895,5.79000044,-1.75055242,6.39680624,-2.91999936
0.20472141,5.79000044,-1.72964180,6.40847397,-2.92000008
0.21471722,5.79583693,-1.72000062,6.42015028,-2.91999936
0.22598535,5.80668592,-1.72000098,6.43183756,-2.91999841
0.23607794,5.81753778,-1.72000098,6.43999910,-2.91322112
0.24852373,5.82839346,-1.72000217,6.43999910,-2.89082026
0.26045743,5.83925200,-1.72000027,6.44080400,-2.86999869
0.27173511,5.85011578,-1.72000217,6.45249557,-2.87000012
0.28301779,5.86098194,-1.72000146,6.46419477,-2.86999822
0.29430762,5.87185144,-1.72000039,6.47590494,-2.86999989
0.30560414,5.88272572,-1.72000051,6.48762369,-2.87000012
0.31570184,5.89000034,-1.71315956,6.49935055,-2.87000012
0.32756851,5.89000034,-1.69253373,6.51108885,-2.86999869
0.33941492,5.89000082,-1.67195880,6.52283621,-2.86999846
0.35024975,5.89982367,-1.67000091,6.53459454,-2.87000012
0.36035875,5.91068459,-1.67000067,6.53999996,-2.85799313
0.37270845,5.92155266,-1.67000210,6.53999949,-2.83581161
0.38334487,5.93242407,-1.67000115,6.54335785,-2.81999969
0.39349469,5.94000006,-1.66379952,6.55511093,-2.81999946
0.40527340,5.94000053,-1.64338827,6.56687069,-2.81999874
0.41703559,5.94000053,-1.62302077,6.57864189,-2.81999874
0.42765557,5.94924402,-1.62000048,6.59042263,-2.81999946
0.43898141,5.96010590,-1.62000155,6.60221243,-2.82000017
0.45031320,5.97097254,-1.62000036,6.61400938,-2.81999922
0.46165477,5.98184824,-1.62000108,6.62581682,-2.81999898
0.47300088,5.99272728,-1.62000060,6.63762999,-2.81999826
0.48400327,6.00361443,-1.62000144,6.63999939,-2.80243397
0.49624258,6.01450634,-1.62000120,6.63999891,-2.78051209
0.50625066,6.02540588,-1.62000060,6.64613152,-2.76999831
0.51760844,6.03631353,-1.62000167,6.65793943,-2.76999879
0.52783861,6.04000044,-1.60664856,6.66975498,-2.76999903
0.53950931,6.04000044,-1.58652258,6.68157768,-2.76999927
0.55026182,6.04193449,-1.57000101,6.69340849,-2.76999831
0.56163152,6.05283403,-1.57000220,6.70524836,-2.76999974
0.57300671,6.06373882,-1.57000184,6.71709394,-2.76999927
0.58439001,6.07465267,-1.57000113,6.72894669,-2.76999807
0.59540015,6.08557081,-1.57000041,6.73999929,-2.76852250
0.61233718,6.09000063,-1.55811524,6.73999929,-2.74682450
0.63314111,6.09000063,-1.53815866,6.73999929,-2.72517323
0.64582851,6.09096527,-1.52000034,6.74901009,-2.71999979
0.65721085,6.10188150,-1.52000177,6.76085854,-2.71999955
0.66859915,6.11280394,-1.52000034,6.77271271,-2.71999836
0.67999747,6.12373734,-1.52000046,6.78457594,-2.71999979
0.69140246,6.13467932,-1.52000213,6.79644394,-2.71999860
0.70281269,6.14562654,-1.52000177,6.80831718,-2.72000003
0.71423270,6.15658474,-1.52000105,6.82019901,-2.71999931
0.72566058,6.16755152,-1.52000141,6.83208799,-2.72000003
0.73576360,6.17852592,-1.52000117,6.83999920,-2.71281576
0.74780084,6.18950939,-1.52000201,6.83999968,-2.69139218
0.76793380,6.19000101,-1.50111926,6.83999920,-2.67001200
0.77945025,6.19000053,-1.48139369,6.85187054,-2.66999936
0.78948002,6.19462442,-1.47000098,6.86375666,-2.66999888
0.80091172,6.20559740,-1.47000170,6.87564707,-2.66999912
0.81235485,6.21658134,-1.47000051,6.88754940,-2.66999912
0.82314929,6.22757339,-1.47000194,6.88999987,-2.65310454
0.83510541,6.23857212,-1.47000170,6.88999987,-2.63187218
0.84516186,6.24957752,-1.47000217,6.89522934,-2.61999917
0.85661549,6.26058960,-1.47000110,6.90712452,-2.62000012
0.86807627,6.27160883,-1.47000110,6.91902685,-2.61999941
0.87954540,6.28263617,-1.47000170,6.93093777,-2.61999822
0.88972040,6.29000139,-1.46350431,6.94285774,-2.61999917
0.90115640,6.29000139,-1.44398725,6.95478344,-2.61999941
0.91257997,6.29000092,-1.42450666,6.96671963,-2.61999846
