s,left_width,right_width
0.00000000,0.66933838,0.65294678
0.01000023,0.66451172,0.63261963
0.02000046,0.65967041,0.63095215
0.02999878,0.65481689,0.63610596
0.03999901,0.64994873,0.64127930
0.04999923,0.65664551,0.64646973
0.05999946,0.67564209,0.65167725
0.06999969,0.69144531,0.65690674
0.07999992,0.68653809,0.66215088
0.09000015,0.68161865,0.66741455
0.10000038,0.67668213,0.67023682
0.10999870,0.67173584,0.65013672
0.11999893,0.66677490,0.63007568
0.12999916,0.66179932,0.63237549
0.13999939,0.65681152,0.63771240
0.14999962,0.65181152,0.64306396
0.15999985,0.64679688,0.64843506
0.17000007,0.66368164,0.65382324
0.18000030,0.68221191,0.65922852
0.18999862,0.68803955,0.66464844
0.19999885,0.68298828,0.67008545
0.20999908,0.67792480,0.66789551
0.21999931,0.67284668,0.64809082
0.22999954,0.66775879,0.63007080
0.23999977,0.66265381,0.63555908
0.25000000,0.65753906,0.64105957
0.26000023,0.65241211,0.64657959
0.27000046,0.64727051,0.65211426
0.27999878,0.64984863,0.65766357
0.28999901,0.66800293,0.66322754
0.29999923,0.68610107,0.66880859
0.30999946,0.68313965,0.67440674
0.31999969,0.67795166,0.66643066
0.32999992,0.67274902,0.64694336
0.34000015,0.66753662,0.63466797
0.35000038,0.66933594,0.64030518
0.35999870,0.68722900,0.64595459
0.36999893,0.70507324,0.65162109
0.37999916,0.70325195,0.65730225
0.38999939,0.69799316,0.66299805
0.39999962,0.69272461,0.66870605
0.40999985,0.68744141,0.67442871
0.42000007,0.68214844,0.68016357
0.43000030,0.67684082,0.66596680
0.43999862,0.67152344,0.64681885
0.44999885,0.66619385,0.64063232
0.45999908,0.66084961,0.64640381
0.46999931,0.67067871,0.65218750
0.47999954,0.68821045,0.65798340
0.48999977,0.70164307,0.66379150
0.50000000,0.69626953,0.66961426
0.51000023,0.69088623,0.67544678
0.52000046,0.68549072,0.68129150
0.52999878,0.68008545,0.68546631
0.53999901,0.68821289,0.66660400
0.54999923,0.70553955,0.64779053
0.55999946,0.72081787,0.64776611
0.56999969,0.71538086,0.65364990
0.57999992,0.70993652,0.65954346
0.59000015,0.70447754,0.66545166
0.60000038,0.69900635,0.67136719
0.60999870,0.69352783,0.67729492
0.61999893,0.68803711,0.68323242
0.62999916,0.68253418,0.68918213
0.63999939,0.67702148,0.68692627
0.64999962,0.67149658,0.66838867
0.65999985,0.68756836,0.64989502
0.67000007,0.70460938,0.65585205
0.68000030,0.71211426,0.66183350
0.68999862,0.70656982,0.66782471
0.69999885,0.70101563,0.67382813
0.70999908,0.69544922,0.66047852
0.71999931,0.68987549,0.64215332
0.72999954,0.68429199,0.63455566
0.73999977,0.67870117,0.64058105
0.75000000,0.67310059,0.64661377
0.76000023,0.66749023,0.65265625
0.77000046,0.66933350,0.65871094
0.77999878,0.68613037,0.66477295
0.78999901,0.70289063,0.67084473
0.79999923,0.70244385,0.67692871
0.80999946,0.69681152,0.68176025
0.81999969,0.69117188,0.66365234
0.82999992,0.68552490,0.64558350
0.84000015,0.68510254,0.64380615
0.85000038,0.70171875,0.64991699
0.85999870,0.71829346,0.65603516
0.86999893,0.72047363,0.66216553
0.87999916,0.71480957,0.66830566
0.88999939,0.70914063,0.67445313
0.89999962,0.70346191,0.68061279
0.90999985,0.69778076,0.68677979
0.92000007,0.69208984,0.68504150
0.93000030,0.68639648,0.66715820
0.93999862,0.68069336,0.64931641
0.94999885,0.67498779,0.65376953
0.95999908,0.68235840,0.65996338
0.96999931,0.69868896,0.66616699
0.97999954,0.71497314,0.67237793
0.98999977,0.70995850,0.66004150
1.00000000,0.70422852,0.64236084
1.01000023,0.69847168,0.63311768
1.02000046,0.69270752,0.63930908
1.02999878,0.68694092,0.64550293
1.03999901,0.68116943,0.65170898
1.04999923,0.67539307,0.65791992
1.05999946,0.66960938,0.66414063
1.06999969,0.66382568,0.67036621
1.07999992,0.67967773,0.67660156
1.09000015,0.69585693,0.68213379
1.10000038,0.70451172,0.66464844
1.10999870,0.69873047,0.64719727
1.11999893,0.69294678,0.64351318
1.12999916,0.68716064,0.64976807
1.13999939,0.68137207,0.65603027
1.14999962,0.67557861,0.66229980
1.15999985,0.66978516,0.66857910
1.17000007,0.66398682,0.67486816
1.18000030,0.65819092,0.68116211
1.18999862,0.66058105,0.68746582
1.19999885,0.67651611,0.68615234
1.20999908,0.69240723,0.66879395
1.21999931,0.69330322,0.65146484
1.22999954,0.68751953,0.65442871
1.23999977,0.68173584,0.66075439
1.25000000,0.67595215,0.66708984
1.26000023,0.67016846,0.67343506
1.27000046,0.66438232,0.67979004
1.27999878,0.65859863,0.68615234
1.28999901,0.65281250,0.69252686
1.29999923,0.64702881,0.69891357
1.30999946,0.64124512,0.68905762
1.31999969,0.63545898,0.67179199
1.32999992,0.62967529,0.65953125
1.34000015,0.62389404,0.66593018
1.35000038,0.62296875,0.67233887
1.35999870,0.63847656,0.67875977
1.36999893,0.65393555,0.68519287
1.37999916,0.65951904,0.69163574
1.38999939,0.65377197,0.69809326
1.39999962,0.64802490,0.70456055
1.40999985,0.64228271,0.70746826
1.42000007,0.63654053,0.69024414
1.43000030,0.63080078,0.67305176
1.43999862,0.62506836,0.67161865
1.44999885,0.61933350,0.67811768
1.45999908,0.61360107,0.68462891
1.46999931,0.61733398,0.69115479
1.47999954,0.63242920,0.69769531
1.48999977,0.64745850,0.70424805
1.50000000,0.64986328,0.71081543
1.51000023,0.64418457,0.71739990
1.52000046,0.63851074,0.70631836
1.52999878,0.63283936,0.68916504
1.53999901,0.62717285,0.67791992
1.54999923,0.62150879,0.68452393
1.55999946,0.61584961,0.69114746
1.56999969,0.61019531,0.69778320
1.57999992,0.60454590,0.69617676
1.59000015,0.60989014,0.67907227
1.60000038,0.62449707,0.66201172
1.60999870,0.63902588,0.66486816
1.61999893,0.64167236,0.67155029
1.62999916,0.63608643,0.67825195
1.63999939,0.63050537,0.68497803
1.64999962,0.62492432,0.69172363
1.65999985,0.61972656,0.69849609
1.67000007,0.63396973,0.70529297
1.68000030,0.64813232,0.70794922
1.68999862,0.66220215,0.69092529
1.69999885,0.65716309,0.67395020
1.70999908,0.65164307,0.67256348
1.71999931,0.64612061,0.67944336
1.72999954,0.64059570,0.68635498
1.73999977,0.64204590,0.69329834
1.75000000,0.65578613,0.70027832
1.76000023,0.66942871,0.70729004
1.77000046,0.67905273,0.71434082
1.77999878,0.67358398,0.71685791
1.78999901,0.66810547,0.69997803
1.79999923,0.66262451,0.68315918
1.80999946,0.65714111,0.68206055
1.81999969,0.66177979,0.68923584
1.82999992,0.67494873,0.69645752
1.84000015,0.68801514,0.70354248
1.85000038,0.70097412,0.68683594
1.85999870,0.71382568,0.67020752
1.86999893,0.72657227,0.66444336
1.87999916,0.73920898,0.67181641
1.88999939,0.73604492,0.67924072
1.89999962,0.73066162,0.68671631
1.90999985,0.72526855,0.69424561
1.92000007,0.71986328,0.70183105
1.93000030,0.71592529,0.70947266
1.93999862,0.72813477,0.70898926
1.94999885,0.74022949,0.69256836
1.95999908,0.75220947,0.67623047
1.96999931,0.76406982,0.67833252
1.97999954,0.77581543,0.68617920
1.98999977,0.78744141,0.69409180
2.00000000,0.79895020,0.69473877
2.01000023,0.79621338,0.67858643
2.02000046,0.79090576,0.66252441
2.02999878,0.78558594,0.66343506
2.03999901,0.78024902,0.67158203
2.04999923,0.77489746,0.67980469
2.05999946,0.76952637,0.68810059
2.06999969,0.76413818,0.69647461
2.07999992,0.75873291,0.70492920
2.09000015,0.75330566,0.71346680
2.10000038,0.74785645,0.69812012
2.10999870,0.74238525,0.68241455
2.11999893,0.73688965,0.67539063
2.12999916,0.73137207,0.68412842
2.13999939,0.72582520,0.69295654
2.14999962,0.72025391,0.69954346
2.15999985,0.71465332,0.68409668
2.17000007,0.70902344,0.66876221
2.18000030,0.70336426,0.66409424
2.18999862,0.69767334,0.67324219
2.19999885,0.69195068,0.68248779
2.20999908,0.68619141,0.69183838
2.21999931,0.68039795,0.70129395
2.22999954,0.67456787,0.71085938
2.23999977,0.66870117,0.71734375
2.25000000,0.66704346,0.70237061
2.26000023,0.67682861,0.68751465
2.27000046,0.68649658,0.68354004
2.27999878,0.69604492,0.69349121
2.28999901,0.70547607,0.70356689
2.29999923,0.69994141,0.70397217
2.30999946,0.69397461,0.68944092
2.31999969,0.68796387,0.67503174
2.32999992,0.68190674,0.67720459
2.34000015,0.67580078,0.68771973
2.35000038,0.66964355,0.69837158
2.35999870,0.66343994,0.70916504
2.36999893,0.65717773,0.72010254
2.37999916,0.65085938,0.73119141
2.38999939,0.64903564,0.72198730
2.39999962,0.65773682,0.70802734
2.40999985,0.66632324,0.69553955
2.42000007,0.67479492,0.70700195
2.43000030,0.68314941,0.71863037
2.43999862,0.68235352,0.72426270
2.44999885,0.67587646,0.71067383
2.45999908,0.66933594,0.69721680
2.46999931,0.66273193,0.69538574
2.47999954,0.65605469,0.70760986
2.48999977,0.64931152,0.72001709
2.50000000,0.64249512,0.73261719
2.51000023,0.63560059,0.74541504
2.52000046,0.62863281,0.75647217
2.52999878,0.62158691,0.74340576
2.53999901,0.61445801,0.73046875
2.54999923,0.60724609,0.72467773
2.55999946,0.59994629,0.73819580
2.56999969,0.59255859,0.75193604
2.57999992,0.59374023,0.74711182
2.59000015,0.60107666,0.73458740
2.60000038,0.60830322,0.72219971
2.60999870,0.61541504,0.73309326
2.61999893,0.62242188,0.74766357
2.62999916,0.62318604,0.76248779
2.63999939,0.61550293,0.77757813
2.64999962,0.60771484,0.79280518
2.65999985,0.59981934,0.78073486
2.67000007,0.59181396,0.76880127
2.68000030,0.59764893,0.76159180
2.68999862,0.60414063,0.77765625
2.69999885,0.61052979,0.79402588
2.70999908,0.61680908,0.78623779
2.71999931,0.62298584,0.77475830
2.72999954,0.62275635,0.76349854
2.73999977,0.61437744,0.78065430
2.75000000,0.60586426,0.79814941
2.76000023,0.59721436,0.81599365
2.77000046,0.58842529,0.83420166
2.77999878,0.57948975,0.83308105
2.78999901,0.57040283,0.82212402
2.79999923,0.56116211,0.81130859
2.80999946,0.55176025,0.82483154
2.81999969,0.55665039,0.84439697
2.82999992,0.56215332,0.86438232
2.84000015,0.56755615,0.88480225
2.85000038,0.57286133,0.88047607
2.85999870,0.57806396,0.87008057
2.86999893,0.58168945,0.85982666
2.87999916,0.57172607,0.88037109
2.88999939,0.56157227,0.89945068
2.89999962,0.55122070,0.88941895
2.90999985,0.54333008,0.87952881
2.92000007,0.54815918,0.87798340
2.93000030,0.55289063,0.90139648
2.93999862,0.55752686,0.92537842
2.94999885,0.56207031,0.94995361
2.95999908,0.56651855,0.94880371
2.96999931,0.57080566,0.93938232
2.97999954,0.55953369,0.93010498
2.98999977,0.54801025,0.95446533
3.00000000,0.53623047,0.98134766
3.01000023,0.53006104,1.00894287
3.02000046,0.53415039,1.00872070
