s,left_width,right_width
0.00000000,0.64024779,0.64024779
0.01146126,0.64053467,0.64053467
0.02284241,0.65191647,0.65191647
0.03422928,0.66330199,0.66330199
0.04420853,0.66918453,0.66918453
0.05503082,0.66738034,0.66738034
0.06632805,0.65608278,0.65608278
0.07762146,0.64478884,0.64478884
0.08770561,0.64236326,0.64236326
0.09913445,0.65379152,0.65379152
0.11057663,0.66523316,0.66523316
0.16720963,0.72681153,0.72681153
0.17882538,0.72670406,0.72670406
0.19043732,0.72659297,0.72659297
0.20204735,0.72647218,0.72647218
0.21365357,0.72634766,0.72634766
0.22525597,0.72621581,0.72621581
0.23566246,0.71723271,0.71723271
0.24693108,0.70596919,0.70596919
0.25740814,0.69675172,0.69675172
0.26900101,0.69660158,0.69660158
0.28058815,0.69644530,0.69644530
0.29216957,0.69628172,0.69628172
0.30374718,0.69611448,0.69611448
0.31531525,0.69593992,0.69593992
0.32687950,0.69576050,0.69576050
0.33843613,0.69557377,0.69557377
0.34998703,0.69538205,0.69538205
0.36031914,0.69210816,0.69210816
0.37155724,0.68087401,0.68087401
0.38280296,0.66963379,0.66963379
0.39296341,0.66561768,0.66561768
0.40448761,0.66540648,0.66540648
0.41600609,0.66519043,0.66519043
0.42751503,0.66496948,0.66496948
0.43901444,0.66474365,0.66474365
0.45050430,0.66451173,0.66451173
0.46198273,0.66427613,0.66427613
0.47345543,0.66403686,0.66403686
0.48491669,0.66379150,0.66379150
0.49487686,0.65697878,0.65697878
0.51004601,0.65194455,0.65194455
0.52998543,0.65270386,0.65270386
0.54121781,0.66277952,0.66277952
0.55267334,0.66251831,0.66251831
0.56411743,0.66225464,0.66225464
0.57555390,0.66198727,0.66198727
0.58698082,0.66171754,0.66171754
0.59839821,0.66144656,0.66144656
0.60980416,0.66117309,0.66117309
0.62119866,0.66089844,0.66089844
0.63258553,0.66062015,0.66062015
0.64832497,0.66095826,0.66095826
0.66850662,0.66183839,0.66183839
0.68318939,0.65978026,0.65978026
0.69458199,0.65949830,0.65949830
0.70596504,0.65921631,0.65921631
0.71733856,0.65893311,0.65893311
0.72870255,0.65864868,0.65864868
0.74005318,0.65836547,0.65836547
0.75139618,0.65808108,0.65808108
0.76272965,0.65779784,0.65779784
0.77390480,0.65782346,0.65782346
0.78591347,0.66982181,0.66982181
0.80535317,0.67195677,0.67195677
0.81894875,0.66422851,0.66422851
0.82909203,0.65638916,0.65638916
0.84041786,0.65610962,0.65610962
0.85173416,0.65583249,0.65583249
0.86168289,0.66177128,0.66177128
0.87380028,0.67387817,0.67387817
0.88468552,0.68349000,0.68349000
0.89599037,0.68320801,0.68320801
0.90728760,0.68292969,0.68292969
0.91857529,0.68265259,0.68265259
0.92985344,0.68237793,0.68237793
0.94136238,0.67089967,0.67089967
0.95291710,0.65935547,0.65935547
0.96285629,0.65317505,0.65317505
0.97412682,0.65292357,0.65292357
0.98488236,0.66215943,0.66215943
0.99711609,0.67438235,0.67438235
1.00710869,0.68054566,0.68054566
1.01837158,0.68029906,0.68029906
1.02962494,0.68005618,0.68005618
1.04087448,0.67981566,0.67981566
1.05106163,0.68255981,0.68255981
1.06453514,0.69295411,0.69295411
1.08573532,0.69377687,0.69377687
1.09763718,0.68233647,0.68233647
1.10775185,0.67868531,0.67868531
1.11900330,0.67847169,0.67847169
1.13024521,0.67826416,0.67826416
1.14148522,0.67806275,0.67806275
1.15271759,0.67786622,0.67786622
1.16394425,0.67767457,0.67767457
1.17516709,0.67748778,0.67748778
1.18510628,0.68245244,0.68245244
1.19744492,0.69478757,0.69478757
1.21204567,0.69983888,0.69983888
1.22395516,0.68793455,0.68793455
1.23554802,0.67663817,0.67663817
1.24677658,0.67648314,0.67648314
1.25799942,0.67633665,0.67633665
1.26922226,0.67619383,0.67619383
1.28044129,0.67605714,0.67605714
1.29040718,0.67033816,0.67033816
1.30242539,0.65832154,0.65832154
1.31771469,0.65361203,0.65361203
1.33007431,0.66596924,0.66596924
1.34099007,0.67546509,0.67546509
1.35221481,0.67536254,0.67536254
1.36343575,0.67526854,0.67526854
1.37465477,0.67518186,0.67518186
1.38587380,0.67509886,0.67509886
1.39723206,0.68560307,0.68560307
1.40957832,0.69794800,0.69794800
1.41956330,0.70255981,0.70255981
1.43173981,0.69038330,0.69038330
1.44393349,0.67819092,0.67819092
1.45406151,0.67474120,0.67474120
1.46528626,0.67470458,0.67470458
1.47650910,0.67467283,0.67467283
1.48773575,0.67465088,0.67465088
1.49896050,0.67463380,0.67463380
1.51018524,0.67462281,0.67462281
1.52091789,0.68368652,0.68368652
1.53319359,0.69596195,0.69596195
1.54331398,0.70274293,0.70274293
1.55428887,0.69307983,0.69307983
1.56660652,0.68076172,0.68076172
1.57664108,0.67470458,0.67470458
1.58787537,0.67474242,0.67474242
1.59911347,0.67478763,0.67478763
1.61035347,0.67484006,0.67484006
1.62109375,0.67368164,0.67368164
1.63346481,0.66131228,0.66131228
1.64989662,0.65468873,0.65468873
1.66331291,0.66482299,0.66482299
1.67455292,0.67521241,0.67521241
1.68579865,0.67530886,0.67530886
1.69704819,0.67541380,0.67541380
1.70830345,0.67552611,0.67552611
1.71956444,0.67564573,0.67564573
1.73082733,0.67577394,0.67577394
1.74209595,0.67590942,0.67590942
1.75266647,0.67426267,0.67426267
1.76510620,0.66182617,0.66182617
1.77786446,0.64993163,0.64993163
1.79057121,0.66070927,0.66070927
1.80254173,0.67267578,0.67267578
1.81261063,0.67689089,0.67689089
1.82389641,0.67708374,0.67708374
1.83518601,0.67728394,0.67728394
1.84648514,0.67749388,0.67749388
1.85779190,0.67771363,0.67771363
1.86910820,0.67793946,0.67793946
1.87914086,0.67343505,0.67343505
1.89160156,0.66098144,0.66098144
1.90304756,0.65039429,0.65039429
1.91437912,0.65064696,0.65064696
1.92571640,0.65090701,0.65090701
1.93706513,0.65117556,0.65117556
1.94842529,0.65145385,0.65145385
1.95979500,0.65174073,0.65174073
1.97045708,0.66099731,0.66099731
1.98213959,0.67266354,0.67266354
1.99251557,0.68103392,0.68103392
2.00359535,0.67126712,0.67126712
2.01602745,0.65885131,0.65885131
2.02604675,0.65365723,0.65365723
2.03744126,0.65401001,0.65401001
2.04885292,0.65437257,0.65437257
2.06027794,0.65474484,0.65474484
2.07171440,0.65512694,0.65512694
2.08316612,0.65552001,0.65552001
2.09463501,0.65592282,0.65592282
2.10561180,0.66626101,0.66626101
2.12012863,0.67259643,0.67259643
2.13810539,0.66790401,0.66790401
2.14937973,0.65763917,0.65763917
2.16084862,0.65809324,0.65809324
2.17233277,0.65855960,0.65855960
2.18383789,0.65903809,0.65903809
2.19535828,0.65952636,0.65952636
2.20689774,0.66002684,0.66002684
2.21845436,0.66053711,0.66053711
2.23002815,0.66105836,0.66105836
2.24066544,0.65925174,0.65925174
2.25915337,0.65541625,0.65541625
2.27939606,0.65373902,0.65373902
2.29057312,0.66326053,0.66326053
2.30215454,0.66383912,0.66383912
2.31375504,0.66442869,0.66442869
2.32528496,0.66484622,0.66484622
2.33747864,0.65269898,0.65269898
2.35136795,0.64333011,0.64333011
2.36399841,0.65093998,0.65093998
2.37490463,0.66179198,0.66179198
2.38491821,0.66821778,0.66821778
