s,left_x,left_y,right_x,right_y
0.00000000,5.60764170,-1.81969070,6.26531744,-2.96813107
0.00999975,5.62192011,-1.82461548,6.26909971,-2.95461607
0.01999777,5.63333607,-1.82451582,6.27575779,-2.94616175
0.02999739,5.64283180,-1.82102859,6.28435421,-2.94112587
0.03999724,5.65183735,-1.81665206,6.29345512,-2.93700862
0.04999737,5.65972805,-1.81029534,6.30368328,-2.93489671
0.05999658,5.66528749,-1.79983604,6.31625128,-2.93691015
0.06999517,5.66916752,-1.78640699,6.33050632,-2.94191265
0.07999470,5.67409754,-1.77477348,6.34371996,-2.94513369
0.08999436,5.68319416,-1.77038598,6.35277271,-2.94112039
0.09999452,5.69230604,-1.76599145,6.36181498,-2.93712211
0.10999390,5.70191479,-1.76243377,6.37036133,-2.93229270
0.11999182,5.71551704,-1.76584172,6.37491226,-2.92050052
0.12999228,5.73032475,-1.77133393,6.37826157,-2.90662026
0.13999156,5.74244261,-1.77209282,6.38429594,-2.89746857
0.14999135,5.75199842,-1.76833105,6.39288950,-2.89282894
0.15998915,5.76117706,-1.76388204,6.40185070,-2.88886547
0.16998921,5.77036619,-1.75941610,6.41079855,-2.88490200
0.17998900,5.77911186,-1.75414085,6.42018032,-2.88172865
0.18998879,5.78344917,-1.74107158,6.43395996,-2.88632679
0.19998883,5.78743792,-1.72734165,6.44807673,-2.89156008
0.20998669,5.79387188,-1.71788061,6.45973015,-2.89249611
0.21998591,5.80250597,-1.71226037,6.46917105,-2.88955879
0.22998641,5.81281996,-1.70957601,6.47691679,-2.88364744
0.23998621,5.82580805,-1.71159887,6.48196840,-2.87299013
0.24998577,5.84045076,-1.71654177,6.48534441,-2.85937023
0.25998349,5.85326242,-1.71823430,6.49052572,-2.84895587
0.26998336,5.86247730,-1.71352100,6.49928379,-2.84489632
0.27998299,5.87168884,-1.70877457,6.50801849,-2.84081650
0.28998140,5.88089466,-1.70399284,6.51672935,-2.83671761
0.29998103,5.89009619,-1.69917512,6.52541685,-2.83259368
0.30998074,5.89783430,-1.69171751,6.53553629,-2.83104658
0.31998062,5.90277576,-1.67922628,6.54841900,-2.83446646
0.32998043,5.90685320,-1.66514623,6.56213045,-2.83940649
0.33997808,5.91333055,-1.65533614,6.57340002,-2.84000468
0.34997837,5.92341471,-1.65198064,6.58103037,-2.83407474
0.35997803,5.93626404,-1.65360403,6.58585644,-2.82309437
0.36997781,5.95056248,-1.65786052,6.58919716,-2.80941224
0.37997772,5.96315622,-1.65907121,6.59420729,-2.79870963
0.38997529,5.97069073,-1.65116370,6.60423756,-2.79706287
0.39997545,5.97484922,-1.63713658,6.61761427,-2.80147076
0.40997488,5.97886372,-1.62283659,6.63110065,-2.80609226
0.41997475,5.98600340,-1.61420274,6.64143038,-2.80498910
0.42997276,5.99470806,-1.60842955,6.65016079,-2.80097151
0.43997264,6.00366879,-1.60314095,6.65860844,-2.79641438
0.44997219,6.01260424,-1.59783137,6.66705084,-2.79182577
0.45997194,6.02151394,-1.59250331,6.67549133,-2.78720641
0.46997183,6.03115034,-1.58853447,6.68317842,-2.78118086
0.47996956,6.04436922,-1.59116817,6.68725252,-2.76850867
0.48996959,6.05855560,-1.59562683,6.69033813,-2.75396633
0.49996919,6.07005835,-1.59521997,6.69608259,-2.74424887
0.50996943,6.07923985,-1.59059811,6.70412636,-2.73870659
0.51996908,6.08560896,-1.58085060,6.71495962,-2.73825359
0.52996713,6.09004211,-1.56758094,6.72770500,-2.74128890
0.53996662,6.09425259,-1.55393505,6.74065590,-2.74466610
0.54996680,6.10044336,-1.54397881,6.75160933,-2.74432230
0.55996637,6.10906267,-1.53855371,6.76011515,-2.73941803
0.56996419,6.11764860,-1.53312910,6.76863527,-2.73448849
0.57996423,6.12622309,-1.52773929,6.77715540,-2.72949672
0.58996413,6.13510418,-1.52298141,6.78535461,-2.72385001
0.59996380,6.14586449,-1.52176213,6.79166126,-2.71464372
0.60996357,6.15507174,-1.51774335,6.79950953,-2.70821786
0.61996175,6.16133690,-1.50836563,6.81028652,-2.70713520
0.62996149,6.16846514,-1.50065315,6.82019377,-2.70437050
0.63996101,6.17681122,-1.49526954,6.82887459,-2.69926381
0.64996088,6.18512106,-1.48989713,6.83758497,-2.69413376
0.65995866,6.19339323,-1.48454046,6.84632444,-2.68898201
0.66995843,6.20163107,-1.47919822,6.85509634,-2.68380523
0.67995836,6.20983315,-1.47386956,6.86390114,-2.67860961
0.68995804,6.21800137,-1.46855843,6.87273693,-2.67339277
0.69995788,6.22613668,-1.46326506,6.88160563,-2.66815758
0.70995593,6.23568344,-1.46064556,6.88906002,-2.66025066
0.71995542,6.24800062,-1.46317387,6.89374876,-2.64719820
0.72995571,6.25855875,-1.46253324,6.90020132,-2.63731933
0.73995513,6.26455641,-1.45361543,6.91121817,-2.63572717
0.74995327,6.26843691,-1.44091511,6.92435598,-2.63792849
0.75995342,6.27430820,-1.43192720,6.93551445,-2.63642836
0.76995270,6.28224993,-1.42677879,6.94461012,-2.63110447
0.77995236,6.29031134,-1.42190361,6.95359755,-2.62552452
0.78995047,6.30242538,-1.42442107,6.95854187,-2.61257339
0.79995058,6.31553984,-1.42875791,6.96250296,-2.59782338
0.80995046,6.32685709,-1.42985630,6.96827555,-2.58633614
