x_m,y_m,w_tr_left_m,w_tr_right_m,w_total_m,left_x_m,left_y_m,right_x_m,right_y_m
2.75999975,-1.35919148,0.80182856,0.80182856,1.60365712,3.55999875,-1.30505610,1.96000075,-1.41332686
2.75999969,-1.36920381,0.80165280,0.80165280,1.60330561,3.55999851,-1.31773436,1.96000087,-1.42067325
2.75999987,-1.37920595,0.80148438,0.80148438,1.60296877,3.55999899,-1.33043480,1.96000075,-1.42797709
2.75999999,-1.38919777,0.80132204,0.80132204,1.60264407,3.55999827,-1.34315693,1.96000171,-1.43523860
2.75999999,-1.39917898,0.80116934,0.80116934,1.60233867,3.55999947,-1.35589921,1.96000051,-1.44245875
2.75999993,-1.40914965,0.80102291,0.80102291,1.60204581,3.55999899,-1.36866260,1.96000087,-1.44963670
2.76000083,-1.41910928,0.80088493,0.80088493,1.60176986,3.55999970,-1.38144672,1.96000195,-1.45677185
2.76000124,-1.42905814,0.80075557,0.80075557,1.60151114,3.55999994,-1.39425063,1.96000254,-1.46386564
2.76000040,-1.43899596,0.80063475,0.80063475,1.60126949,3.55999851,-1.40707374,1.96000230,-1.47091818
2.75999940,-1.44892252,0.80052482,0.80052482,1.60104965,3.55999851,-1.41991544,1.96000028,-1.47792959
2.75999934,-1.45883799,0.80042359,0.80042359,1.60084718,3.55999851,-1.43277574,1.96000016,-1.48490024
2.75999987,-1.46874225,0.80033197,0.80033197,1.60066394,3.55999875,-1.44565427,1.96000099,-1.49183023
2.76000052,-1.47863513,0.80025031,0.80025031,1.60050062,3.55999875,-1.45855033,1.96000230,-1.49871993
2.75999957,-1.48851687,0.80018068,0.80018068,1.60036136,3.55999851,-1.47146356,1.96000063,-1.50557017
2.76000058,-1.49838746,0.80012080,0.80012080,1.60024159,3.55999899,-1.48439312,1.96000218,-1.51238179
2.76000053,-1.50824689,0.80007331,0.80007331,1.60014662,3.55999947,-1.49733841,1.96000159,-1.51915538
2.78500122,-1.51785171,0.82503786,0.82503786,1.65007571,3.60999990,-1.50981176,1.96000254,-1.52589166
2.78500026,-1.52778726,0.82501219,0.82501219,1.65002437,3.60999846,-1.52298319,1.96000206,-1.53259134
2.78499996,-1.53771275,0.82499994,0.82499994,1.64999987,3.60999846,-1.53617024,1.96000147,-1.53925526
2.78500032,-1.54762834,0.82499998,0.82499998,1.64999997,3.60999846,-1.54937267,1.96000218,-1.54588401
2.78500021,-1.55753427,0.82501471,0.82501471,1.65002941,3.60999942,-1.56259000,1.96000099,-1.55247855
2.78500104,-1.56743050,0.82504153,0.82504153,1.65008306,3.60999990,-1.57582152,1.96000218,-1.55903947
2.78499973,-1.57731753,0.82508169,0.82508169,1.65016337,3.60999775,-1.58906722,1.96000171,-1.56556785
2.78500002,-1.58719551,0.82513790,0.82513790,1.65027581,3.60999918,-1.60232675,1.96000087,-1.57206428
2.78499973,-1.59706449,0.82520620,0.82520620,1.65041240,3.60999775,-1.61559939,1.96000171,-1.57852960
2.78499967,-1.60692507,0.82529173,0.82529173,1.65058347,3.60999918,-1.62888539,1.96000016,-1.58496475
2.78500039,-1.61677742,0.82539064,0.82539064,1.65078129,3.60999990,-1.64218438,1.96000087,-1.59137046
2.78500026,-1.62662166,0.82550286,0.82550286,1.65100571,3.60999799,-1.65549588,1.96000254,-1.59774745
2.78500081,-1.63645828,0.82563357,0.82563357,1.65126714,3.60999990,-1.66882002,1.96000171,-1.60409653
2.78500003,-1.64628768,0.82577758,0.82577758,1.65155515,3.60999823,-1.68215656,1.96000183,-1.61041880
2.78500080,-1.65611029,0.82593868,0.82593868,1.65187735,3.60999942,-1.69550538,1.96000218,-1.61671519
2.78500092,-1.66592634,0.82611570,0.82611570,1.65223139,3.60999990,-1.70886624,1.96000195,-1.62298644
2.78500068,-1.67573625,0.82630856,0.82630856,1.65261712,3.60999966,-1.72223926,1.96000171,-1.62923324
2.78499919,-1.68554074,0.82651739,0.82651739,1.65303479,3.60999775,-1.73562443,1.96000063,-1.63545704
2.78500098,-1.69534010,0.82674310,0.82674310,1.65348619,3.60999942,-1.74902177,1.96000254,-1.64165843
2.78500027,-1.70513475,0.82698615,0.82698615,1.65397231,3.60999918,-1.76243126,1.96000135,-1.64783823
2.78499979,-1.71492535,0.82724615,0.82724615,1.65449230,3.60999918,-1.77585316,1.96000040,-1.65399754
2.78499955,-1.72471237,0.82752205,0.82752205,1.65504411,3.60999823,-1.78928733,1.96000087,-1.66013741
2.78500045,-1.73449648,0.82781621,0.82781621,1.65563241,3.60999942,-1.80273402,1.96000147,-1.66625893
2.78499997,-1.74427802,0.82812744,0.82812744,1.65625488,3.60999894,-1.81619287,1.96000099,-1.67236316
2.78500009,-1.75405789,0.82845704,0.82845704,1.65691407,3.60999990,-1.82966459,1.96000028,-1.67845118
2.78499931,-1.76383644,0.82880254,0.82880254,1.65760507,3.60999823,-1.84314871,1.96000040,-1.68452418
2.78500068,-1.77361464,0.82916632,0.82916632,1.65833263,3.60999918,-1.85664630,1.96000218,-1.69058299
2.78500026,-1.78339285,0.82954831,0.82954831,1.65909662,3.60999870,-1.87015676,1.96000183,-1.69662893
2.77286333,-1.79184044,0.84215690,0.84215690,1.68431380,3.60999751,-1.88368058,1.93572915,-1.70000029
2.75999963,-1.80009585,0.85552976,0.85552976,1.71105953,3.60999870,-1.89721823,1.91000056,-1.70297348
2.75999910,-1.80976439,0.85597904,0.85597904,1.71195808,3.60999799,-1.91076934,1.91000021,-1.70875943
2.76000029,-1.81943577,0.85644655,0.85644655,1.71289310,3.60999846,-1.92433476,1.91000211,-1.71453679
2.75999982,-1.82911020,0.85693361,0.85693361,1.71386723,3.60999799,-1.93791425,1.91000164,-1.72030616
2.76000106,-1.83878922,0.85744023,0.85744023,1.71488045,3.60999990,-1.95150888,1.91000223,-1.72606957
2.76000041,-1.84847283,0.85796503,0.85796503,1.71593005,3.60999918,-1.96511793,1.91000164,-1.73182774
2.75999993,-1.85816241,0.85850956,0.85850956,1.71701911,3.60999942,-1.97874236,1.91000044,-1.73758245
2.75999999,-1.86785859,0.85907105,0.85907105,1.71814210,3.60999823,-1.99238193,1.91000175,-1.74333525
2.78500015,-1.88134098,0.88493774,0.88493774,1.76987547,3.65999937,-2.01359510,1.91000092,-1.74908686
2.78499937,-1.89116931,0.88555542,0.88555542,1.77111084,3.65999794,-2.02749944,1.91000080,-1.75483918
2.78499967,-1.90100724,0.88619270,0.88619270,1.77238539,3.65999770,-2.04142070,1.91000164,-1.76059377
2.78499973,-1.91085542,0.88685063,0.88685063,1.77370125,3.65999842,-2.05535913,1.91000104,-1.76635170
2.78500039,-1.92071474,0.88752683,0.88752683,1.77505365,3.65999866,-2.06931448,1.91000211,-1.77211499
2.78499984,-1.93058569,0.88822262,0.88822262,1.77644525,3.65999794,-2.08328724,1.91000175,-1.77788413
2.78500008,-1.94046980,0.88893927,0.88893927,1.77787853,3.65999961,-2.09727812,1.91000056,-1.78366148
2.78499967,-1.95036751,0.88967285,0.88967285,1.77934570,3.65999842,-2.11128664,1.91000092,-1.78944838
2.78500015,-1.96027982,0.89042720,0.89042720,1.78085441,3.65999985,-2.12531352,1.91000044,-1.79524612
