s,left_width,right_width
0.00000000,1.37172365,1.15900385
0.01000000,1.38715816,1.15461421
0.02000000,1.36028564,1.15035403
0.03000000,1.36006594,1.14826655
0.04000000,1.37602055,1.14958251
0.05000000,1.33998775,1.15079105
0.06000000,1.35114253,1.15189207
0.07000000,1.35849118,1.15288818
0.08000000,1.32579100,1.15376461
0.09000000,1.29452395,1.15452635
0.10000000,1.30132818,1.15518558
0.11000000,1.31706786,1.15573978
0.12000000,1.28858149,1.15619135
0.13000000,1.26129150,1.15654051
0.14000000,1.23513913,1.15678954
0.15000001,1.21007323,1.15693843
0.16000000,1.18604982,1.15697753
0.17000000,1.16301513,1.15691650
0.18000001,1.14091313,1.15675533
0.19000000,1.15915036,1.15650141
0.20000000,1.17218018,1.15615475
0.20999999,1.15186036,1.15527582
0.22000000,1.13233638,1.15149415
0.23000000,1.11356938,1.14778078
0.23999999,1.09552240,1.14413333
0.25000000,1.07816899,1.14055181
0.25999999,1.06147456,1.13703370
0.27000001,1.04540777,1.13357913
0.28000000,1.02994871,1.13018310
0.28999999,1.01506102,1.12684810
0.30000001,1.00072026,1.12357664
0.31000000,0.98690188,1.12036860
0.31999999,0.97358155,1.11722410
0.33000001,0.96074218,1.11413813
0.34000000,0.94835937,1.11111569
0.34999999,0.93641359,1.10815430
0.36000001,0.92488772,1.10525143
0.37000000,0.91879153,1.10240972
0.38000000,0.94502199,1.09962893
0.38999999,0.95483398,1.09690428
0.40000001,0.94442385,1.09424067
0.41000000,0.93436277,1.09163332
0.41999999,0.92464113,1.08908200
0.43000001,0.91524172,1.08658934
0.44000000,0.90615481,1.08415282
0.44999999,0.89736575,1.08177006
0.46000001,0.88886476,1.07944334
0.47000000,0.88063723,1.07717037
0.47999999,0.87267578,1.07495356
0.49000001,0.86497068,1.07278812
0.50000000,0.85751224,1.07067382
0.50999999,0.85029298,1.06860840
0.51999998,0.84329832,1.06659424
0.52999997,0.83652341,1.06463134
0.54000002,0.82996094,1.06271732
0.55000001,0.82359862,1.06085443
0.56000000,0.81743163,1.05903804
0.56999999,0.81145507,1.05727053
0.57999998,0.80565917,1.05554926
0.58999997,0.80003661,1.05374265
0.60000002,0.79458499,1.04776609
0.61000001,0.78929442,1.04152584
0.62000000,0.78416502,1.03501225
0.63000000,0.77918458,1.02821040
0.63999999,0.77435547,1.02110839
0.64999998,0.78922361,1.01369381
0.66000003,0.81992185,1.00595462
0.67000002,0.81533206,0.99787599
0.68000001,0.81087160,0.98944092
0.69000000,0.80654055,0.98525882
0.69999999,0.80233401,0.98421633
0.70999998,0.79824710,0.98321044
0.72000003,0.79427737,0.98223877
0.73000002,0.79041994,0.98130125
0.74000001,0.78667480,0.98039550
0.75000000,0.78303468,0.97952390
0.75999999,0.77949709,0.97868651
0.76999998,0.77605957,0.97788084
0.77999997,0.77271485,0.97711182
0.79000002,0.76946288,0.97637451
0.80000001,0.76630127,0.97567141
0.81000000,0.76322752,0.97500247
0.81999999,0.76023924,0.97436279
0.82999998,0.75733399,0.97168702
0.83999997,0.75450683,0.95782715
0.85000002,0.75175780,0.94325930
0.86000001,0.74908203,0.92793947
0.87000000,0.74647707,0.91958737
0.88000000,0.75348389,0.91923094
0.88999999,0.79336184,0.91890627
0.89999998,0.79087645,0.91861081
0.91000003,0.78845948,0.91833985
0.92000002,0.78610593,0.91810060
0.93000001,0.78381592,0.91789061
0.94000000,0.78158450,0.91771239
0.94999999,0.77941161,0.91756105
0.95999998,0.77729493,0.91744143
0.97000003,0.77523440,0.91735107
0.98000002,0.77322507,0.89560300
0.99000001,0.77126712,0.87079102
1.00000000,0.76935792,0.86614501
1.00999999,0.76750731,0.86624026
1.01999998,0.76570070,0.86636233
1.02999997,0.76393557,0.86651123
1.03999996,0.76221192,0.86668700
1.04999995,0.76052737,0.86688721
1.05999994,0.75887942,0.86711669
1.07000005,0.80803710,0.86737061
1.08000004,0.80641848,0.86765134
1.09000003,0.80483156,0.86795896
1.10000002,0.80327392,0.86829102
1.11000001,0.80174559,0.86864990
1.12000000,0.80024415,0.86903077
1.13000000,0.79876465,0.86944091
1.13999999,0.79730958,0.86987305
1.14999998,0.79587644,0.87033200
1.15999997,0.79446048,0.85651612
1.16999996,0.79306638,0.82088625
1.17999995,0.79168946,0.82144284
1.19000006,0.79032958,0.82201904
1.20000005,0.78898680,0.82261229
1.21000004,0.78766114,0.82322264
1.22000003,0.78635252,0.82385010
1.23000002,0.78506106,0.82449460
1.24000001,0.78378415,0.82515138
1.25000000,0.78252441,0.82582277
1.25999999,0.78127933,0.82650638
1.26999998,0.78004885,0.82720214
1.27999997,0.77883548,0.82790774
1.28999996,0.77763426,0.82862550
1.29999995,0.77645022,0.82935059
1.30999994,0.77528077,0.83008301
1.32000005,0.77412844,0.83082277
1.33000004,0.77298826,0.83156985
1.34000003,0.77186525,0.83231932
1.35000002,0.77075440,0.83307618
1.36000001,0.76966065,0.83383542
1.37000000,0.76858401,0.83459717
1.38000000,0.81760985,0.83536375
1.38999999,0.81655520,0.83613038
1.39999998,0.81551516,0.83689696
1.40999997,0.81449461,0.83766359
1.41999996,0.81348878,0.83843017
1.42999995,0.81250000,0.83919436
1.44000006,0.81152833,0.83995849
1.45000005,0.81057620,0.84071779
1.46000004,0.80964112,0.84147459
1.47000003,0.80872560,0.84222656
1.48000002,0.80782962,0.84297365
1.49000001,0.80695069,0.84371340
1.50000000,0.80609375,0.84444827
1.50999999,0.80525637,0.79516357
1.51999998,0.80443847,0.79588622
1.52999997,0.80364257,0.79659915
1.53999996,0.80286866,0.79730469
1.54999995,0.80211425,0.79800051
1.55999994,0.80138427,0.79868406
1.57000005,0.80067873,0.79935545
1.58000004,0.79999512,0.80001712
1.59000003,0.79933596,0.80066407
1.60000002,0.79870117,0.80129886
1.61000001,0.79809082,0.80191892
1.62000000,0.79750735,0.80252439
1.63000000,0.79694825,0.80311525
1.63999999,0.79641843,0.80368894
1.64999998,0.79591554,0.80424803
1.65999997,0.79543948,0.80479002
1.66999996,0.79499269,0.80531251
1.67999995,0.79457521,0.80581784
1.69000006,0.79418945,0.80630374
1.70000005,0.79383302,0.80677003
1.71000004,0.79350585,0.80721682
1.72000003,0.79321289,0.80764163
1.73000002,0.79295164,0.80804443
1.74000001,0.79272217,0.80842531
1.75000000,0.84257078,0.80878663
1.75999999,0.84241456,0.80912107
1.76999998,0.84229738,0.80943358
1.77999997,0.84221435,0.80972171
1.78999996,0.84216553,0.80998290
1.79999995,0.84215820,0.81022215
1.80999994,0.84218752,0.81043214
1.82000005,0.84225583,0.81061769
1.83000004,0.84236330,0.81077391
1.84000003,0.84250975,0.81090331
1.85000002,0.84269774,0.81100345
1.86000001,0.84292966,0.81107664
1.87000000,0.84320313,0.81111819
1.88000000,0.84352052,0.81113034
1.88999999,0.84387940,0.81111085
1.89999998,0.84428221,0.81106204
1.90999997,0.84473145,0.81097901
1.91999996,0.84522706,0.81086671
1.92999995,0.84576660,0.81072265
1.94000006,0.84635496,0.81054443
1.95000005,0.84698975,0.81033444
1.96000004,0.84767336,0.81009030
1.97000003,0.84840578,0.80980957
1.98000002,0.84918702,0.80949706
1.99000001,0.85001951,0.80915040
2.00000000,0.85090333,0.80876708
2.00999999,0.85183597,0.80834717
2.01999998,0.85282469,0.80789304
2.02999997,0.85386229,0.80740237
2.03999996,0.85495603,0.80687499
2.04999995,0.85610354,0.80631101
2.05999994,0.85730469,0.80570799
2.06999993,0.85855955,0.80507082
2.07999992,0.85987306,0.80439454
2.08999991,0.86124265,0.83779299
2.09999990,0.86266845,0.85339844
2.10999990,0.86415040,0.85262942
2.11999989,0.86569577,0.85182130
2.13000011,0.86729735,0.85097414
2.14000010,0.86895752,0.85009032
2.15000010,0.92125976,0.84916747
2.16000009,0.92305911,0.84821045
2.17000008,0.92491943,0.84721923
2.18000007,0.92683840,0.84618896
2.19000006,0.92881835,0.84512448
2.20000005,0.93085450,0.84402585
2.21000004,0.93295169,0.84289306
2.22000003,0.93510741,0.84172362
2.23000002,0.93732178,0.84052002
2.24000001,0.93959719,0.83928466
2.25000000,0.94193113,0.83801514
2.25999999,0.94432372,0.83671141
2.26999998,0.94677490,0.83537352
2.27999997,0.94928712,0.83400393
2.28999996,0.95185792,0.83260012
2.29999995,0.95448732,0.85199463
2.30999994,0.95717531,0.88074952
2.31999993,0.95992434,0.87928468
2.32999992,0.96273196,0.87778807
2.33999991,0.96560061,0.87625974
2.34999990,0.96852785,0.87469971
2.35999990,0.97151369,0.87311035
2.36999989,0.97456056,0.87148929
2.38000011,0.97766602,0.87680173
2.39000010,0.98083007,0.90649170
2.40000010,0.98405516,0.91784424
2.41000009,0.98734128,0.91614258
2.42000008,0.99068606,0.91440916
2.43000007,0.99408937,0.91264892
2.44000006,0.99755615,0.91085696
2.45000005,1.00107908,0.90903807
2.46000004,1.00466549,0.90718752
2.47000003,1.00831056,0.90530515
2.48000002,1.06378412,0.90339601
2.49000001,1.06759763,0.90145510
2.50000000,1.07147455,0.89948487
2.50999999,1.07541013,0.89748293
2.51999998,1.07940912,0.89545411
2.52999997,1.08346927,0.89339358
2.53999996,1.08759034,0.90144289
2.54999995,1.09177244,0.92437989
2.55999994,1.09601557,0.93921387
2.56999993,1.10031986,0.93708742
2.57999992,1.10468745,0.93492919
2.58999991,1.10911620,0.93274170
2.59999990,1.11360347,0.93052489
2.60999990,1.11815429,0.92827636
2.61999989,1.12276852,0.92599607
2.63000011,1.12744141,0.92368406
2.64000010,1.13217771,0.92134279
2.65000010,1.13697505,0.91896975
2.66000009,1.14183354,0.91656494
2.67000008,1.14675295,0.91412842
2.68000007,1.15173578,0.91165769
2.69000006,1.15677977,0.90915525
2.70000005,1.16188228,0.91001219
2.71000004,1.16704834,0.92885256
2.72000003,1.17227781,0.94731444
2.73000002,1.17756593,0.95205325
2.74000001,1.17920649,0.94945312
2.75000000,1.14154541,0.94681638
2.75999999,1.10465574,0.94414550
2.76999998,1.06852055,0.94144040
2.77999997,1.03311038,0.93870115
2.78999996,0.99840820,0.93592530
2.79999995,1.00135493,0.94646484
2.80999994,1.00683832,0.96327150
2.81999993,1.01238036,0.97979003
2.82999992,0.99927980,0.97841555
2.83999991,0.96960694,0.97553223
2.84999990,0.97524661,0.97260988
2.85999990,0.98094481,0.96964842
2.86999989,0.98669678,0.96665037
2.88000011,0.97009277,0.96361083
2.89000010,0.94396240,0.96053469
2.90000010,0.94980711,0.95741701
2.91000009,0.95570803,0.95425779
2.92000008,0.96166503,0.95105958
2.93000007,0.94509280,0.94781983
2.94000006,0.91894042,0.94453615
2.95000005,0.92498291,0.94121337
2.96000004,0.93108398,0.94549561
2.97000003,0.93723631,0.96045411
2.98000002,0.92389160,0.97521973
2.99000001,0.89649659,0.98269045
3.00000000,0.90072995,0.97922605
3.00999999,0.90701902,0.97571778
3.01999998,0.91335940,0.97216064
3.02999997,0.90615964,0.96855956
3.03999996,0.88017821,0.96491212
3.04999995,0.87699950,0.96121579
3.05999994,0.88347167,0.95747072
3.06999993,0.88999265,0.95367920
3.07999992,0.89162600,0.94983643
3.08999991,0.86692870,0.94594240
3.09999990,0.85375488,0.94200194
3.10999990,0.86040038,0.93800783
3.11999989,0.86709476,0.94737548
3.13000011,0.87384278,0.96115232
3.14000010,0.85653323,0.97479492
3.15000010,0.83334714,0.97804445
3.16000009,0.83777100,0.97387207
3.17000008,0.84463620,0.96964598
3.18000007,0.85155272,0.96536618
3.19000006,0.85851806,0.96103269
3.20000005,0.86553222,0.95664304
3.21000004,0.87259519,0.95219970
3.22000003,0.87970704,0.94770020
3.23000002,0.86496335,0.94314456
3.24000001,0.84348875,0.93853515
3.25000000,0.84398437,0.93386722
3.25999999,0.85120851,0.92914796
3.26999998,0.85847658,0.93953615
3.27999997,0.86104739,0.95259523
3.28999996,0.84046143,0.96555662
3.29999995,0.82280028,0.96746093
3.30999994,0.83016604,0.96254396
3.31999993,0.83757567,0.95757324
3.32999992,0.84502685,0.95254397
3.33999991,0.83952880,0.94746339
3.34999990,0.81998289,0.94354737
3.35999990,0.80940676,0.95630372
3.36999989,0.81694090,0.96898192
3.38000011,0.82451415,0.98158693
3.39000010,0.83212399,0.97968507
3.40000010,0.82170898,0.97435302
3.41000009,0.80308837,0.96896726
3.42000008,0.79650635,0.96352786
3.43000007,0.80418700,0.95803469
3.44000006,0.81190187,0.96088868
3.45000005,0.81964844,0.97336423
3.46000004,0.82742673,0.98578614
3.47000003,0.83523440,0.99455321
