s,left_width,right_width
0.00000000,0.80182856,0.80182856
0.01001232,0.80165280,0.80165280
0.02001446,0.80148438,0.80148438
0.03000629,0.80132204,0.80132204
0.03998750,0.80116934,0.80116934
0.04995817,0.80102291,0.80102291
0.05991780,0.80088493,0.80088493
0.06986666,0.80075557,0.80075557
0.07980448,0.80063475,0.80063475
0.08973104,0.80052482,0.80052482
0.09964651,0.80042359,0.80042359
0.10955077,0.80033197,0.80033197
0.11944365,0.80025031,0.80025031
0.12932539,0.80018068,0.80018068
0.13919598,0.80012080,0.80012080
0.14905542,0.80007331,0.80007331
0.17583764,0.82503786,0.82503786
0.18577318,0.82501219,0.82501219
0.19569866,0.82499994,0.82499994
0.20561425,0.82499998,0.82499998
0.21552019,0.82501471,0.82501471
0.22541641,0.82504153,0.82504153
0.23530346,0.82508169,0.82508169
0.24518144,0.82513790,0.82513790
0.25505042,0.82520620,0.82520620
0.26491100,0.82529173,0.82529173
0.27476335,0.82539064,0.82539064
0.28460759,0.82550286,0.82550286
0.29444420,0.82563357,0.82563357
0.30427361,0.82577758,0.82577758
0.31409621,0.82593868,0.82593868
0.32391226,0.82611570,0.82611570
0.33372217,0.82630856,0.82630856
0.34352666,0.82651739,0.82651739
0.35332602,0.82674310,0.82674310
0.36312068,0.82698615,0.82698615
0.37291127,0.82724615,0.82724615
0.38269830,0.82752205,0.82752205
0.39248240,0.82781621,0.82781621
0.40226394,0.82812744,0.82812744
0.41204381,0.82845704,0.82845704
0.42182237,0.82880254,0.82880254
0.43160057,0.82916632,0.82916632
0.44137877,0.82954831,0.82954831
0.45616615,0.84215690,0.84215690
0.47145101,0.85552976,0.85552976
0.48111954,0.85597904,0.85597904
0.49079093,0.85644655,0.85644655
0.50046533,0.85693361,0.85693361
0.51014435,0.85744023,0.85744023
0.51982796,0.85796503,0.85796503
0.52951753,0.85850956,0.85850956
0.53921372,0.85907105,0.85907105
0.56761765,0.88493774,0.88493774
0.57744598,0.88555542,0.88555542
0.58728391,0.88619270,0.88619270
0.59713209,0.88685063,0.88685063
0.60699141,0.88752683,0.88752683
0.61686236,0.88822262,0.88822262
0.62674648,0.88893927,0.88893927
0.63664418,0.88967285,0.88967285
0.64655650,0.89042720,0.89042720
0.65648425,0.89119874,0.89119874
0.66642791,0.89198969,0.89198969
0.67638904,0.89279904,0.89279904
0.68636811,0.89362670,0.89362670
0.69636595,0.89447259,0.89447259
0.70638323,0.89533688,0.89533688
0.71642095,0.89621951,0.89621951
0.72647965,0.89711790,0.89711790
0.73655993,0.89803464,0.89803464
0.74851674,0.90808716,0.90808716
0.76277739,0.92175662,0.92175662
0.77265084,0.92662233,0.92662233
0.78270781,0.92763182,0.92763182
0.79278970,0.92865845,0.92865845
0.80289710,0.92969966,0.92969966
0.81303012,0.93075675,0.93075675
0.82318962,0.93182990,0.93182990
0.83337516,0.93291871,0.93291871
0.84358680,0.93402212,0.93402212
0.85345173,0.93838133,0.93838133
0.86628693,0.95057008,0.95057008
0.87889946,0.96251224,0.96251224
0.90857607,0.99073236,0.99073236
0.91892189,0.99197632,0.99197632
0.92929399,0.99323489,0.99323489
0.93969220,0.99451050,0.99451050
0.95011646,0.99579956,0.99579956
0.96056581,0.99710452,0.99710452
0.97104120,0.99842404,0.99842404
0.98154122,0.99975835,0.99975835
0.99206644,1.00110972,1.00110972
1.00261629,1.00247312,1.00247312
1.01319146,1.00385376,1.00385376
1.02379107,1.00524663,1.00524663
1.03441608,1.00665524,1.00665524
1.04506648,1.00807862,1.00807862
1.05574262,1.00951660,1.00951660
1.06644416,1.01096802,1.01096802
1.07718122,1.01988035,1.01988035
1.08868265,1.03068484,1.03068484
1.10006380,1.04134884,1.04134884
1.11052692,1.04357172,1.04357172
1.12124658,1.04510130,1.04510130
1.13199425,1.04664665,1.04664665
1.14276910,1.04820674,1.04820674
1.15357316,1.04978154,1.04978154
1.16440630,1.05137211,1.05137211
1.17526972,1.05297728,1.05297728
1.18581307,1.04732671,1.04732671
1.20427477,1.02927500,1.02927500
1.22240531,1.01154783,1.01154783
1.24021304,0.99413084,0.99413084
1.25771153,0.97701532,0.97701532
1.27491057,0.96018801,0.96018801
1.28490102,0.95540524,0.95540524
1.29559243,0.95694215,0.95694215
1.30581772,0.96580925,0.96580925
1.31825817,0.97205928,0.97205928
1.34178925,0.96437505,0.96437505
1.35277617,0.96319698,0.96319698
1.36344111,0.96478756,0.96478756
1.37414551,0.96638795,0.96638795
1.38395691,0.96478512,0.96478512
1.39957559,0.94953250,0.94953250
1.40970588,0.94349484,0.94349484
1.42047107,0.94508548,0.94508548
1.43025362,0.95020746,0.95020746
1.44101274,0.95860362,0.95860362
1.46275592,0.95201408,0.95201408
