s,left_x,left_y,right_x,right_y
0.00000000,3.55999875,-1.30505610,1.96000075,-1.41332686
0.01001232,3.55999851,-1.31773436,1.96000087,-1.42067325
0.02001446,3.55999899,-1.33043480,1.96000075,-1.42797709
0.03000629,3.55999827,-1.34315693,1.96000171,-1.43523860
0.03998750,3.55999947,-1.35589921,1.96000051,-1.44245875
0.04995817,3.55999899,-1.36866260,1.96000087,-1.44963670
0.05991780,3.55999970,-1.38144672,1.96000195,-1.45677185
0.06986666,3.55999994,-1.39425063,1.96000254,-1.46386564
0.07980448,3.55999851,-1.40707374,1.96000230,-1.47091818
0.08973104,3.55999851,-1.41991544,1.96000028,-1.47792959
0.09964651,3.55999851,-1.43277574,1.96000016,-1.48490024
0.10955077,3.55999875,-1.44565427,1.96000099,-1.49183023
0.11944365,3.55999875,-1.45855033,1.96000230,-1.49871993
0.12932539,3.55999851,-1.47146356,1.96000063,-1.50557017
0.13919598,3.55999899,-1.48439312,1.96000218,-1.51238179
0.14905542,3.55999947,-1.49733841,1.96000159,-1.51915538
0.17583764,3.60999990,-1.50981176,1.96000254,-1.52589166
0.18577318,3.60999846,-1.52298319,1.96000206,-1.53259134
0.19569866,3.60999846,-1.53617024,1.96000147,-1.53925526
0.20561425,3.60999846,-1.54937267,1.96000218,-1.54588401
0.21552019,3.60999942,-1.56259000,1.96000099,-1.55247855
0.22541641,3.60999990,-1.57582152,1.96000218,-1.55903947
0.23530346,3.60999775,-1.58906722,1.96000171,-1.56556785
0.24518144,3.60999918,-1.60232675,1.96000087,-1.57206428
0.25505042,3.60999775,-1.61559939,1.96000171,-1.57852960
0.26491100,3.60999918,-1.62888539,1.96000016,-1.58496475
0.27476335,3.60999990,-1.64218438,1.96000087,-1.59137046
0.28460759,3.60999799,-1.65549588,1.96000254,-1.59774745
0.29444420,3.60999990,-1.66882002,1.96000171,-1.60409653
0.30427361,3.60999823,-1.68215656,1.96000183,-1.61041880
0.31409621,3.60999942,-1.69550538,1.96000218,-1.61671519
0.32391226,3.60999990,-1.70886624,1.96000195,-1.62298644
0.33372217,3.60999966,-1.72223926,1.96000171,-1.62923324
0.34352666,3.60999775,-1.73562443,1.96000063,-1.63545704
0.35332602,3.60999942,-1.74902177,1.96000254,-1.64165843
0.36312068,3.60999918,-1.76243126,1.96000135,-1.64783823
0.37291127,3.60999918,-1.77585316,1.96000040,-1.65399754
0.38269830,3.60999823,-1.78928733,1.96000087,-1.66013741
0.39248240,3.60999942,-1.80273402,1.96000147,-1.66625893
0.40226394,3.60999894,-1.81619287,1.96000099,-1.67236316
0.41204381,3.60999990,-1.82966459,1.96000028,-1.67845118
0.42182237,3.60999823,-1.84314871,1.96000040,-1.68452418
0.43160057,3.60999918,-1.85664630,1.96000218,-1.69058299
0.44137877,3.60999870,-1.87015676,1.96000183,-1.69662893
0.45616615,3.60999751,-1.88368058,1.93572915,-1.70000029
0.47145101,3.60999870,-1.89721823,1.91000056,-1.70297348
0.48111954,3.60999799,-1.91076934,1.91000021,-1.70875943
0.49079093,3.60999846,-1.92433476,1.91000211,-1.71453679
0.50046533,3.60999799,-1.93791425,1.91000164,-1.72030616
0.51014435,3.60999990,-1.95150888,1.91000223,-1.72606957
0.51982796,3.60999918,-1.96511793,1.91000164,-1.73182774
0.52951753,3.60999942,-1.97874236,1.91000044,-1.73758245
0.53921372,3.60999823,-1.99238193,1.91000175,-1.74333525
0.56761765,3.65999937,-2.01359510,1.91000092,-1.74908686
0.57744598,3.65999794,-2.02749944,1.91000080,-1.75483918
0.58728391,3.65999770,-2.04142070,1.91000164,-1.76059377
0.59713209,3.65999842,-2.05535913,1.91000104,-1.76635170
0.60699141,3.65999866,-2.06931448,1.91000211,-1.77211499
0.61686236,3.65999794,-2.08328724,1.91000175,-1.77788413
0.62674648,3.65999961,-2.09727812,1.91000056,-1.78366148
0.63664418,3.65999842,-2.11128664,1.91000092,-1.78944838
0.64655650,3.65999985,-2.12531352,1.91000044,-1.79524612
0.65648425,3.65999889,-2.13935828,1.91000092,-1.80105686
0.66642791,3.65999818,-2.15342093,1.91000021,-1.80688155
