s,left_x,left_y,right_x,right_y
0.00000000,3.07362258,1.34999924,1.76000065,-0.81309554
0.01000000,3.10317265,1.34999922,1.76000134,-0.80789289
0.02000000,3.10999945,1.31383615,1.76000128,-0.80295781
0.03000000,3.13064140,1.29999966,1.75887644,-0.79999854
0.04000000,3.15999996,1.29931477,1.75588014,-0.79999902
0.05000000,3.15999938,1.25525209,1.75290236,-0.79999908
0.06000000,3.18615179,1.24999957,1.74994553,-0.79999876
0.07000000,3.20999897,1.24124735,1.74701022,-0.79999983
0.08000000,3.20999980,1.19983481,1.74409969,-0.79999851
0.09000000,3.21000000,1.15972465,1.74121409,-0.79999865
0.10000000,3.23233423,1.14999820,1.73835735,-0.79999998
0.11000000,3.25999884,1.14699337,1.73553336,-0.79999988
0.12000000,3.25999974,1.10903279,1.73274459,-0.79999969
0.13000000,3.25999998,1.07216399,1.72999447,-0.79999918
0.14000000,3.25999880,1.03633140,1.72728498,-0.79999918
0.15000001,3.25999975,1.00148689,1.72461988,-0.79999940
0.16000000,3.25999934,0.96758075,1.72200052,-0.79999870
0.17000000,3.25999949,0.93456674,1.71942792,-0.80000004
0.18000001,3.25999982,0.90239877,1.71691051,-0.79999839
0.19000000,3.28678797,0.89999809,1.71444753,-0.79999845
0.20000000,3.30999870,0.89342213,1.71204181,-0.79999971
0.20999999,3.30999849,0.86250866,1.71000179,-0.79968489
0.22000000,3.30999941,0.83231818,1.71000158,-0.79737164
0.23000000,3.30999995,0.80281497,1.71000068,-0.79521709
0.23999999,3.30999838,0.77396651,1.71000036,-0.79321712
0.25000000,3.30999874,0.74574762,1.71000055,-0.79136916
0.25999999,3.30999981,0.71812683,1.71000161,-0.78966770
0.27000001,3.30999918,0.69107511,1.71000140,-0.78811079
0.28000000,3.30999963,0.66457137,1.71000028,-0.78669406
0.28999999,3.30999986,0.63858761,1.71000119,-0.78541355
0.30000001,3.31000003,0.61310144,1.71000178,-0.78426857
0.31000000,3.31000002,0.58809097,1.71000181,-0.78325671
0.31999999,3.30999874,0.56353470,1.71000056,-0.78237560
0.33000001,3.30999939,0.53941603,1.71000172,-0.78162001
0.34000000,3.30999959,0.51571406,1.71000140,-0.78099083
