q_v,q_dist,q_du,q_steer,q_lat_g,q_collision,q_progress,q_escape_vel,lat_g_threshold,lat_g_fault_threshold,status,lap_time,max_distance
1.3,0.0,0.2,3.0,200.0,200.0,10.0,5.0,5.5,9.0,Crashed,999.0,11.837386195274393
1.3,0.0,0.2,3.0,200.0,200.0,10.0,5.0,5.5,10.0,Crashed,999.0,9.924538439385467
1.3,0.0,0.2,3.0,200.0,200.0,10.0,5.0,6.5,9.0,Crashed,999.0,11.860963706222208
1.3,0.0,0.2,3.0,200.0,200.0,10.0,5.0,6.5,10.0,Crashed,999.0,11.36651507791728
1.3,0.0,0.2,3.0,200.0,200.0,10.0,6.5,5.5,9.0,Crashed,999.0,11.526068955419726
1.3,0.0,0.2,3.0,200.0,200.0,10.0,6.5,5.5,10.0,Crashed,999.0,9.848210114811577
1.3,0.0,0.2,3.0,200.0,200.0,10.0,6.5,6.5,9.0,Crashed,999.0,6.206757107747468
1.3,0.0,0.2,3.0,200.0,200.0,10.0,6.5,6.5,10.0,Crashed,999.0,10.894135435116937
1.3,0.0,0.2,3.0,200.0,200.0,10.0,8.0,5.5,9.0,Crashed,999.0,11.599988834878573
1.3,0.0,0.2,3.0,200.0,200.0,10.0,8.0,5.5,10.0,Crashed,999.0,10.04190067701418
1.3,0.0,0.2,3.0,200.0,200.0,10.0,8.0,6.5,9.0,Crashed,999.0,11.062761330579614
1.3,0.0,0.2,3.0,200.0,200.0,10.0,8.0,6.5,10.0,Crashed,999.0,10.562030040200387
1.3,0.0,0.2,3.0,200.0,200.0,13.0,5.0,5.5,9.0,Crashed,999.0,10.20518016519026
1.3,0.0,0.2,3.0,200.0,200.0,13.0,5.0,5.5,10.0,Crashed,999.0,9.987138209357587
1.3,0.0,0.2,3.0,200.0,200.0,13.0,5.0,6.5,9.0,Crashed,999.0,11.841727004101777
1.3,0.0,0.2,3.0,200.0,200.0,13.0,5.0,6.5,10.0,Crashed,999.0,11.312882798276913
1.3,0.0,0.2,3.0,200.0,200.0,13.0,6.5,5.5,9.0,Crashed,999.0,9.96494793663241
1.3,0.0,0.2,3.0,200.0,200.0,13.0,6.5,5.5,10.0,Crashed,999.0,9.875971719308708
1.3,0.0,0.2,3.0,200.0,200.0,13.0,6.5,6.5,9.0,Crashed,999.0,16.639259171859162
1.3,0.0,0.2,3.0,200.0,200.0,13.0,6.5,6.5,10.0,Crashed,999.0,3.8664760011382255
1.3,0.0,0.2,3.0,200.0,200.0,13.0,8.0,5.5,9.0,Crashed,999.0,10.74173393285232
1.3,0.0,0.2,3.0,200.0,200.0,13.0,8.0,5.5,10.0,Crashed,999.0,9.874873477176074
1.3,0.0,0.2,3.0,200.0,200.0,13.0,8.0,6.5,9.0,Crashed,999.0,10.9701402904949
1.3,0.0,0.2,3.0,200.0,200.0,13.0,8.0,6.5,10.0,Crashed,999.0,11.586329112863686
1.3,0.0,0.2,3.0,200.0,200.0,16.0,5.0,5.5,9.0,Crashed,999.0,10.33752652165868
1.3,0.0,0.2,3.0,200.0,200.0,16.0,5.0,5.5,10.0,Crashed,999.0,10.099827291873499
1.3,0.0,0.2,3.0,200.0,200.0,16.0,5.0,6.5,9.0,Crashed,999.0,10.221984632394358
1.3,0.0,0.2,3.0,200.0,200.0,16.0,5.0,6.5,10.0,Crashed,999.0,11.130226453186788
1.3,0.0,0.2,3.0,200.0,200.0,16.0,6.5,5.5,9.0,Crashed,999.0,10.202012551312025
